Half-Breed	Cher
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Let's Get It On	Marvin Gaye
We're An American Band	Grand Funk
Higher Ground	Stevie Wonder
That Lady (Part 1)	The Isley Brothers
Ramblin Man	The Allman Brothers Band
Angie	The Rolling Stones
Delta Dawn	Helen Reddy
Keep On Truckin' (Part 1)	Eddie Kendricks
Midnight Train To Georgia	Gladys Knight And The Pips
My Maria	B.W. Stevenson
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Yes We Can Can	The Pointer Sisters
China Grove	The Doobie Brothers
Brother Louie	Stories
Free Ride	Edgar Winter Group
Touch Me In The Morning	Diana Ross
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
Why Me	Kris Kristofferson
You've Never Been This Far Before	Conway Twitty
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Saturday Night's Alright For Fighting	Elton John
Paper Roses	Marie Osmond
Knockin' On Heaven's Door	Bob Dylan
Gypsy Man	War
Get It Together	Jackson 5
All I Know	Garfunkel
Rocky Mountain Way	Joe Walsh
In The Midnight Hour	Cross Country
If You Want Me To Stay	Sly & The Family Stone
Jimmy Loves Mary-Anne	Looking Glass
Hurts So Good	Millie Jackson
Here I Am Come & Take Me	Al Green
Live And Let Die	Wings
I've Got So Much To Give	Barry White
Let Me In	The Osmonds
Summer (The First Time)	Bobby Goldsboro
Funky Stuff	Kool & The Gang
We May Never Pass This Way (Again)	Seals & Crofts
Space Race	Billy Preston
Stoned Out Of My Mind	The Chi-lites
Jesse	Roberta Flack
Ecstasy	Ohio Players
Raised On Rock/For Ol' Times Sake	Elvis Presley
Nutbush City Limits	Ike & Tina Turner
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Hey Girl (i Like Your Style)	The Temptations
Rhapsody In Blue	Deodato
To Know You Is To Love You	B.B. King
I Believe In You (You Believe In Me)	Johnnie Taylor
Such A Night	Dr. John
Ashes To Ashes	The 5th Dimension
Sexy, Sexy, Sexy	James Brown
Just You 'n' Me	Chicago
I Can't Stand The Rain	Ann Peebles
Never Let You Go	Bloodstone
Ghetto Child	The Spinners
Feelin' Stronger Every Day	Chicago
Loving Arms	Dobie Gray
Friends/chapel Of Love	Bette Midler
Everybody's Had The Blues	Merle Haggard And The Strangers
Outlaw Man	Eagles
Evil	Earth, Wind & Fire
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Check It Out	Tavares
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
The Most Beautiful Girl	Charlie Rich
This Time It's Real	Tower Of Power
Sister James	Nino Tempo And 5th Ave. Sax
Woman From Tokyo	Deep Purple
Ridin' My Thumb To Mexico	Johnny Rodriguez
Photograph	Ringo Starr
Muskrat Love	America
I Got A Name	Jim Croce
Rubber Bullets	10cc
Gotta Find A Way	Moments
Blood Red And Goin' Down	Tanya Tucker
Top Of The World	Carpenters
Slippin' Away	Jean Shepard
Tonight	Raspberries
Country Sunshine	Dottie West
Life Ain't Easy	Dr. Hook And The Medicine Show
You'd Better Believe It	The Manhattans
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry	Hank Wilson
My Pretending Days Are Over	The Dells
I'm Coming Home	Johnny Mathis
West Coast Woman	Painter
He	Today's People
Take A Closer Look At The Woman You're With	Wilson Pickett
You're The Best Thing That Ever Happened To Me	Ray Price
Little Girl Gone	Donna Fargo
Farewell Andromeda (Welcome To My Morning)	John Denver
Hey, Little Girl	Foster Sylvers
Love Is All	Engelbert Humperdinck
Hello It's Me	Todd Rundgren
Let Me Be Your Lovemaker	Betty Wright
Redneck Friend	Jackson Browne
Make Me Twice The Man	New York City
