Incense And Peppermints	Strawberry Alarm Clock
To Sir With Love	Lulu
The Rain, The Park & Other Things	The Cowsills
Soul Man	Sam & Dave
Daydream Believer	The Monkees
Please Love Me Forever	Bobby Vinton
I Say A Little Prayer	Dionne Warwick
It Must Be Him	Vikki Carr
I Can See For Miles	The Who
Expressway (To Your Heart)	Soul Survivors
Your Precious Love	Marvin Gaye & Tammi Terrell
Pata Pata	Miriam Makeba
Everlasting Love	Robert Knight
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Let It Out (Let It All Hang Out)	The Hombres
I Heard It Through The Grapevine	Gladys Knight And The Pips
You Better Sit Down Kids	Cher
An Open Letter To My Teenage Son	Victor Lundberg
Lazy Day	Spanky And Our Gang
Boogaloo Down Broadway	The Fantastic Johnny C
Keep The Ball Rollin'	Jay And The Techniques
Kentucky Woman	Neil Diamond
Stag-O-Lee	Wilson Pickett
Like An Old Time Movie	Scott McKenzie
Lady Bird	Nancy Sinatra & Lee Hazlewood
Glad To Be Unhappy	The Mamas & The Papas
She Is Still A Mystery	The Lovin' Spoonful
I Second That Emotion	Smokey Robinson & The Miracles
In And Out Of Love	Diana Ross & The Supremes
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
Love Is Strange	Peaches & Herb
Wild Honey	The Beach Boys
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Skinny Legs And All	Joe Tex
Beg, Borrow And Steal	Ohio Express
Back On The Street Again	The Sunshine Company
(The Lights Went Out In) Massachusetts	Bee Gees
Mr. Dream Merchant	Jerry Butler
By The Time I Get To Phoenix	Glen Campbell
Get It Together (Part 1)	James Brown And The Famous Flames
Yesterday	Ray Charles
Get On Up	The Esquires
Out Of The Blue	Tommy James And The Shondells
She's My Girl	The Turtles
Holiday	Bee Gees
The Letter	The Box Tops
Neon Rainbow	The Box Tops
Paper Cup	The 5th Dimension
I'm Wondering	Stevie Wonder
Never My Love	The Association
Homburg	Procol Harum
Soul Man	Ramsey Lewis
This Town	Frank Sinatra
Different Drum	Stone Poneys Featuring Linda Ronstadt
Honey Chile	Martha Reeves & The Vandellas
Suzanne	Noel Harrison
Next Plane To London	The Rose Garden
Summer Rain	Johnny Rivers
Woman, Woman	The Union Gap Featuring Gary Puckett
Beautiful People	Kenny O'Dell
Beautiful People	Bobby Vee And The Strangers
Go-Go Girl	Lee Dorsey
Peace Of Mind	Paul Revere & The Raiders Featuring Mark Lindsay
Shout Bamalama	Mickey Murray
Chattanooga Choo Choo	Harpers Bizarre
O-O, I Love You	The Dells
Karate-Boo-Ga-Loo	Jerryo
Wake Up, Wake Up	The Grass Roots
When You're Gone	Brenda & The Tabulations
Sweet, Sweet Lovin'	The Platters
And Get Away	The Esquires
Since You Showed Me How To Be Happy	Jackie Wilson
Love Power	The Sandpebbles
Wear Your Love Like Heaven	Donovan
Tell Mama	Etta James
Cover Me	Percy Sledge
Shame On Me	Chuck Jackson
Itchycoo Park	Small Faces
What's It Gonna Be	Dusty Springfield
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Baby You Got It	Brenton Wood
Okolona River Bottom Band	Bobbie Gentry
Georgia Pines	The Candymen
Ooh Baby	Deon Jackson
Windy	Wes Montgomery
Come See About Me	Jr. Walker & The All Stars
Too Much Of Nothing	Peter, Paul & Mary
Can't Help But Love You	The Standells
Red And Blue	The Dave Clark Five
Piece Of My Heart	Erma Franklin
For Once In My Life	Tony Bennett
Where Is The Party	Helena Ferguson
Alligator Bogaloo	Lou Donaldson
Goin' Back	The Byrds
Felicidad	Sally Field
Ten Little Indians	The Yardbirds
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
A Letter To Dad	Every Father's Teenage Son
Judy In Disguise (With Glasses)	John Fred And The Playboys
For What It's Worth	King Curtis & The Kingpins
