We Are The World	USA For Africa
Crazy For You	Madonna
Rhythm Of The Night	Debarge
Don't You (Forget About Me)	Simple Minds
One Night In Bangkok	Murray Head
Obsession	Animotion
Some Like It Hot	The Power Station
Nightshift	Commodores
All She Wants to Do Is Dance	Don Henley
Smooth Operator	Sade
Everything She Wants	Wham!
That Was Yesterday	Foreigner
I'm On Fire	Bruce Springsteen
Everybody Wants To Rule The World	Tears For Fears
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Axel F	Harold Faltermeyer
One More Night	Phil Collins
Some Things Are Better Left Unsaid	Daryl Hall John Oates
New Attitude	Patti LaBelle
Suddenly	Billy Ocean
Rock And Roll Girls	John Fogerty
Along Comes A Woman	Chicago
Missing You	Diana Ross
Things Can Only Get Better	Howard Jones
Fresh	Kool & The Gang
In My House	Mary Jane Girls
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Forever Man	Eric Clapton
Vox Humana	Kenny Loggins
One Lonely Night	REO Speedwagon
Walking On Sunshine	Katrina And The Waves
Celebrate Youth	Rick Springfield
Heaven	Bryan Adams
'Til My Baby Comes Home	Luther Vandross
Say You're Wrong	Julian Lennon
Lost In Love	New Edition
Material Girl	Madonna
Smuggler's Blues	Glenn Frey
Invisible	Alison Moyet
The NeverEnding Story	Limahl
Angel	Madonna
Lover Girl	Teena Marie
The Search Is Over	Survivor
Baby Come And Get It	The Pointer Sisters
Show Some Respect	Tina Turner
Would I Lie To You?	Eurythmics
We Close Our Eyes	Go West
Welcome To The Pleasure Dome	Frankie Goes To Hollywood
Oh Girl	Boy Meets Girl
Walking On The Chinese Wall	Philip Bailey
Can't Fight This Feeling	REO Speedwagon
Somebody	Bryan Adams
Do You Wanna Get Away	Shannon
Lucky In Love	Mick Jagger
Voices Carry	'Til Tuesday
The Bird	The Time
Radioactive	The Firm
Can't Stop	Rick James
High On You	Survivor
Steady	Jules Shear
Be Your Man	Jesse Johnson's Revue
Too Late For Goodbyes	Julian Lennon
Lonely In Love	Giuffria
The Heat Is On	Glenn Frey
Just Another Night	Mick Jagger
Talk To Me	Fiona
Private Dancer	Tina Turner
Only Lonely	Bon Jovi
Keeping The Faith	Billy Joel
Careless Whisper	Wham! Featuring George Michael
Basketball	Kurtis Blow
OO-EE-Diddley-Bop	Peter Wolf
Only The Young	Journey
Through the Fire	Chaka Khan
The Word Is Out	Jermaine Stewart
Relax	Frankie Goes To Hollywood
Dangerous	Natalie Cole
Days Are Numbers (The Traveller)	The Alan Parsons Project
Mathematics	Melissa Manchester
I Was Born To Love You	Freddie Mercury
Jammin'	Teena Marie
Wake Up (Next To You)	Graham Parker & The Shot
Why Can't I Have You	The Cars
My Toot Toot	Jean Knight
Black Cars	Gino Vannelli
Alone Again	Dokken
I'm Through With Love	Eric Carmen
Say It Again	Santana
Save The Night For Me	Maureen Steele
Satisfaction Guaranteed	The Firm
Magical	John Parr
Little Sheila	Slade
(Come On) Shout	Alex Brown
Lucky	Greg Kihn
Imagination	Belouis Some
Rain Forest	Paul Hardcastle
Save A Prayer	Duran Duran
Change	John Waite
California Girls	David Lee Roth
Misled	Kool & The Gang
