Le Freak	Chic
MacArthur Park	Donna Summer
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
I Just Wanna Stop	Gino Vannelli
How Much I Feel	Ambrosia
I Love The Nightlife (Disco 'round)	Alicia Bridges
Time Passages	Al Stewart
My Life	Billy Joel
Sharing The Night Together	Dr. Hook
(Our Love) Don't Throw It All Away	Andy Gibb
Strange Way	Firefall
Too Much Heaven	Bee Gees
Alive Again	Chicago
Hold The Line	Toto
Y.M.C.A.	Village People
Straight On	Heart
Double Vision	Foreigner
Sweet Life	Paul Davis
Change Of Heart	Eric Carmen
How You Gonna See Me Now	Alice Cooper
Don't Want To Live Without It	Pablo Cruise
Ooh Baby Baby	Linda Ronstadt
Part-Time Love	Elton John
The Power Of Gold	Dan Fogelberg/Tim Weisberg
We've Got Tonight	Bob Seger & The Silver Bullet Band
Promises	Eric Clapton And His Band
I'm Every Woman	Chaka Khan
You Needed Me	Anne Murray
Ready To Take A Chance Again	Barry Manilow
New York Groove	Ace Frehley
Bicycle Race/Fat Bottomed Girls	Queen
Every 1's A Winner	Hot Chocolate
Run For Home	Lindisfarne
You Never Done It Like That	Captain & Tennille
A Little More Love	Olivia Newton-John
There'll Never Be	Switch
Instant Replay	Dan Hartman
Can You Fool	Glen Campbell
My Best Friend's Girl	The Cars
I Was Made For Dancin'	Leif Garrett
Fire	The Pointer Sisters
I Will Be In Love With You	Livingston Taylor
Fun Time	Joe Cocker
Here Comes The Night	Nick Gilder
Don't Hold Back	Chanson
The Gambler	Kenny Rogers
Forever Autumn	Justin Hayward
Take Me To The River	Talking Heads
September	Earth, Wind & Fire
A Man I'll Never Be	Boston
Lotta Love	Nicolette Larson
Mary Jane	Rick James
Hold Me, Touch Me	Paul Stanley
Shake It	Ian Matthews
One Last Kiss	The J. Geils Band
Don't Cry Out Loud	Melissa Manchester
This Is Love	Paul Anka
Home And Dry	Gerry Rafferty
Driftwood	The Moody Blues
You Thrill Me	Exile
In The Bush	Musique
You Took The Words Right Out Of My Mouth	Meat Loaf
Hot Child In The City	Nick Gilder
One Nation Under A Groove - Part I	Funkadelic
Dance (Disco Heat)	Sylvester
Got To Be Real	Cheryl Lynn
The Dream Never Dies	Cooper Brothers
Blue Collar Man (Long Nights)	Styx
Your Sweetness Is My Weakness	Barry White
Well All Right	Santana
Cuz It's You, Girl	James Walsh Gypsy Band
Kiss You All Over	Exile
Radioactive	Gene Simmons
On The Shelf	Donny & Marie Osmond
Got To Have Loving	Don Ray
Miles Away	Fotomaker
Easy Driver	Kenny Loggins
Please Come Home For Christmas	Eagles
You've Really Got A Hold On Me	Eddie Money
Light The Sky On Fire	Jefferson Starship
Love Don't Live Here Anymore	Rose Royce
You Need A Woman Tonight	Captain & Tennille
I Believe You	Carpenters
Mañana	Jimmy Buffett
I Don't Wanna Lose You	Daryl Hall John Oates
Soul Man	Blues Brothers
The Wedding Song (There Is Love)	Mary Macgregor
Baby I'm Burnin'	Dolly Parton
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
Lost In Your Love	John Paul Young
Let The Song Last Forever	Dan Hill
Dancing In The City	Marshall Hain
Blame It On The Boogie	The Jacksons
Everybody Needs Love	Stephen Bishop
Whenever I Call You "Friend"	Kenny Loggins
Get Off	Foxy
Love Me Again	Rita Coolidge
Hot Shot	Karen Young
#1 Dee Jay	Goody Goody
Reminiscing	Little River Band
