Happy	Pharrell Williams
All Of Me	John Legend
Talk Dirty	Jason Derulo Featuring 2 Chainz
Dark Horse	Katy Perry Featuring Juicy J
Let It Go	Idina Menzel
Pompeii	Bastille
Turn Down For What	DJ Snake & Lil Jon
Not A Bad Thing	Justin Timberlake
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Team	Lorde
Counting Stars	OneRepublic
The Man	Aloe Blacc
Best Day Of My Life	American Authors
Sing	Ed Sheeran
Play It Again	Luke Bryan
Hey Brother	Avicii
West Coast	Lana Del Rey
Fancy	Iggy Azalea Featuring Charli XCX
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Timber	Pitbull Featuring Ke$ha
Ain't It Fun	Paramore
Bottoms Up	Brantley Gilbert
Show Me	Kid Ink Featuring Chris Brown
Animals	Martin Garrix
Na Na	Trey Songz
La La La	Naughty Boy Featuring Sam Smith
Let Her Go	Passenger
Story Of My Life	One Direction
Burn	Ellie Goulding
Wake Me Up!	Avicii
Human	Christina Perri
Demons	Imagine Dragons
The Monster	Eminem Featuring Rihanna
Partition	Beyonce
Say Something	A Great Big World & Christina Aguilera
Neon Lights	Demi Lovato
Drunk In Love	Beyonce Featuring Jay Z
Drink To That All Night	Jerrod Niemann
Classic	MKTO
Give Me Back My Hometown	Eric Church
Me And My Broken Heart	Rixton
Royals	Lorde
Wild Wild Love	Pitbull Featuring G.R.L.
Summer	Calvin Harris
#SELFIE	The Chainsmokers
Get Me Some Of That	Thomas Rhett
The Worst	Jhene Aiko
Radioactive	Imagine Dragons
Mmm Yeah	Austin Mahone Featuring Pitbull
Cop Car	Keith Urban
Trophies	Young Money Featuring Drake
Rewind	Rascal Flatts
Automatic	Miranda Lambert
She Looks So Perfect	5 Seconds Of Summer
19 You + Me	Dan + Shay
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Beat Of The Music	Brett Eldredge
Paranoid	Ty Dolla $ign Featuring B.o.B
Latch	Disclosure Featuring Sam Smith
Sleeping With A Friend	Neon Trees
Red Lights	Tiesto
Stoner	Young Thug
Can't Remember To Forget You	Shakira Featuring Rihanna
Doin' What She Likes	Blake Shelton
Who Do You Love?	YG Featuring Drake
Magic	Coldplay
Beachin'	Jake Owen
You & I	One Direction
John Doe	B.o.B Featuring Priscilla
Lettin' The Night Roll	Justin Moore
The Walker	Fitz And The Tantrums
Goodnight Kiss	Randy Houser
Man Of The Year	ScHoolboy Q
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Do I Wanna Know?	Arctic Monkeys
For The First Time In Forever	Kristen Bell & Idina Menzel
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Whiskey In My Water	Tyler Farr
I Hold On	Dierks Bentley
Headlights	Eminem Featuring Nate Ruess
Love Runs Out	OneRepublic
Girls Chase Boys	Ingrid Michaelson
Birthday	Katy Perry
Midnight	Coldplay
Come With Me Now	KONGOS
Part II (On The Run)	Jay Z Featuring Beyonce
On Top Of The World	Imagine Dragons
Invisible	Hunter Hayes
I Don't Dance	Lee Brice
Cut Her Off	KCamp Featuring 2 Chainz
Am I Wrong	Nico & Vinz
We Dem Boyz	Wiz Khalifa
Stay With Me	Sam Smith
Where It's At (Yep, Yep)	Dustin Lynch
Helluva Life	Frankie Ballard
Oceans (Where Feet May Fail)	Hillsong UNITED
Empire	Shakira
Ride	SoMo
Feelin' Myself	will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard
Slow Me Down	Sara Evans
