(Just Like) Starting Over	John Lennon
Love On The Rocks	Neil Diamond
Guilty	Barbra Streisand & Barry Gibb
The Tide Is High	Blondie
Hungry Heart	Bruce Springsteen
Every Woman In The World	Air Supply
Passion	Rod Stewart
Tell It Like It Is	Heart
Lady	Kenny Rogers
More Than I Can Say	Leo Sayer
De Do Do Do, De Da Da Da	The Police
Hit Me With Your Best Shot	Pat Benatar
It's My Turn	Diana Ross
I Made It Through The Rain	Barry Manilow
I Love A Rainy Night	Eddie Rabbitt
Celebration	Kool & The Gang
Hey Nineteen	Steely Dan
Master Blaster (Jammin')	Stevie Wonder
Time Is Time	Andy Gibb
Another One Bites The Dust	Queen
Suddenly	Olivia Newton-John & Cliff Richard
Giving It Up For Your Love	Delbert McClinton
Everybody's Got To Learn Sometime	The Korgis
One Step Closer	The Doobie Brothers
Miss Sun	Boz Scaggs
9 To 5	Dolly Parton
Together	Tierra
Woman In Love	Barbra Streisand
You've Lost That Lovin' Feeling	Daryl Hall John Oates
The Winner Takes It All	ABBA
Same Old Lang Syne	Dan Fogelberg
I Believe In You	Don Williams
Whip It	Devo
Keep On Loving You	REO Speedwagon
Seven Bridges Road	Eagles
Never Be The Same	Christopher Cross
Cold Love	Donna Summer
Killin' Time	Fred Knoblock & Susan Anton
He Can't Love You	Michael Stanley Band
Heartbreak Hotel	The Jacksons
My Mother's Eyes	Bette Midler
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
I Need Your Lovin'	Teena Marie
Need Your Loving Tonight	Queen
Shine On	L.T.D.
Smoky Mountain Rain	Ronnie Milsap
Love T.K.O.	Teddy Pendergrass
Games People Play	The Alan Parsons Project
I Ain't Gonna Stand For It	Stevie Wonder
I'm Coming Out	Diana Ross
Teacher Teacher	Rockpile
Who's Making Love	Blues Brothers
A Little In Love	Cliff Richard
Girls Can Get It	Dr. Hook
Sequel	Harry Chapin
Turn And Walk Away	The Babys
You	Earth, Wind & Fire
Fool That I Am	Rita Coolidge
Gotta Have More Love	Climax Blues Band
The Wanderer	Donna Summer
Ah! Leah!	Donnie Iris
Breakfast In America	Supertramp
Back In Black	AC/DC
This Time	John Cougar
Dreaming	Cliff Richard
Deep Inside My Heart	Randy Meisner
United Together	Aretha Franklin
Full Of Fire	Shalamar
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)	The Star Wars Intergalactic Droid Choir & Chorale
Fashion	David Bowie
Set The Night On Fire	Oak
Skateaway	Dire Straits
(Ghost) Riders In The Sky	Outlaws
He's So Shy	The Pointer Sisters
Turning Japanese	The Vapors
Never Knew Love Like This Before	Stephanie Mills
The Horizontal Bop	Bob Seger
Lovely One	The Jacksons
Easy Love	Dionne Warwick
Got To Rock On	Kansas
Could I Be Dreaming	The Pointer Sisters
Merry Christmas In The NFL	Willis "The Guard" & Vigorish
Without Your Love	Roger Daltrey
Don't Want No-Body	J.D. Drews
Upside Down	Diana Ross
Toccata	Sky (Arista)
Switchin' To Glide/This Beat Goes On	The Kings
Fly Away	Peter Allen
Gypsy Spirit	Pendulum
Stop This Game	Cheap Trick
Spend The Night In Love	The 4 Seasons
Let Me Be Your Angel	Stacy Lattisaw
Remote Control	The Reddings
Once A Night	Jackie English
I Can't Stop The Feelin'	Pure Prairie League
On The Road Again	Willie Nelson
Trickle Trickle	The Manhattan Transfer
Help Me!	Marcy Levy & Robin Gibb
I'm Happy That Love Has Found You	Jimmy Hall
Out Here On My Own	Irene Cara
