Eye Of The Tiger	Survivor
Hurts So Good	John Cougar
Abracadabra	The Steve Miller Band
Hold Me	Fleetwood Mac
Hard To Say I'm Sorry	Chicago
Rosanna	Toto
Even The Nights Are Better	Air Supply
Keep The Fire Burnin'	REO Speedwagon
Only The Lonely	The Motels
Don't You Want Me	The Human League
Wasted On The Way	Crosby, Stills & Nash
Vacation	Go-Go's
Let It Whip	Dazz Band
Take It Away	Paul McCartney
You Should Hear How She Talks About You	Melissa Manchester
Love Is In Control (Finger On The Trigger)	Donna Summer
Tainted Love	Soft Cell
Love's Been A Little Bit Hard On Me	Juice Newton
Personally	Karla Bonoff
Do I Do	Stevie Wonder
What Kind Of Fool Am I	Rick Springfield
Love Will Turn You Around	Kenny Rogers
Out Of Work	Gary U.S. Bonds
Think I'm In Love	Eddie Money
American Music	The Pointer Sisters
Kids In America	Kim Wilde
Who Can It Be Now?	Men At Work
Eye In The Sky	The Alan Parsons Project
And I Am Telling You I'm Not Going	Jennifer Holliday
If The Love Fits Wear It	Leslie Pearl
I Found Somebody	Glenn Frey
Paperlate	Genesis
Jack & Diane	John Cougar
Your Imagination	Daryl Hall John Oates
Caught Up In You	38 Special
Hot In The City	Billy Idol
Love Plus One	Haircut One Hundred
Route 101	Herb Alpert
Still They Ride	Journey
Early In The Morning	The Gap Band
Going To A Go-Go	The Rolling Stones
I Really Don't Need No Light	Jeffrey Osborne
Blue Eyes	Elton John
Someday, Someway	Marshall Crenshaw
Only Time Will Tell	Asia
Let Me Go	Ray Parker Jr.
Words	Missing Persons
Valley Girl	Frank Zappa
Love Or Let Me Be Lonely	Paul Davis
Enough Is Enough	April Wine
Let Me Tickle Your Fancy	Jermaine Jackson
I Ran (So Far Away)	A Flock Of Seagulls
Hooked On Swing	Larry Elgart And His Manhattan Swing Orchestra
Gloria	Laura Branigan
Nice Girls	Eye To Eye
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
Any Day Now	Ronnie Milsap
I'm The One	Roberta Flack
Take Me Down	Alabama
You Can Do Magic	America
Somebody's Baby	Jackson Browne
Mega Force	707
What's Forever For	Michael Murphey
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Foolin' Yourself	Aldo Nova
She Got The Goldmine (i Got The Shaft)	Jerry Reed
Hot Fun In The Summertime	Dayton
Should I Stay Or Should I Go	The Clash
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
Now Or Never	Axe
Oh Julie	Barry Manilow
Never Been In Love	Randy Meisner
Calling All Girls	Queen
Why	Carly Simon
Sara	Bill Champlin
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
I Will Always Love You	Dolly Parton
Make Believe	Toto
Luanne	Foreigner
Younger Days	Joe Fagin
Still In The Game	Steve Winwood
I Only Want To Be With You	Nicolette Larson
Emotions In Motion	Billy Squier
Seasons Of The Heart	John Denver
If You Want My Love	Cheap Trick
Play The Game Tonight	Kansas
Let It Be Me	Willie Nelson
Forget Me Nots	Patrice Rushen
How Can I Live Without Her	Christopher Atkins
Your Daddy Don't Know	Toronto
Heat Of The Moment	Asia
Ebony And Ivory	Paul McCartney And Stevie Wonder
Loveline	Dr. Hook
Always On My Mind	Willie Nelson
Crimson And Clover	Joan Jett & the Blackhearts
The Other Woman	Ray Parker Jr.
Break It Up	Foreigner
This Man Is Mine	Heart
(Sittin' On) The Dock Of The Bay	The Reddings
Street Corner	Ashford & Simpson
