Dreamlover	Mariah Carey
Right Here (Human Nature)/Downtown	SWV
Whoomp! (There It Is)	Tag Team
The River Of Dreams	Billy Joel
If	Janet Jackson
Can't Help Falling In Love (From "Sliver")	UB40
Will You Be There	Michael Jackson
Another Sad Love Song	Toni Braxton
Runaway Train	Soul Asylum
Baby I'm Yours	Shai
I Get Around	2Pac
Lately	Jodeci
Cryin'	Aerosmith
Boom! Shake The Room	Jazzy Jeff & The Fresh Prince
Two Steps Behind (From "Last Action Hero")	Def Leppard
One Last Cry	Brian McKnight
Sweat (A La La La La Long)	Inner Circle
Hey Mr. D.J.	Zhane
Reason To Believe	Rod Stewart
Rain	Madonna
If I Had No Loot	Tony Toni Tone
Insane In The Brain	Cypress Hill
Soul To Squeeze (From "Coneheads")	Red Hot Chili Peppers
I'm Gonna Be (500 Miles)	The Proclaimers
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Break It Down Again	Tears For Fears
I Don't Wanna Fight (From "What's Love Got To Do With It")	Tina Turner
Hey Jealousy	Gin Blossoms
What Is Love	Haddaway
When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin
Alright	Kris Kross Featuring Supercat
Hopelessly	Rick Astley
Ooh Child	Dino
Check Yo Self	Ice Cube Featuring Das EFX
Very Special	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson
Just Kickin' It	Xscape
Weak	SWV
Dazzey Duks	Duice
Whoot, There It Is	95 South
I'll Never Get Over You (Getting Over Me)	Expose
Ruffneck	MC Lyte
All That She Wants	Ace Of Base
Show Me Love	Robin S.
Anniversary	Tony Toni Tone
What's Up	4 Non Blondes
No Rain	Blind Melon
That's The Way Love Goes	Janet Jackson
Something In Your Eyes	Bell Biv DeVoe
Come Undone	Duran Duran
Pink Cashmere	Prince
Let Me Ride	Dr. Dre
Better Than You	Lisa Keith
Sunday Morning	Earth, Wind & Fire
Too Much Information	Duran Duran
Come Inside	Intro
Love For Love	Robin S.
Everybody Hurts	R.E.M.
Creep	Radiohead
Fields Of Gold	Sting
Slam	Onyx
Mega Medley	Zapp & Roger
Something's Goin' On	U.N.V.
One Woman	Jade
Come Baby Come	K7
Chief Rocka	Lords Of The Underground
I'm Free	Jon Secada
Run To You	Whitney Houston
Oh Carolina	Shaggy
I'm In Luv	Joe
Believe	Lenny Kravitz
Girl U For Me/Lose Control	Silk
Chattahoochee	Alan Jackson
Don't Take Away My Heaven	Aaron Neville
What's Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O'Neal
Delicate	Terence Trent D'Arby
Human Wheels	John Mellencamp
Breakadawn	De La Soul
Happy	Legacy Of Sound Featuring Meja
Get It Up (From "Poetic Justice")	TLC
Nothing 'Bout Me	Sting
Can't Get Enough Of Your Love	Taylor Dayne
I'm In A Philly Mood	Daryl Hall
Indo Smoke (From "Poetic Justice")	Mista Grimm
By The Time This Night Is Over	Kenny G With Peabo Bryson
Send Me A Lover	Taylor Dayne
Push The Feeling On	Nightcrawlers
Lick U Up	H-Town
Even A Fool Can See	Peter Cetera
For The Cool In You	Babyface
What Might Have Been	Little Texas
The Bonnie And Clyde Theme	Yo-Yo
Streiht Up Menace (From "Menace II Society")	MC Eiht
Stay Real	Erick Sermon
World (The Price Of Love)	New Order
In The Heart Of A Woman	Billy Ray Cyrus
Loving Arms	Darden Smith
Step It Up	Stereo MC's
Stay Forever	Joey Lawrence
Heaven Knows	Luther Vandross
The Ways Of The Wind	P.M. Dawn
