Big Bad John	Jimmy Dean
Runaround Sue	Dion
Bristol Stomp	The Dovells
Hit The Road Jack	Ray Charles and his Orchestra
Fool #1	Brenda Lee
Sad Movies (Make Me Cry)	Sue Thompson
This Time	Troy Shondell
The Fly	Chubby Checker
I Love How You Love Me	The Paris Sisters
Tower Of Strength	Gene McDaniels
Let's Get Together	Hayley Mills and Hayley Mills
Ya Ya	Lee Dorsey
A Wonder Like You	Rick Nelson
The Way You Look Tonight	The Lettermen
You're The Reason	Bobby Edwards
(He's My) Dreamboat	Connie Francis
Please Mr. Postman	The Marvelettes
Crying	Roy Orbison
Mexico	Bob Moore and His Orch.
I Understand (Just How You Feel)	The G-Clefs
Sweets For My Sweet	The Drifters
What A Party	Fats Domino
Everlovin'	Rick Nelson
Big John	The Shirelles
Candy Man	Roy Orbison
Crazy	Patsy Cline
Goodbye Cruel World	James Darren
Heartaches	The Marcels
Don't Blame Me	The Everly Brothers
Foot Stomping - Part 1	The Flares
Stick Shift	Duals
School Is In	Gary U.S. Bonds
Look In My Eyes	The Chantels
You Must Have Been A Beautiful Baby	Bobby Darin
So Long Baby	Del Shannon
Take Five	The Dave Brubeck Quartet
Moon River	Jerry Butler
September In The Rain	Dinah Washington
I Wanna Thank You	Bobby Rydell
God, Country And My Baby	Johnny Burnette
Please Don't Go	Ral Donner
Hollywood	Connie Francis
Anybody But Me	Brenda Lee
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
Tonight	Ferrante & Teicher
Take Good Care Of My Baby	Bobby Vee
Little Sister	Elvis Presley
Moon River	Henry Mancini And His Orchestra
I Really Love You	The Stereos
The Mountain's High	Dick and DeeDee
My True Story	The Jive Five With Joe Rene And Orchestra
The Bridge Of Love	Joe Dowell
In The Middle Of A Heartache	Wanda Jackson
Movin'	Bill Black's Combo
Under The Moon Of Love	Curtis Lee
(Marie's The Name) His Latest Flame	Elvis Presley
Missing You	Ray Peterson
I'll Be Seeing You	Frank Sinatra
Morning After	Mar-Keys
Berlin Melody	Billy Vaughn And His Orchestra
Blue Moon	The Ventures
Your Last Goodbye	Floyd Cramer
Gypsy Woman	The Impressions
The Way I Am	Jackie Wilson
Feel It	Sam Cooke
Bright Lights Big City	Jimmy Reed
My Heart Belongs To Only You	Jackie Wilson
Let There Be Drums	Sandy Nelson
Everybody's Gotta Pay Some Dues	The Miracles
Somewhere Along The Way	Steve Lawrence
Young Boy Blues	Ben E. King
Come September	Billy Vaughn And His Orchestra
It's Gonna Work Out Fine	Ike & Tina Turner
Sometime	Gene Thomas
Danny Boy	Andy Williams
Your Ma Said You Cried In Your Sleep Last Night	Kenny Dino
Three Steps From The Altar	Shep And The Limelites
It's Your World	Marty Robbins
Smile	Timi Yuro
Town Without Pity	Gene Pitney
Tonight	Eddie Fisher
'Til	The Angels
I Don't Know Why	Linda Scott
For Me And My Gal	Freddy Cannon
On Bended Knees	Clarence Henry
Human	Tommy Hunt
Fly By Night	Andy Williams
Walk On By	Leroy Van Dyke
Sad Movies (Make Me Cry)	The Lennon Sisters
Broken Heart And A Pillow Filled With Tears	Patti Page
Language Of Love	John D. Loudermilk
I Cried My Last Tear	Ernie K-Doe
It's Too Soon To Know	Etta James
The Gypsy Rover	The Highwaymen
I Wonder (If Your Love Will Ever Belong To Me)	The Pentagons
Turn Around, Look At Me	Glen Campbell
Steps 1 And 2	Jack Scott
Just Because	The McGuire Sisters
Losing Your Love	Jim Reeves
