Dreamlover	Mariah Carey
Whoomp! (There It Is)	Tag Team
Can't Help Falling In Love (From "Sliver")	UB40
If	Janet Jackson
Right Here (Human Nature)/Downtown	SWV
The River Of Dreams	Billy Joel
Runaway Train	Soul Asylum
Will You Be There	Michael Jackson
Lately	Jodeci
Baby I'm Yours	Shai
If I Had No Loot	Tony Toni Tone
I Get Around	2Pac
One Last Cry	Brian McKnight
Another Sad Love Song	Toni Braxton
I'm Gonna Be (500 Miles)	The Proclaimers
Rain	Madonna
Boom! Shake The Room	Jazzy Jeff & The Fresh Prince
Cryin'	Aerosmith
I Don't Wanna Fight (From "What's Love Got To Do With It")	Tina Turner
Insane In The Brain	Cypress Hill
Alright	Kris Kross Featuring Supercat
Weak	SWV
Whoot, There It Is	95 South
Check Yo Self	Ice Cube Featuring Das EFX
Slam	Onyx
What's Up	4 Non Blondes
Break It Down Again	Tears For Fears
Ooh Child	Dino
When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin
Sweat (A La La La La Long)	Inner Circle
Dazzey Duks	Duice
Reason To Believe	Rod Stewart
Hey Jealousy	Gin Blossoms
Show Me Love	Robin S.
Very Special	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson
I'll Never Get Over You (Getting Over Me)	Expose
Soul To Squeeze (From "Coneheads")	Red Hot Chili Peppers
Hey Mr. D.J.	Zhane
Ruffneck	MC Lyte
Creep	Radiohead
That's The Way Love Goes	Janet Jackson
Knockin' Da Boots	H-Town
Fields Of Gold	Sting
Dre Day	Dr. Dre
Have I Told You Lately	Rod Stewart
Something's Goin' On	U.N.V.
One Woman	Jade
Come Undone	Duran Duran
Two Steps Behind (From "Last Action Hero")	Def Leppard
What Is Love	Haddaway
I'm Free	Jon Secada
Hopelessly	Rick Astley
Something In Your Eyes	Bell Biv DeVoe
Mega Medley	Zapp & Roger
What's Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O'Neal
Love For Love	Robin S.
No Rain	Blind Melon
Chief Rocka	Lords Of The Underground
Chattahoochee	Alan Jackson
Sunday Morning	Earth, Wind & Fire
Run To You	Whitney Houston
Too Much Information	Duran Duran
Come Inside	Intro
Better Than You	Lisa Keith
Believe	Lenny Kravitz
Girl U For Me/Lose Control	Silk
Cry No More	II D Extreme
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Happy	Legacy Of Sound Featuring Meja
Get It Up (From "Poetic Justice")	TLC
Come Baby Come	K7
Can't Get Enough Of Your Love	Taylor Dayne
Everybody Hurts	R.E.M.
Don't Take Away My Heaven	Aaron Neville
I'm In Luv	Joe
Oh Carolina	Shaggy
Delicate	Terence Trent D'Arby
Step It Up	Stereo MC's
Streiht Up Menace (From "Menace II Society")	MC Eiht
The Ways Of The Wind	P.M. Dawn
Lick U Up	H-Town
Stay Forever	Joey Lawrence
It's For You (From "The Meteor Man")	Shanice
Breakadawn	De La Soul
What Might Have Been	Little Texas
For The Cool In You	Babyface
Hero	David Crosby & Phil Collins
Pink Cashmere	Prince
By The Time This Night Is Over	Kenny G With Peabo Bryson
Just Kickin' It	Xscape
In The Heart Of A Woman	Billy Ray Cyrus
All That She Wants	Ace Of Base
That's What Little Girls Are Made Of	Raven-Symone
Heaven Knows	Luther Vandross
The Bonnie And Clyde Theme	Yo-Yo
ABC-123	Levert
Even A Fool Can See	Peter Cetera
Human Wheels	John Mellencamp
In My Nature	Nuttin' Nyce
World (The Price Of Love)	New Order
