Kiss From A Rose	Seal
Waterfalls	TLC
Boombastic/In The Summertime	Shaggy
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
I Can Love You Like That	All-4-One
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
He's Mine	MoKenStef
Don't Take It Personal (Just One Of Dem Days)	Monica
Run-Around	Blues Traveler
One More Chance/Stay With Me	The Notorious B.I.G.
I Got 5 On It	Luniz
Only Wanna Be With You	Hootie & The Blowfish
Player's Anthem	Junior M.A.F.I.A.
I Wish	Skee-Lo
Water Runs Dry	Boyz II Men
Someone To Love	Jon B. Featuring Babyface
Shy Guy (From "Bad Boys")	Diana King
Let Her Cry	Hootie & The Blowfish
Every Little Thing I Do	Soul For Real
Come And Get Your Love	Real McCoy
Somethin' 4 Da Honeyz	Montell Jordan
December	Collective Soul
Total Eclipse Of The Heart	Nicki French
Freek'n You	Jodeci
You Used To Love Me	Faith Evans
As I Lay Me Down	Sophie B. Hawkins
Brown Sugar	D'Angelo
Feel Me Flow	Naughty By Nature
Have You Ever Really Loved A Woman?	Bryan Adams
This Ain't A Love Song	Bon Jovi
Sugar Hill	AZ
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Good	Better Than Ezra
Roll To Me	Del Amitri
Carnival	Natalie Merchant
Can't Cry Anymore	Sheryl Crow
I Know	Dionne Farris
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
I Believe	Blessid Union Of Souls
Freak Like Me	Adina Howard
'Til You Do Me Right	After 7
Feels So Good	Xscape
This Is How We Do It	Montell Jordan
Misery	Soul Asylum
Back For Good	Take That
Best Friend	Brandy
I Wanna B With U	Fun Factory
Scream/Childhood	Michael Jackson & Janet Jackson
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Somebody's Crying	Chris Isaak
I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige
So Many Tears	2Pac
1st Of Tha Month	Bone Thugs-N-Harmony
Let Me Be The One	Blessid Union Of Souls
I Can't Tell You Why	Brownstone
Made In England	Elton John
Human Nature	Madonna
Walk In The Sun	Bruce Hornsby
Molly (Sixteen Candles)	Sponge
Pull Up To The Bumper	Patra
Sprinkle Me	E-40 (Featuring Suga T)
You Have The Right To Remain Silent	Perfect Stranger
Tell Me	Groove Theory
I Like It, I Love It	Tim McGraw
We Must Be In Love	Pure Soul
How High (From "The Show")	Redman/Method Man
Stutter	Elastica
Summertime In The LBC (From "The Show")	The Dove Shack
Sick Of Myself	Matthew Sweet
Take Your Time (Do It Right)	Max-A-Million
I Like	Kut Klose
Glaciers Of Ice/Criminology	Chef Raekwon
I Love You/You Bring Me Joy	Mary J. Blige
Heaven	Solo
Big Yellow Taxi	Amy Grant
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Crazy Love (From "Jason's Lyric")	Brian McKnight
I Wanna Love Like That	Tony Thompson
Breakfast At Tiffany's	Deep Blue Something
Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock
Warm Summer Daze	Vybe
My Up And Down	Adina Howard
My Love Is For Real	Paula Abdul
Survival Of The Fittest	Mobb Deep
Jeremy/Yellow Ledbetter	Pearl Jam
On The Down Low	Brian McKnight
Missing	Everything But The Girl
Baby Baby	Corona
Round & Round	Twinz
Remember Me This Way (From "Casper")	Jordan Hill
Hey Man Nice Shot	Filter
When You Say Nothing At All	Alison Krauss + Union Station
Keeper Of The Flame	Martin Page
So In Love With You	U.N.V.
Shimmy Shimmy Ya	Ol' Dirty Bastard
Foe Life	Mack 10
Not Enough	Van Halen
Tonight Is The Night	Le Click
Walking To Jerusalem	Tracy Byrd
Listen Me Tic (Woyoi)	Ini Kamoze
