Hello	Adele
Sorry	Justin Bieber
Hotline Bling	Drake
Love Yourself	Justin Bieber
What Do You Mean?	Justin Bieber
The Hills	The Weeknd
Stitches	Shawn Mendes
679	Fetty Wap Featuring Remy Boyz
Wildest Dreams	Taylor Swift
Here	Alessia Cara
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Ex's & Oh's	Elle King
Same Old Love	Selena Gomez
Focus	Ariana Grande
On My Mind	Ellie Goulding
Jumpman	Drake & Future
Can't Feel My Face	The Weeknd
Watch Me	Silento
I'll Show You	Justin Bieber
Locked Away	R. City Featuring Adam Levine
Lean On	Major Lazer & DJ Snake Featuring MO
WTF (Where They From)	Missy Elliott Featuring Pharrell Williams
Antidote	Travis Scott
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Die A Happy Man	Thomas Rhett
Renegades	X Ambassadors
Hit The Quan	iLoveMemphis
White Iverson	Post Malone
Trap Queen	Fetty Wap
Great Is Thy Faithfulness	Jordan Smith
The Feeling	Justin Bieber Featuring Halsey
Good For You	Selena Gomez Featuring A$AP Rocky
I'm Comin' Over	Chris Young
Where Are U Now	Skrillex & Diplo With Justin Bieber
Where Ya At	Future Featuring Drake
Confident	Demi Lovato
Perfect	One Direction
Don't	Bryson Tiller
My Way	Fetty Wap Featuring Monty
Drag Me Down	One Direction
See You Again	Wiz Khalifa Featuring Charlie Puth
Mark My Words	Justin Bieber
Purpose	Justin Bieber
Break Up In A Small Town	Sam Hunt
Again	Fetty Wap
Photograph	Ed Sheeran
Cheerleader	OMI
How Deep Is Your Love	Calvin Harris & Disciples
No Pressure	Justin Bieber Featuring Big Sean
Lay It All On Me	Rudimental Featuring Ed Sheeran
Say It	Tory Lanez
No Role Modelz	J. Cole
Company	Justin Bieber
No Sense	Justin Bieber Featuring Travi$ Scott
Back Up	DeJ Loaf Featuring Big Sean
Smoke Break	Carrie Underwood
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Burning House	Cam
Do It Like Me	DLOW
Nothin' Like You	Dan + Shay
Gonna	Blake Shelton
Roses	The Chainsmokers Featuring Rozes
Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd
Break Up With Him	Old Dominion
Come Get Her	Rae Sremmurd
Tennessee Whiskey	Chris Stapleton
Life Is Worth Living	Justin Bieber
Back To Back	Drake
Stressed Out	twenty one pilots
Strip It Down	Luke Bryan
The Fix	Nelly Featuring Jeremih
Adventure Of A Lifetime	Coldplay
Gonna Know We Were Here	Jason Aldean
Children	Justin Bieber
Hide Away	Daya
Big Rings	Drake & Future
Stay A Little Longer	Brothers Osborne
Exchange	Bryson Tiller
Liquor	Chris Brown
Let Me See Ya Girl	Cole Swindell
Been You	Justin Bieber
I Got The Boy	Jana Kramer
If I Could Fly	One Direction
Love Myself	Hailee Steinfeld
Top Of The World	Tim McGraw
In The Night	The Weeknd
Olivia	One Direction
We Are	Justin Bieber Featuring Nas
Me, Myself & I	G-Eazy x Bebe Rexha
Get Used To It	Justin Bieber
Right Hand	Drake
I Love This Life	LOCASH
Cake By The Ocean	DNCE
A.M.	One Direction
RGF Island	Fetty Wap
Temporary Fix	One Direction
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Trust	Justin Bieber
My House	Flo Rida
Never Enough	One Direction
