Miss You Much	Janet Jackson
Love Song	The Cure
Sowing The Seeds Of Love	Tears For Fears
Listen To Your Heart	Roxette
Mixed Emotions	The Rolling Stones
Cover Girl	New Kids On The Block
Love In An Elevator	Aerosmith
It's No Crime	Babyface
Bust A Move	Young M.C.
When I Looked At Him	Expose
Dr. Feelgood	Motley Crue
Cherish	Madonna
Rock Wit'cha	Bobby Brown
Girl I'm Gonna Miss You	Milli Vanilli
When I See You Smile	Bad English
Healing Hands	Elton John
Heaven	Warrant
If I Could Turn Back Time	Cher
The Best	Tina Turner
Didn't I (Blow Your Mind)	New Kids On The Block
Love Shack	The B-52s
(It's Just) The Way That You Love Me	Paula Abdul
Call It Love	Poco
It's Not Enough	Starship
I Feel The Earth Move	Martika
Angelia	Richard Marx
Poison	Alice Cooper
Back To Life	Soul II Soul
Blame It On The Rain	Milli Vanilli
18 And Life	Skid Row
Glamour Boys	Living Colour
Sunshine	Dino
Don't Shut Me Out	Kevin Paige
Let Go	Sharon Bryant
Get On Your Feet	Gloria Estefan
(You're My One And Only) True Love	Seduction
Me So Horny	The 2 Live Crew
Don't Close Your Eyes	KIX
My Heart Skips A Beat	The Cover Girls
We Didn't Start The Fire	Billy Joel
Sugar Daddy	Thompson Twins
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Don't Look Back	Fine Young Cannibals
What I Like About You	Michael Morales
Cold Hearted	Paula Abdul
Leave A Light On	Belinda Carlisle
Living In Sin	Bon Jovi
Don't Wanna Lose You	Gloria Estefan
Angel Eyes	The Jeff Healey Band
The Way To Your Heart	Soulsister
Partyman	Prince
Talk To Myself	Christopher Williams
Don't Make Me Over	Sybil
Right Here Waiting	Richard Marx
What About Me	Moving Pictures
Don't Ask Me Why	Eurythmics
Shower Me With Your Love	Surface
Licence To Chill	Billy Ocean
The Last Worthless Evening	Don Henley
One	Bee Gees
With Every Beat Of My Heart	Taylor Dayne
Love Song	Tesla
The Angel Song	Great White
Radar Love	White Lion
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Congratulations	Vesta
Hangin' Tough	New Kids On The Block
I Love The Bass	Bardeux
Runnin' Down A Dream	Tom Petty
I Like It	Dino
My Fantasy (From "Do The Right Thing")	Teddy Riley Featuring Guy
Once Bitten Twice Shy	Great White
Girl I Am Searching For You	Stevie B
Kisses On The Wind	Neneh Cherry
I'm A Believer	Giant
Hold On	Donny Osmond
Baby Come To Me	Regina Belle
Sold Me Down The River	The Alarm
If You Asked Me To (From "Licence To Kill")	Patti LaBelle
Everything	Jody Watley
Pump Up The Jam	Technotronic Featuring Felly
We Could Be Together	Debbie Gibson
I Want You	Shana
Touch The Fire	Icehouse
On Our Own (From "Ghostbusters II")	Bobby Brown
Heat Of The Moment	After 7
If You Leave Me Now	Jaya
Soul Provider	Michael Bolton
Hungry	Winger
Just Like Jesse James	Cher
The Arms Of Orion	Prince With Sheena Easton
The Same Love	The Jets
New Thing	Enuff Z'Nuff
The End Of The Innocence	Don Henley
Put Your Mouth On Me	Eddie Murphy
French Kiss	Lil Louis
Edie (Ciao Baby)	The Cult
Love Cries	Stage Dolls
Puss N' Boots/These Boots (Are Made For Walkin')	Kon Kan
Talk It Over	Grayson Hugh
