Money For Nothing	Dire Straits
Cherish	Kool & The Gang
Oh Sheila	Ready For The World
Take On Me	a-ha
Dress You Up	Madonna
Saving All My Love For You	Whitney Houston
Freedom	Wham!
Lonely Ol' Night	John Mellencamp
Dancing In The Street	David Bowie & Mick Jagger
Part-Time Lover	Stevie Wonder
Don't Lose My Number	Phil Collins
Fortress Around Your Heart	Sting
Miami Vice Theme	Jan Hammer
I'm Goin' Down	Bruce Springsteen
St. Elmo's Fire (Man In Motion)	John Parr
Cry	Godley & Creme
Dare Me	The Pointer Sisters
C-I-T-Y	John Cafferty & The Beaver Brown Band
Lovin' Every Minute Of It	Loverboy
Head Over Heels	Tears For Fears
Pop Life	Prince And The Revolution
We Don't Need Another Hero (Thunderdome)	Tina Turner
Four In The Morning (I Can't Take Anymore)	Night Ranger
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
Every Step Of The Way	John Waite
The Power Of Love	Huey Lewis & The News
I'm Gonna Tear Your Playhouse Down	Paul Young
Be Near Me	ABC
Sunset Grill	Don Henley
One Night Love Affair	Bryan Adams
We Built This City	Starship
You Belong To The City	Glenn Frey
And We Danced	Hooters
Lay Your Hands On Me	Thompson Twins
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
You Are My Lady	Freddie Jackson
Communication	The Power Station
Never	Heart
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Boy In The Box	Corey Hart
Who's Zoomin' Who	Aretha Franklin
I Got You Babe	UB40
Freeway Of Love	Aretha Franklin
So In Love	Orchestral Manoeuvres In The Dark
Separate Lives	Phil Collins and Marilyn Martin
You're Only Human (Second Wind)	Billy Joel
You Wear It Well	El DeBarge With DeBarge
Smokin' In The Boys Room	Motley Crue
Tonight It's You	Cheap Trick
Broken Wings	Mr. Mister
Weird Science	Oingo Boingo
One Of The Living	Tina Turner
Summer Of '69	Bryan Adams
Born In East L.A.	Cheech & Chong
All Of Me For All Of You	9.9
I Miss You	Klymaxx
There Must Be An Angel	Eurythmics
Stand By Me	Maurice White
Perfect Way	Scritti Politti
Shout	Tears For Fears
Never Surrender	Corey Hart
After The Fire	Roger Daltrey
Soul Kiss	Olivia Newton-John
Like To Get To Know You Well	Howard Jones
The Night Is Still Young	Billy Joel
All Fall Down	Five Star
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Screams Of Passion	The Family
Object Of My Desire	Starpoint
Running Up That Hill	Kate Bush
Shame	The Motels
Girls Are More Fun	Ray Parker Jr.
Hard Times For Lovers	Jennifer Holliday
Life In One Day	Howard Jones
Lover Come Back To Me	Dead Or Alive
I'll Be Good	Rene & Angela
No Lookin' Back	Michael McDonald
What About Love?	Heart
And She Was	Talking Heads
Eaten Alive	Diana Ross
Hurts To Be In Love	Gino Vannelli
Party All The Time	Eddie Murphy
The Oak Tree	Morris Day
Everytime You Go Away	Paul Young
Blue Kiss	Jane Wiedlin
Eye To Eye	Go West
Mystery Lady	Billy Ocean
First Night	Survivor
Kayleigh	Marillion
Remo's Theme (What If)	Tommy Shaw
You Look Marvelous	Billy Crystal
Janet	Commodores
Test Of Time	The Romantics
Wise Up	Amy Grant
Down On Love	Foreigner
If You Love Somebody Set Them Free	Sting
A Little Bit of Heaven	Natalie Cole
Forever	Kenny Loggins
Who's Holding Donna Now	Debarge
Spanish Eddie	Laura Branigan
