Take A Bow	Madonna
Candy Rain	Soul For Real
Creep	TLC
Red Light Special	TLC
Strong Enough	Sheryl Crow
Run Away	Real McCoy
This Is How We Do It	Montell Jordan
Baby	Brandy
Big Poppa/Warning	The Notorious B.I.G.
You Gotta Be	Des'ree
I Know	Dionne Farris
If You Love Me	Brownstone
Freak Like Me	Adina Howard
Hold My Hand	Hootie & The Blowfish
Another Night	Real McCoy
On Bended Knee	Boyz II Men
This Lil' Game We Play	Subway (Featuring 702)
Like The Way I Do/If I Wanted To	Melissa Etheridge
Keep Their Heads Ringin' (From "Friday")	Dr. Dre
Believe	Elton John
In The House Of Stone And Light	Martin Page
Always	Bon Jovi
Thank You	Boyz II Men
Dear Mama/Old School	2Pac
Hold On	Jamie Walters
Sukiyaki	4PM
I Believe	Blessid Union Of Souls
If You Think You're Lonely Now	K-Ci Hailey
Everlasting Love	Gloria Estefan
You Don't Know How It Feels	Tom Petty
I Live My Life For You	Firehouse
The Rhythm Of The Night	Corona
Before I Let You Go	BLACKstreet
You Got It (From "Boys On The Side")	Bonnie Raitt
I'm The Only One	Melissa Etheridge
Every Day Of The Week	Jade
Dream About You/Funky Melody	Stevie B
Cotton Eye Joe	Rednex
Get Ready For This	2 Unlimited
I Miss You	N2U
House Of Love	Amy Grant With Vince Gill
Get Down	Craig Mack
The Sweetest Days	Vanessa Williams
Mr. Personality	Gillette
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
Short Dick Man	20 Fingers Featuring Gillette
Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E
I Wanna Be Down	Brandy
Ask Of You (From "Higher Learning")	Raphael Saadiq
100% Pure Love	Crystal Waters
Tell Me When	The Human League
No More "I Love You's"	Annie Lennox
Can't Stop Lovin' You	Van Halen
Brooklyn Zoo	Ol' Dirty Bastard
Constantly	Immature
Move It Like This	K7
For Your Love	Stevie Wonder
I'd Rather Be Alone	IV Xample
I'll Be Around	Rappin' 4-Tay Featuring The Spinners
Think Of You	Usher
Mad Izm	Channel Live
(She's Got) Skillz	All-4-One
Mental Picture	Jon Secada
Let Her Cry	Hootie & The Blowfish
Tour	Capleton
Until The End Of Time	Foreigner
Never Find Someone Like You	Keith Martin
Here & Now	Letters To Cleo
Fat Boy	Max-A-Million
Connection	Elastica
Get Lifted	Keith Murray
She's A River	Simple Minds
Shook Ones Part II	Mobb Deep
Bang And Blame	R.E.M.
Close To You	Fun Factory
Run-Around	Blues Traveler
1-Luv	E-40 (Featuring Leviti)
She Don't Use Jelly	The Flaming Lips
Joy	BLACKstreet
Mishale	Andru Donalds
Let's Get It On	Shabba Ranks
Rodeo	95 South
Kitty Kitty	69 Boyz
Purple Medley	Prince
Whutcha Want?	Nine
Lick It	Roula
Sour Times (Nobody Loves Me)	Portishead
Total Eclipse Of The Heart	Nicki French
People Don't Believe	Scarface Feat. Ice Cube
Wonderful	Adam Ant
Your Loving Arms	Billie Ray Martin
Shy Guy (From "Bad Boys")	Diana King
Feel So High	Des'ree
Dreamer	Livin' Joy
The Keeper Of The Stars	Tracy Byrd
Foolin' Around	Changing Faces
Always And Forever	Luther Vandross
Safe + Sound	DJ Quik
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Promise Me	Lil Suzy
