To Be With You	Mr. Big
I'm Too Sexy	Right Said Fred
Remember The Time	Michael Jackson
I Love Your Smile	Shanice
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
Diamonds And Pearls	Prince And The N.P.G.
Masterpiece	Atlantic Starr
Tell Me What You Want Me To Do	Tevin Campbell
Good For Me	Amy Grant
Don't Let The Sun Go Down On Me	George Michael/Elton John
Smells Like Teen Spirit	Nirvana
Missing You Now	Michael Bolton
All 4 Love	Color Me Badd
I Can't Dance	Genesis
Uhh Ahh	Boyz II Men
Finally	CeCe Peniston
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Justified And Ancient	The KLF Featuring Tammy Wynette
Vibeology	Paula Abdul
I'll Get By	Eddie Money
The Way I Feel About You	Karyn White
Thinkin' Back	Color Me Badd
Beauty And The Beast	Celine Dion And Peabo Bryson
Mysterious Ways	U2
Can't Let Go	Mariah Carey
What Becomes Of The Brokenhearted	Paul Young
Make It Happen	Mariah Carey
2 Legit 2 Quit	M.C. Hammer
Until Your Love Comes Back Around	RTZ
Oochie Coochie	M.C. Brains
Keep It Comin'	Keith Sweat
I Can't Make You Love Me	Bonnie Raitt
We Got A Love Thang	CeCe Peniston
Paper Doll	P.M. Dawn
If You Go Away	NKOTB
Everything Changes	Kathy Troccoli
Hazard	Richard Marx
Again Tonight	John Mellencamp
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
Move Any Mountain	The Shamen
Is It Good To You	Heavy D & The Boyz
Stay	Jodeci
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Stars	Simply Red
Too Much Passion	The Smithereens
On A Sunday Afternoon	Lighter Shade Of Brown
Too Blind To See It	Kym Sims
Kiss You Back	Digital Underground
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Mama, I'm Coming Home	Ozzy Osbourne
Black Or White	Michael Jackson
You Showed Me	Salt-N-Pepa
Addams Groove	M.C. Hammer
Live And Let Die	Guns N' Roses
No Son Of Mine	Genesis
Can't Cry Hard Enough	The Williams Brothers
You Are The One	Chris Cuevas
What Goes Around Comes Around	Giggles
Church Of Your Heart	Roxette
I Need Money	Marky Mark & The Funky Bunch
Everything's Gonna Be Alright	Naughty By Nature
Right Now	Van Halen
There Will Never Be Another Tonight	Bryan Adams
I've Got A Lot To Learn About Love	The Storm
Ain't 2 Proud 2 Beg	TLC
I Wanna Be Your Girl	Icy Blu
Wildside	Marky Mark & The Funky Bunch
The Choice Is Yours	Black Sheep
The Unforgiven	Metallica
In Paradise	Laissez Faire
The Globe	Big Audio
I'm The One You Need	Jody Watley
Nu Nu	Lidell Townsell
Love Me All Up	Stacy Earl
Kissing The Wind	Nia Peeples
How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill
Keep Coming Back	Richard Marx
Ain't Gonna Hurt Nobody	Kid 'N Play
Caribbean Blue	Enya
Everlasting Love	Tony Terry
Forever My Lady	Jodeci
Hearts Don't Think (They Feel)	Natural Selection
Don't Lose The Magic	Shawn Christopher
Change	Lisa Stansfield
Boom! I Got Your Boyfriend	MC Luscious
All Woman	Lisa Stansfield
Hold On (Tighter To Love)	Clubland
Poor Georgie	MC Lyte
Spending My Time	Roxette
I Want You	Jody Watley
You Think You Know Her	Cause And Effect
In My Dreams	The Party
Do You Want It Right Now	Degrees Of Motion
Peace Of Mind (Love Goes On)	One 2 One
Juice (Know The Ledge)	Eric B. & Rakim
Only Love Can Break Your Heart	St. Etienne
You're All That Matters To Me	Curtis Stigers
Send Me An Angel	Scorpions
Cold Shower	Erin Cruise
