Half-Breed	Cher
Ramblin Man	The Allman Brothers Band
Let's Get It On	Marvin Gaye
Higher Ground	Stevie Wonder
Angie	The Rolling Stones
That Lady (Part 1)	The Isley Brothers
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
Midnight Train To Georgia	Gladys Knight And The Pips
Keep On Truckin' (Part 1)	Eddie Kendricks
We're An American Band	Grand Funk
Yes We Can Can	The Pointer Sisters
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Paper Roses	Marie Osmond
Free Ride	Edgar Winter Group
China Grove	The Doobie Brothers
My Maria	B.W. Stevenson
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
Delta Dawn	Helen Reddy
All I Know	Garfunkel
Knockin' On Heaven's Door	Bob Dylan
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Brother Louie	Stories
Why Me	Kris Kristofferson
Rocky Mountain Way	Joe Walsh
Touch Me In The Morning	Diana Ross
Space Race	Billy Preston
You've Never Been This Far Before	Conway Twitty
Get It Together	Jackson 5
Hurts So Good	Millie Jackson
In The Midnight Hour	Cross Country
We May Never Pass This Way (Again)	Seals & Crofts
Funky Stuff	Kool & The Gang
Summer (The First Time)	Bobby Goldsboro
Ecstasy	Ohio Players
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Let Me In	The Osmonds
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Jesse	Roberta Flack
Jimmy Loves Mary-Anne	Looking Glass
I Got A Name	Jim Croce
Gypsy Man	War
Saturday Night's Alright For Fighting	Elton John
Just You 'n' Me	Chicago
Nutbush City Limits	Ike & Tina Turner
Stoned Out Of My Mind	The Chi-lites
Raised On Rock/For Ol' Times Sake	Elvis Presley
If You Want Me To Stay	Sly & The Family Stone
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Such A Night	Dr. John
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Here I Am Come & Take Me	Al Green
I've Got So Much To Give	Barry White
The Most Beautiful Girl	Charlie Rich
Never Let You Go	Bloodstone
Friends/chapel Of Love	Bette Midler
Top Of The World	Carpenters
I Can't Stand The Rain	Ann Peebles
Rhapsody In Blue	Deodato
Check It Out	Tavares
Photograph	Ringo Starr
Sister James	Nino Tempo And 5th Ave. Sax
Outlaw Man	Eagles
To Know You Is To Love You	B.B. King
Hey Girl (i Like Your Style)	The Temptations
Woman From Tokyo	Deep Purple
Ashes To Ashes	The 5th Dimension
Loving Arms	Dobie Gray
This Time It's Real	Tower Of Power
Everybody's Had The Blues	Merle Haggard And The Strangers
Evil	Earth, Wind & Fire
Country Sunshine	Dottie West
Let Me Be Your Lovemaker	Betty Wright
Ridin' My Thumb To Mexico	Johnny Rodriguez
Blood Red And Goin' Down	Tanya Tucker
Gotta Find A Way	Moments
Rubber Bullets	10cc
Cheaper To Keep Her	Johnnie Taylor
Life Ain't Easy	Dr. Hook And The Medicine Show
West Coast Woman	Painter
My Pretending Days Are Over	The Dells
Ooh Baby	Gilbert O'Sullivan
Sweet Understanding Love	Four Tops
Hello It's Me	Todd Rundgren
You'd Better Believe It	The Manhattans
Oh! No Not My Baby	Rod Stewart
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry	Hank Wilson
I'm Coming Home	Johnny Mathis
Little Girl Gone	Donna Fargo
Redneck Friend	Jackson Browne
You're The Best Thing That Ever Happened To Me	Ray Price
Love Is All	Engelbert Humperdinck
Slippin' Away	Jean Shepard
Take A Closer Look At The Woman You're With	Wilson Pickett
Hey, Little Girl	Foster Sylvers
I Won't Last A Day Without You	Maureen McGovern
Farewell Andromeda (Welcome To My Morning)	John Denver
Tonight	Raspberries
Stealin'	Uriah Heep
"Having A Party" Medley	The Ovations (Featuring Louis Williams)
Kid Stuff	Barbara Fairchild
