Let's Dance	David Bowie
Beat It	Michael Jackson
Flashdance...What A Feeling	Irene Cara
Overkill	Men At Work
She Blinded Me With Science	Thomas Dolby
Little Red Corvette	Prince
Solitaire	Laura Branigan
Jeopardy	Greg Kihn Band
My Love	Lionel Richie
Time (Clock Of The Heart)	Culture Club
Der Kommissar	After The Fire
Photograph	Def Leppard
Straight From The Heart	Bryan Adams
Rio	Duran Duran
I Won't Hold You Back	Toto
Affair Of The Heart	Rick Springfield
Come On Eileen	Dexys Midnight Runners
Always Something There To Remind Me	Naked Eyes
Faithfully	Journey
Don't Let It End	Styx
Mornin'	Jarreau
Family Man	Daryl Hall John Oates
Mr. Roboto	Styx
Stranger In My House	Ronnie Milsap
She's A Beauty	The Tubes
Even Now	Bob Seger & The Silver Bullet Band
Never Gonna Let You Go	Sergio Mendes
Try Again	Champaign
Billie Jean	Michael Jackson
Too Shy	Kajagoogoo
Electric Avenue	Eddy Grant
I Couldn't Say No	Robert Ellis Orral With Carlene Carter
I'm Still Standing	Elton John
The One Thing	INXS
It Might Be You	Stephen Bishop
Some Kind Of Friend	Barry Manilow
Gimme All Your Lovin	ZZ Top
Separate Ways (Worlds Apart)	Journey
No Time For Talk	Christopher Cross
Looking For A Stranger	Pat Benatar
All My Life	Kenny Rogers
So Wrong	Patrick Simmons
Welcome To Heartlight	Kenny Loggins
All This Love	Debarge
We Two	Little River Band
Fool Moon Fire	Walter Egan
One On One	Daryl Hall John Oates
That's Love	Jim Capaldi
The Woman In You	Bee Gees
Come Dancing	The Kinks
Love On Your Side	Thompson Twins
Our House	Madness
New Year's Day	U2
Don't Pay The Ferryman	Chris de Burgh
You Can't Run From Love	Eddie Rabbitt
Cool Places	Sparks & Jane Wiedlin
Easy For You To Say	Linda Ronstadt
The Closer You Get	Alabama
Sing Me Away	Night Ranger
Love's Got A Line On You	Scandal Featuring Patty Smyth
Inside Love (so Personal)	George Benson
Candy Girl	New Edition
Bang The Drum All Day	Todd Rundgren
Why Me?	Planet P
Front Page Story	Neil Diamond
Hungry Like The Wolf	Duran Duran
I Like It	Debarge
Ricky	"Weird Al" Yankovic
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
How Do You Keep The Music Playing	James Ingram And Patti Austin
White Wedding	Billy Idol
When I'm With You	Sheriff
Do You Really Want To Hurt Me	Culture Club
The Walls Came Down	The Call
Sign Of The Times	The Belle Stars
Side By Side	Earth, Wind & Fire
Theme From Doctor Detroit	Devo
Sweet Dreams (Are Made Of This)	Eurythmics
Slipping Away	Dave Edmunds
What You Do To Me	Carl Wilson
I Cannot Believe It's True	Phil Collins
Fools Game	Michael Bolton
Where Everybody Knows Your Name (The Theme From "Cheers")	Gary Portnoy
We've Got Tonight	Kenny Rogers And Sheena Easton
Twilight Zone	Golden Earring
The Salt In My Tears	Martin Briley
Whirly Girl	Oxo
Smiling Islands	Robbie Patton
Swingin'	John Anderson
Save The Overtime (For Me)	Gladys Knight And The Pips
Back On The Chain Gang	Pretenders
I Eat Cannibals	Total Coelo
Whatever Happened To Old Fashioned Love	B.J. Thomas
I Know There's Something Going On	Frida
He's A Pretender	High Inergy
Wind Him Up	Saga
Tonight	The Whispers
Take The Short Way Home	Dionne Warwick
Minimum Love	Mac McAnally
Make Love Stay	Dan Fogelberg
