Telstar	The Tornadoes
Limbo Rock	Chubby Checker
Bobby's Girl	Marcie Blane
Go Away Little Girl	Steve Lawrence
Big Girls Don't Cry	The 4 Seasons
Return To Sender	Elvis Presley With The Jordanaires
You Are My Sunshine	Ray Charles
Release Me	Esther Phillips "Little Esther"
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Hotel Happiness	Brook Benton
Pepino The Italian Mouse	Lou Monte
Keep Your Hands Off My Baby	Little Eva
Dear Lonely Hearts	Nat King Cole
Tell Him	The Exciters
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Don't Hang Up	The Orlons
Chains	The Cookies
Love Came To Me	Dion
Two Lovers	Mary Wells
My Dad	Paul Petersen
The Night Has A Thousand Eyes	Bobby Vee
Ruby Ann	Marty Robbins
Santa Claus Is Coming To Town	The 4 Seasons
Wiggle Wobble	Les Cooper and the Soul Rockers
Ride!	Dee Dee Sharp
Rumors	Johnny Crawford
Everybody Loves A Lover	The Shirelles
The Little Drummer Boy	The Harry Simeone Chorale
Up On The Roof	The Drifters
It's Up To You	Rick Nelson
Monsters' Holiday	Bobby "Boris" Pickett And The Crypt-Kickers
Your Cheating Heart	Ray Charles
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Shutters And Boards	Jerry Wallace
Let's Go (pony)	The Routers
Comin' Home Baby	Mel Torme
Desafinado	Stan Getz/Charlie Byrd
White Christmas	Bing Crosby
I Saw Linda Yesterday	Dickey Lee
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
The Push And Kick	Mark Valentino
Let's Kiss And Make Up	Bobby Vinton
Half Heaven - Half Heartache	Gene Pitney
See See Rider	LaVern Baker
Santa Claus Is Watching You	Ray Stevens
Don't Make Me Over	Dionne Warwick
He's A Rebel	The Crystals
Spanish Lace	Gene McDaniels
Trouble Is My Middle Name	Bobby Vinton
Ten Little Indians	The Beach Boys
I'm Gonna' Be Warm This Winter	Connie Francis
Some Kinda Fun	Chris Montez
The Love Of A Boy	Timi Yuro
You Threw A Lucky Punch	Gene Chandler
Coney Island Baby	The Excellents
Jingle Bell Rock	Bobby Helms
All Alone Am I	Brenda Lee
Remember Then	The Earls
Rockin' Around The Christmas Tree	Brenda Lee
That's Life (That's Tough)	Gabriel And The Angels
Loop De Loop	Johnny Thunder
Rainbow At Midnight	Jimmie Rodgers
I Left My Heart In San Francisco	Tony Bennett
Me And My Shadow	Frank Sinatra & Sammy Davis Jr.
The Christmas Song (Merry Christmas To You)	Nat King Cole
Don't Go Near The Eskimos	Ben Colder
My Coloring Book	Kitty Kallen
The Ballad Of Jed Clampett	Flatt & Scruggs
You've Really Got A Hold On Me	The Miracles
I May Not Live To See Tomorrow	Brian Hyland
Shake Sherry	The Contours
Strange I Know	The Marvelettes
Lovesick Blues	Frank Ifield
My Wife Can't Cook	Lonnie Russ
Cast Your Fate To The Wind	Vince Guaraldi Trio
You're Gonna Need Me	Barbara Lynn
Rudolph The Red Nosed Reindeer	David Seville And The Chipmunks
Gonna Raise A Rukus Tonight	Jimmy Dean
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
My Coloring Book	Sandy Stewart
Little Town Flirt	Del Shannon
Echo	The Emotions
From A Jack To A King	Ned Miller
Wild Weekend	The Rebels
Molly	Bobby Goldsboro
Java	Floyd Cramer
I Need You	Rick Nelson
Trouble In Mind	Aretha Franklin
Little Tin Soldier	The Toy Dolls
Shake Me I Rattle (Squeeze Me I Cry)	Marion Worth
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
The 2,000 Pound Bee (Part 2)	The Ventures
He's Sure The Boy I Love	The Crystals
Sam's Song	Dean Martin & Sammy Davis Jr.
Lover Come Back To Me	The Cleftones
Hey Paula	Paul and Paula
The (Bossa Nova) Bird	The Dells
What To Do With Laurie	Mike Clifford
Silent Night, Holy Night	Mahalia Jackson
The Popeye Waddle	Don Covay
