Careless Whisper	Wham! Featuring George Michael
I Want To Know What Love Is	Foreigner
Easy Lover	Philip Bailey With Phil Collins
Lover Boy	Billy Ocean
Method Of Modern Love	Daryl Hall John Oates
Neutron Dance	The Pointer Sisters
Can't Fight This Feeling	REO Speedwagon
The Heat Is On	Glenn Frey
The Boys Of Summer	Don Henley
California Girls	David Lee Roth
Sugar Walls	Sheena Easton
Solid	Ashford & Simpson
You're The Inspiration	Chicago
The Old Man Down The Road	John Fogerty
Mr. Telephone Man	New Edition
Misled	Kool & The Gang
Like A Virgin	Madonna
Foolish Heart	Steve Perry
I Would Die 4 U	Prince And The Revolution
Operator	Midnight Star
Call To The Heart	Giuffria
Jungle Love	The Time
Too Late For Goodbyes	Julian Lennon
Lover Girl	Teena Marie
Private Dancer	Tina Turner
Rockin' At Midnight	The Honeydrippers
Tenderness	General Public
Relax	Frankie Goes To Hollywood
Love Light In Flight	Stevie Wonder
Only The Young	Journey
Naughty Naughty	John Parr
Money Changes Everything	Cyndi Lauper
Keeping The Faith	Billy Joel
Material Girl	Madonna
Save A Prayer	Duran Duran
Ooh Ooh Song	Pat Benatar
High On You	Survivor
I Wanna Hear It From Your Lips	Eric Carmen
Tragedy	John Hunter
Just Another Night	Mick Jagger
One More Night	Phil Collins
Somebody	Bryan Adams
All I Need	Jack Wagner
Mistake No. 3	Culture Club
Turn Up The Radio	Autograph
The Borderlines	Jeffrey Osborne
Why Can't I Have You	The Cars
Treat Her Like A Lady	The Temptations
Nightshift	Commodores
This Is Not America	David Bowie/Pat Metheny Group
Take Me With U	Prince And The Revolution Duet With Apollonia
Beat Of A Heart	Scandal Featuring Patty Smyth
Small Town Boy	Bronski Beat
I'm On Fire	Bruce Springsteen
Jamie	Ray Parker Jr.
Obsession	Animotion
Run To You	Bryan Adams
Do What You Do	Jermaine Jackson
Missing You	Diana Ross
We Belong	Pat Benatar
Yo Little Brother	Nolan Thomas
Playing To Win	Little River Band
Restless Heart	John Waite
Born In The USA	Bruce Springsteen
Rhythm Of The Night	Debarge
Second Nature	Dan Hartman
The Word Is Out	Jermaine Stewart
Rain Forest	Paul Hardcastle
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
Go For It	Kim Wilde
Holyanna	Toto
Lucky	Greg Kihn
Cool It Now	New Edition
Radioactive	The Firm
The Wild Boys	Duran Duran
One Foot Back In Your Door	Roman Holliday
This Is My Night	Chaka Khan
Do It Again	The Kinks
20/20	George Benson
Kiss and Tell	Isley, Jasper, Isley
Do They Know It's Christmas?	Band-Aid
Sea Of Love	The Honeydrippers
In Neon	Elton John
Let's Talk About Me	The Alan Parsons Project
Baby Come Back To Me	The Manhattan Transfer
Crazy	Kenny Rogers
Bongo Bongo	Steve Miller
If I Had A Rocket Launcher	Bruce Cockburn
Invitation To Dance	Kim Carnes
I Feel For You	Chaka Khan
Out Of Touch	Daryl Hall John Oates
Gotta Get You Home Tonight	Eugene Wilde
Make No Mistake, He's Mine	Barbra Streisand With Kim Carnes
Valotte	Julian Lennon
New Attitude	Patti LaBelle
Understanding	Bob Seger
Knocking At Your Back Door	Deep Purple
Wake Me Up Before You Go-Go	Wham!
I Can't Hold Back	Survivor
Tender Years	John Cafferty & The Beaver Brown Band
