One More Night	Maroon 5
We Are Never Ever Getting Back Together	Taylor Swift
Some Nights	fun.
Whistle	Flo Rida
Blow Me (One Last Kiss)	P!nk
As Long As You Love Me	Justin Bieber Featuring Big Sean
Lights	Ellie Goulding
Too Close	Alex Clare
Good Time	Owl City & Carly Rae Jepsen
Everybody Talks	Neon Trees
Gangnam Style	PSY
Clique	Kanye West, Jay-Z, Big Sean
Call Me Maybe	Carly Rae Jepsen
Wide Awake	Katy Perry
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Pound The Alarm	Nicki Minaj
Give Your Heart A Break	Demi Lovato
Titanium	David Guetta Featuring Sia
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Don't Wake Me Up	Chris Brown
Wanted	Hunter Hayes
Home	Phillip Phillips
Where Have You Been	Rihanna
No Lie	2 Chainz Featuring Drake
I Won't Give Up	Jason Mraz
Want U Back	Cher Lloyd
Blown Away	Carrie Underwood
Pontoon	Little Big Town
50 Ways To Say Goodbye	Train
What Makes You Beautiful	One Direction
Take A Little Ride	Jason Aldean
It's Time	Imagine Dragons
We Are Young	fun. Featuring Janelle Monae
Adorn	Miguel
Ronan	Taylor Swift
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Ho Hey	The Lumineers
Let's Go	Calvin Harris Featuring Ne-Yo
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Thinkin Bout You	Frank Ocean
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Cowboys And Angels	Dustin Lynch
Heart Attack	Trey Songz
Drive By	Train
Glad You Came	The Wanted
Time Is Love	Josh Turner
Starships	Nicki Minaj
Hard To Love	Lee Brice
Scream	Usher
2 Reasons	Trey Songz Featuring T.I.
She's So Mean	matchbox twenty
Little Talks	Of Monsters And Men
Why Ya Wanna	Jana Kramer
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Turn On The Lights	Future
Kiss Tomorrow Goodbye	Luke Bryan
No Worries	Lil Wayne Featuring Detail
Cruise	Florida Georgia Line Featuring Nelly
Lovin' You Is Fun	Easton Corbin
The A Team	Ed Sheeran
Truck Yeah	Tim McGraw
Dark Side	Kelly Clarkson
Hello	Karmin
Birthday Song	2 Chainz Featuring Kanye West
Burn It Down	Linkin Park
Angel Eyes	Love And Theft
Lemme See	Usher Featuring Rick Ross
Amen	Meek Mill Featuring Drake
Come Wake Me Up	Rascal Flatts
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Come Over	Kenny Chesney
I Will Wait	Mumford & Sons
For You	Keith Urban
Over	Blake Shelton
Fastest Girl In Town	Miranda Lambert
The One That Got Away	Jake Owen
Feel Again	OneRepublic
Between The Raindrops	Lifehouse Featuring Natasha Bedingfield
Creepin'	Eric Church
Put It Down	Brandy Featuring Chris Brown
Madness	Muse
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Take A Walk	Passion Pit
This Kiss	Carly Rae Jepsen
Dive In	Trey Songz
Tonight (Best You Ever Had)	John Legend Featuring Ludacris
That's Why I Pray	Big & Rich
Dance For You	Beyonce
Radioactive	Imagine Dragons
Swimming Pools (Drank)	Kendrick Lamar
5-1-5-0	Dierks Bentley
Finally Found You	Enrique Iglesias Featuring Sammy Adams
It's Time	Glee Cast
Heart Skips A Beat	Olly Murs Featuring Chiddy Bang
Shinin' On Me	Jerrod Niemann
Til My Last Day	Justin Moore
Nobody's Perfect	J. Cole Featuring Missy Elliott
Oh Love	Green Day
