He's A Rebel	The Crystals
Only Love Can Break A Heart	Gene Pitney
Do You Love Me	The Contours
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
All Alone Am I	Brenda Lee
Big Girls Don't Cry	The 4 Seasons
Gina	Johnny Mathis
Limbo Rock	Chubby Checker
Next Door To An Angel	Neil Sedaka
Return To Sender	Elvis Presley With The Jordanaires
Sherry	The 4 Seasons
Close To Cathy	Mike Clifford
Patches	Dickey Lee
Popeye (The Hitchhiker)	Chubby Checker
The Cha-Cha-Cha	Bobby Rydell
Ramblin' Rose	Nat King Cole
What Kind Of Fool Am I	Sammy Davis Jr.
James (Hold The Ladder Steady)	Sue Thompson
Green Onions	Booker T. & The MG's
Torture	Kris Jensen
I Remember You	Frank Ifield
Nothing Can Change This Love	Sam Cooke
Surfin' Safari	The Beach Boys
I Left My Heart In San Francisco	Tony Bennett
Warmed Over Kisses (Left Over Love)	Brian Hyland
Desafinado	Stan Getz/Charlie Byrd
Love Me Tender	Richard Chamberlain
Let's Dance	Chris Montez
I've Got A Woman (Part I)	Jimmy McGriff
Alley Cat	Bent Fabric and His Piano
I Was Such A Fool (To Fall In Love With You)	Connie Francis
Don't Hang Up	The Orlons
Workin' For The Man	Roy Orbison
If A Man Answers	Bobby Darin
Venus In Blue Jeans	Jimmy Clanton
Susie Darlin'	Tommy Roe
Little Black Book	Jimmy Dean
Léah	Roy Orbison
Don't You Believe It	Andy Williams
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Bobby's Girl	Marcie Blane
Pop Pop Pop - Pie	The Sherrys
Baby Face	Bobby Darin
Ride!	Dee Dee Sharp
My Own True Love	The Duprees
No One Will Ever Know	Jimmie Rodgers
Mama Sang A Song	Stan Kenton
Don't Go Near The Indians	Rex Allen
Hide & Go Seek, Part I	Bunker Hill
That Stranger Used To Be My Girl	Trade Martin
Stormy Monday Blues	Bobby Bland
Rain Rain Go Away	Bobby Vinton
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
I'll Bring It Home To You	Carla Thomas
I Can't Help It (If I'm Still In Love With You)	Johnny Tillotson
I'm Going Back To School	Dee Clark
Ten Lonely Guys	Pat Boone
King Of The Whole Wide World	Elvis Presley With The Jordanaires
Wiggle Wobble	Les Cooper and the Soul Rockers
Lovers By Night, Strangers By Day	The Fleetwoods
Mama Sang A Song	Walter Brennan
Don't Ask Me To Be Friends	The Everly Brothers
Second Fiddle Girl	Barbara Lynn
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
The Burning Of Atlanta	Claude King
Mr. Lonely	Buddy Greco
Happy Weekend	Dave "Baby" Cortez
Release Me	Esther Phillips "Little Esther"
Twistin' With Linda	The Isley Brothers
You Can Run (But You Can't Hide)	Jerry Butler
I've Been Everywhere	Hank Snow
Untie Me	The Tams
He Thinks I Still Care	Connie Francis
I Left My Heart In The Balcony	Linda Scott
Heartaches	Patsy Cline
I'm Here To Get My Baby Out Of Jail	The Everly Brothers
Stubborn Kind Of Fellow	Marvin Gaye
Next Door To The Blues	Etta James
Somebody Have Mercy	Sam Cooke
Let's Go (pony)	The Routers
Eso Beso (That Kiss!)	Paul Anka
I'll Remember Carol	Tommy Boyce
Anna (Go To Him)	Arthur Alexander
The Alley Cat Song	David Thorne
Telstar	The Tornadoes
Don't Ever Leave Me	Bob And Earl
Mary Ann Regrets	Burl Ives
Comin' Home Baby	Mel Torme
Mama Sang A Song	Bill Anderson
Keep Your Hands Off My Baby	Little Eva
Magic Wand	Don & Juan
Aladdin	Bobby Curtola
Up On The Roof	The Drifters
Did You Ever See A Dream Walking	Fats Domino
Rumors	Johnny Crawford
Heart Breaker	Dean Christie
Four Walls	Kay Starr
I Lost My Baby	Joey Dee
Dear Hearts And Gentle People	The Springfields
Father Knows Best	The Radiants
