Let It Be	The Beatles
ABC	Jackson 5
Instant Karma (We All Shine On)	John Ono Lennon
Spirit In The Sky	Norman Greenbaum
Bridge Over Troubled Water	Simon & Garfunkel
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
House Of The Rising Sun	Frijid Pink
Come And Get It	Badfinger
Easy Come, Easy Go	Bobby Sherman
The Rapper	The Jaggerz
Up The Ladder To The Roof	The Supremes
The Bells	The Originals
Call Me/Son Of A Preacher Man	Aretha Franklin
Love Or Let Me Be Lonely	The Friends Of Distinction
American Woman/No Sugar Tonight	The Guess Who
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Give Me Just A Little More Time	Chairman Of The Board
Evil Ways	Santana
He Ain't Heavy, He's My Brother	The Hollies
Celebrate	Three Dog Night
Something's Burning	Kenny Rogers & The First Edition
Turn Back The Hands Of Time	Tyrone Davis
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
You're The One-Part II	Little Sister
Shilo	Neil Diamond
Long Lonesome Highway	Michael Parks
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Didn't I (Blow Your Mind This Time)	The Delfonics
Ma Belle Amie	The Tee Set
Reflections Of My Life	The Marmalade
Kentucky Rain	Elvis Presley
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Woodstock	Crosby, Stills, Nash & Young
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Get Ready	Rare Earth
Do The Funky Chicken	Rufus Thomas
Everybody's Out Of Town	B.J. Thomas
Vehicle	The Ides Of March
For The Love Of Him	Bobbi Martin
Little Green Bag	George Baker Selection
Temma Harbour	Mary Hopkin
My Woman, My Woman, My Wife	Marty Robbins
Mighty Joe	The Shocking Blue
Who's Your Baby?	The Archies
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
I Could Write A Book	Jerry Butler
California Girl	Eddie Floyd
Easy To Be Free	Rick Nelson
Jennifer Tomkins	Street People
To The Other Woman (I'm The Other Woman)	Doris Duke
Funky Drummer (Part 1)	James Brown
Everything Is Beautiful	Ray Stevens
Gotta Get Back To You	Tommy James And The Shondells
Children	Joe South
The Cat Walk	The Village Soul Choir
Love On A Two-Way Street	The Moments
Make Me Smile	Chicago
Come Together	Ike & Tina Turner & The Ikettes
Come Running	Van Morrison
Capture The Moment	Jay & The Americans
The Girls' Song	The 5th Dimension
The Funniest Thing	Dennis Yost And The Classics IV
Nothing Succeeds Like Success	Bill Deal & The Rhondels
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Living Loving Maid (She's Just A Woman)	Led Zeppelin
What Is Truth	Johnny Cash
Dear Prudence	The 5 Stairsteps
Cecilia	Simon & Garfunkel
But For Love	Jerry Naylor
Is Anybody Goin' To San Antone	Charley Pride
Deeper (In Love With You)	The O'Jays
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Chicken Strut	The Meters
So Excited	B.B. King
Run Sally Run	The Cuff Links
Hey Lawdy Mama	Steppenwolf
Brown Paper Bag	Syndicate Of Sound
He Made A Woman Out Of Me	Bobbie Gentry
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
Miss America	Mark Lindsay
Don't Stop Now/Since I Don't Have You	Eddie Holman
Hitchin' A Ride	Vanity Fare
Can You Feel It	Bobby Goldsboro
Love Minus Zero-No Limit	Turley Richards
Buffalo Soldier	Flamingos
July 12, 1939	Charlie Rich
Come Saturday Morning	The Sandpipers
Viva Tirado - Part I	El Chicano
Airport Love Theme (Gwen And Vern)	Vincent Bell
My Wife, The Dancer	Eddie & Dutch
Cole, Cooke & Redding	Wilson Pickett
Hang On Sloopy	The Lettermen
Mississippi Queen	Mountain
Oh Happy Day	Glen Campbell
Lucifer	Bob Seger System
You Make Me Real/Roadhouse Blues	The Doors
If Only I Had My Mind On Something Else	Bee Gees
I Can't Leave Your Love Alone	Clarence Carter
Angelica	Oliver
