Release Me	Wilson Phillips
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Do Me!	Bell Biv DeVoe
(Can't Live Without Your) Love And Affection	Nelson
Close To You	Maxi Priest
Thieves In The Temple	Prince
Something Happened On The Way To Heaven	Phil Collins
Praying For Time	George Michael
Have You Seen Her	M.C. Hammer
Unskinny Bop	Poison
Oh Girl	Paul Young
Can't Stop Falling Into Love	Cheap Trick
My, My, My	Johnny Gill
Heart Of Stone	Taylor Dayne
If Wishes Came True	Sweet Sensation
Can't Stop	After 7
Romeo	Dino
Everybody Everybody	Black Box
I Don't Have The Heart	James Ingram
Vision Of Love	Mariah Carey
Policy Of Truth	Depeche Mode
Tonight	New Kids On The Block
Ice Ice Baby	Vanilla Ice
Unchained Melody	The Righteous Brothers
Tic-Tac-Toe	Kyper
Dirty Cash (Money Talks)	The Adventures Of Stevie V
Epic	Faith No More
This Is The Right Time	Lisa Stansfield
Giving You The Benefit	Pebbles
Come Back To Me	Janet Jackson
Tell Me Something	Indecent Obsession
Black Cat	Janet Jackson
Suicide Blonde	INXS
Crazy	The Boys
Say A Prayer	Breathe
Fly To the Angels	Slaughter
All I'm Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.
Feels Good	Tony Toni Tone
Jerk Out	The Time
Time For Letting Go	Jude Cole
Georgia On My Mind	Michael Bolton
Can't Get Enuff	Winger
Love And Emotion	Stevie B
How Much Love	Vixen
King Of Wishful Thinking (From "Pretty Woman")	Go West
Cradle Of Love (From "Ford Fairlane")	Billy Idol
Cherry Pie	Warrant
Lies	En Vogue
More Than Words Can Say	Alias
Love Takes Time	Mariah Carey
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
Slow Love	Doc Box & B. Fresh
Make You Sweat	Keith Sweat
Joey	Concrete Blonde
Innocent	The Whispers
The Power	Snap!
La Raza	Kid Frost
I'd Rather Go Blind	Sydney Youngblood
Knockin' Boots	Candyman
Hold On	En Vogue
Could This Be Love	Seduction
Mentirosa	Mellow Man Ace
Second Chance	Tyler Collins
Rub You The Right Way	Johnny Gill
Look Into My Eyes	George LaMond
Violence Of Summer (Love's Taking Over)	Duran Duran
L.A. Woman	Billy Idol
Dream Boy/Dream Girl	Cynthia & Johnny O
I Wanna Get Back With You	Louie Louie
Hippychick	Soho
Jealous	Gene Loves Jezebel
Ooops Up	Snap!
Empty Beach	Tricia Leigh Fisher
Undeniable	Ms. Adventures
We're All In the Same Gang	The West Coast Rap All-Stars
Won't Talk About It	Beats International
Cuts Both Ways	Gloria Estefan
Across The River	Bruce Hornsby & The Range
Same Ol' Situation (S.O.S.)	Motley Crue
Possession	Bad English
The Girl I Used To Know	Brother Beyond
Groove Is In The Heart	Deee-Lite
Stranded	Heart
All I Do Is Think Of You	Troop
I Won't Give Up On You	TKA
The Way You Do The Things You Do	UB40
The Other Side	Aerosmith
When I'm Back On My Feet Again	Michael Bolton
High Enough	Damn Yankees
Lyin' To Myself	David Cassidy
First True Love	Tiana
I Don't Love You Anymore	The London Quireboys
Heart Like A Wheel	The Human League
How Bad Do You Want It?	Don Henley
Soul Inspiration	Anita Baker
Enjoy The Silence	Depeche Mode
Only Women Bleed	Favorite Angel
I Didn't Want To Need You	Heart
It Must Have Been Love (From "Pretty Woman")	Roxette
Vogue	Madonna
