Gettin' Jiggy Wit It	Will Smith
Nice & Slow	Usher
My Heart Will Go On	Celine Dion
No, No, No	Destiny's Child
Truly Madly Deeply	Savage Garden
What You Want	Mase Featuring Total
Gone Till November	Wyclef Jean
Frozen	Madonna
Together Again	Janet
Swing My Way	K.P. & Envyi
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
How Do I Live	LeAnn Rimes
Too Close	Next
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Are You Jimmy Ray?	Jimmy Ray
I Don't Ever Want To See You Again	Uncle Sam
I Want You Back	'N Sync
The Mummers' Dance	Loreena McKennitt
How's It Going To Be	Third Eye Blind
You're Still The One	Shania Twain
I Don't Want To Wait	Paula Cole
Kiss The Rain	Billie Myers
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Too Much	Spice Girls
A Song For Mama	Boyz II Men
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Do For Love	2Pac Featuring Eric Williams
You Make Me Wanna...	Usher
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
The Party Continues	JD Featuring Da Brat
Pink	Aerosmith
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Show Me Love	Robyn
A Rose Is Still A Rose	Aretha Franklin
Love You Down	INOJ/LATHUN
Semi-Charmed Life	Third Eye Blind
Father	LL Cool J
Tubthumping	Chumbawamba
All My Love	Queen Pen Featuring Eric Williams
I Know Where It's At	All Saints
I Do	Lisa Loeb
Quit Playing Games (With My Heart)	Backstreet Boys
They Don't Know	Jon B
All For You	Sister Hazel
Dangerous	Busta Rhymes
Get At Me Dog	DMX Featuring Sheek Of The Lox
All I Do	Somethin' For The People
Heaven	Nu Flavor
If You Think I'm Jiggy	The Lox
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Given To Fly	Pearl Jam
The City Is Mine	Jay-Z Featuring BLACKstreet
Strawberries	Smooth
Sweet Surrender	Sarah McLachlan
What Would Happen	Meredith Brooks
Light In Your Eyes	Blessid Union Of Souls
I Will Come To You	Hanson
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
We're Not Making Love No More	Dru Hill
I'm Alright	Jo Dee Messina
Burn	Militia
It's All About Me	Mya & Sisqo
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Bring It On	Keith Washington
32 Flavors	Alana Davis
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
What If I Said	Anita Cochran (Duet With Steve Wariner)
Imagination	Tamia
At The Beginning	Richard Marx & Donna Lewis
Life In Mono	Mono
Then What?	Clay Walker
It's Up To You	The Tuesdays
Breaking All The Rules	She Moves
Just Clownin'	WC From Westside Connection
Reality	Elusion
If I Never Stop Loving You	David Kersh
Off The Hook	Jody Watley
Brian Wilson	Barenaked Ladies
Spice Up Your Life	Spice Girls
Going Back To Cali	The Notorious B.I.G.
Say You'll Stay	KAI
A Promise I Make	Dakota Moon
My Heart Will Go On	Deja Vu
Who Am I	Beenie Man
Send My Love/Send One Your Love	Born Jamericans
Nothin' Move But The Money	Mic Geronimo Featuring DMX & Black Rob
The Memory Remains	Metallica
Ain't That Just The Way	Lutricia McNeal
It's Your Love	She Moves
This Kiss	Faith Hill
Tic Tic Tac	Fruit De La Passion
Lollipop (Candyman)	Aqua
So Long (Well, Well, Well)	Phajja
Saint Of Me	The Rolling Stones
Roxanne `97 - Puff Daddy Remix	Sting & The Police
In A Dream	Rockell
The Note	Daryle Singletary
Jealousy	Kim Sanders
Don't Be Stupid (You Know I Love You)	Shania Twain
What If	Reba McEntire
