Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Let's Groove	Earth, Wind & Fire
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Centerfold	The J. Geils Band
Harden My Heart	Quarterflash
Leather And Lace	Stevie Nicks With Don Henley
Turn Your Love Around	George Benson
Trouble	Lindsey Buckingham
The Sweetest Thing (I've Ever Known)	Juice Newton
Yesterday's Songs	Neil Diamond
Comin' In And Out Of Your Life	Barbra Streisand
Hooked On Classics	Royal Philharmonic Orchestra
Cool Night	Paul Davis
Young Turks	Rod Stewart
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Waiting On A Friend	The Rolling Stones
Shake It Up	The Cars
Leader Of The Band	Dan Fogelberg
I Wouldn't Have Missed It For The World	Ronnie Milsap
Come Go With Me	The Beach Boys
Take It Easy On Me	Little River Band
You Could Have Been With Me	Sheena Easton
She's Got A Way	Billy Joel
Why Do Fools Fall In Love	Diana Ross
Sweet Dreams	Air Supply
Don't Stop Believin'	Journey
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Under Pressure	Queen & David Bowie
Love Is Alright Tonite	Rick Springfield
Our Lips Are Sealed	Go-Go's
Steal The Night	Stevie Woods
Oh No	Commodores
Every Little Thing She Does Is Magic	The Police
Through The Years	Kenny Rogers
More Than Just The Two Of Us	Sneaker
Love In The First Degree	Alabama
Working For The Weekend	Loverboy
Key Largo	Bertie Higgins
All Our Tomorrows	Eddie Schwartz
Sea Of Love	Del Shannon
Castles In The Air	Don McLean
Somewhere Down The Road	Barry Manilow
If I Were You	Lulu
My Kinda Lover	Billy Squier
Breakin' Away	Al Jarreau
Abacab	Genesis
Could It Be Love	Jennifer Warnes
Feel Like A Number	Bob Seger & The Silver Bullet Band
Little Darlin'	Sheila
Mirror, Mirror	Diana Ross
Here I Am (Just When I Thought I Was Over You)	Air Supply
Keeping Our Love Alive	Henry Paul Band
My Girl (Gone, Gone, Gone)	Chilliwack
Private Eyes	Daryl Hall John Oates
Start Me Up	The Rolling Stones
Open Arms	Journey
Falling In Love	Balance
Love Is Like A Rock	Donnie Iris
Heart Like A Wheel	The Steve Miller Band
Let Me Love You Once	Greg Lake
Every Home Should Have One	Patti Austin
Those Good Old Dreams	Carpenters
Pac-Man Fever	Buckner & Garcia
Wkrp In Cincinnati	Steve Carlisle
A World Without Heroes	KISS
Crazy (Keep On Falling)	The John Hall Band
Tonight Tonight	Bill Champlin
One Hundred Ways	Quincy Jones Featuring James Ingram
Southern Pacific	Neil Young / Crazy Horse
Let The Feeling Flow	Peabo Bryson
That Girl	Stevie Wonder
You're My Latest, My Greatest Inspiration	Teddy Pendergrass
The Old Songs	Barry Manilow
Arthur's Theme (Best That You Can Do)	Christopher Cross
Spirits In The Material World	The Police
When All Is Said And Done	ABBA
Chariots Of Fire - Titles	Vangelis
Perhaps Love	Placido Domingo & John Denver
Daddy's Home	Cliff Richard
Let's Get It Up	AC/DC
No Reply At All	Genesis
I Believe	Chilliwack
It's My Party	Dave Stewart and Barbara Gaskin
Bobbie Sue	The Oak Ridge Boys
Tell Me Tomorrow - Part I	Smokey Robinson
Call Me	Skyy
Closer To The Heart	Rush
Can't Hold Back (Your Loving)	Kano
Tainted Love	Soft Cell
Tryin' To Live My Life Without You	Bob Seger
Better Things	The Kinks
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Just Once	Quincy Jones Featuring James Ingram
Poor Man's Son	Survivor
Never Too Much	Luther Vandross
Wrack My Brain	Ringo Starr
I've Done Everything For You	Rick Springfield
Blaze Of Glory	Kenny Rogers
Super Freak (Part I)	Rick James
