Undercover Angel	Alan O'Day
Da Doo Ron Ron	Shaun Cassidy
Looks Like We Made It	Barry Manilow
Gonna Fly Now	Bill Conti
I Just Want To Be Your Everything	Andy Gibb
Got To Give It Up (Pt. I)	Marvin Gaye
Angel In Your Arms	Hot
Jet Airliner	The Steve Miller Band
Margaritaville	Jimmy Buffett
My Heart Belongs To Me	Barbra Streisand
I'm In You	Peter Frampton
Do You Wanna Make Love	Peter Mccann
Dreams	Fleetwood Mac
Best Of My Love	The Emotions
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
Whatcha Gonna Do?	Pablo Cruise
You And Me	Alice Cooper
High School Dance	The Sylvers
Knowing Me, Knowing You	ABBA
Love's Grown Deep	Kenny Nolan
Life In The Fast Lane	Eagles
You Made Me Believe In Magic	Bay City Rollers
Feels Like The First Time	Foreigner
You're My World	Helen Reddy
Lucille	Kenny Rogers
It's Sad To Belong	England Dan & John Ford Coley
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
Easy	Commodores
I'm Your Boogie Man	KC And The Sunshine Band
Barracuda	Heart
Lonely Boy	Andrew Gold
Heard It In A Love Song	The Marshall Tucker Band
Just A Song Before I Go	Crosby, Stills & Nash
Telephone Man	Meri Wilson
Give A Little Bit	Supertramp
The Killing Of Georgie (Part I And II)	Rod Stewart
Sir Duke	Stevie Wonder
Devil's Gun	C.J. & Company
Telephone Line	Electric Light Orchestra
Handy Man	James Taylor
Ariel	Dean Friedman
Neon Nites	Atlanta Rhythm Section
I Don't Love You Anymore	Teddy Pendergrass
Way Down	Elvis Presley
Smoke From A Distant Fire	The Sanford/Townsend Band
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Black Betty	Ram Jam
Superman	Celi Bee & The Buzzy Bunch
Here Comes Summer	Wildfire
Amarillo	Neil Sedaka
If It's The Last Thing I Do	Thelma Houston
Baby Don't Change Your Mind	Gladys Knight And The Pips
On And On	Stephen Bishop
Slide	Slave
Save Me	Merrilee Rush
(Remember The Days Of The) Old Schoolyard	Cat Stevens
Livin' In The Life	The Isley Brothers
Lady (put The Light On Me)	Brownsville Station
Runaway	Bonnie Raitt
Strawberry Letter 23	The Brothers Johnson
Come In From The Rain	Captain & Tennille
Seaside Woman	Suzy And The Red Stripes
Walk Right In	Dr. Hook
Swayin' To The Music (slow Dancin')	Johnny Rivers
It Was Almost Like A Song	Ronnie Milsap
Sing It, Shout It	Starz
All You Get From Love Is A Love Song	Carpenters
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Couldn't Get It Right	Climax Blues Band
Something About You	LeBlanc & Carr
The Doodle Song	Frankie Miller
Don't Stop	Fleetwood Mac
I'm Going Down	Rose Royce
Platinum Heroes	Bruce Foster
Don't Worry Baby	B.J. Thomas
Don't Turn The Light Out	Cliff Richard
How Much Love	Leo Sayer
Gonna Love You More	George Benson
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Back Together Again	Daryl Hall John Oates
Float On	The Floaters
Only The Lucky	Walter Egan
It's A Crazy World	Mac McAnally
L.a. Sunshine	War
Rock And Roll Never Forgets	Bob Seger
Sunflower	Glen Campbell
Light Of A Clear Blue Morning	Dolly Parton
It Feels So Good To Be Loved So Bad	The Manhattans
Star Wars (Main Title)	London Symphony Orchestra
A Real Mother For Ya	Johnny Guitar Watson
While I'm Alone	Maze Featuring Frankie Beverly
Save Me	Donna McDaniel
I Can't Help Myself	Eddie Rabbitt
Good Thing Man	Frank Lucas
Sheena Is A Punk Rocker	The Ramones
Making A Good Thing Better	Olivia Newton-John
Since I Fell For You/I'm Falling In Love	Hodges, James And Smith
Goodbye My Friend	Engelbert Humperdinck
When I Need You	Leo Sayer
You're Movin' Out Today	Bette Midler
