Too Close	Next
My All	Mariah Carey
You're Still The One	Shania Twain
Everybody [Backstreet's Back]	Backstreet Boys
Truly Madly Deeply	Savage Garden
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
All My Life	K-Ci & JoJo
Frozen	Madonna
Turn It Up [Remix]/Fire It Up	Busta Rhymes
It's All About Me	Mya & Sisqo
Sex And Candy	Marcy Playground
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
I Want You Back	'N Sync
The Arms Of The One Who Loves You	Xscape
No, No, No	Destiny's Child
Nice & Slow	Usher
Gone Till November	Wyclef Jean
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
My Heart Will Go On	Celine Dion
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Gettin' Jiggy Wit It	Will Smith
What You Want	Mase Featuring Total
Together Again	Janet
How's It Going To Be	Third Eye Blind
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
How Do I Live	LeAnn Rimes
I Don't Want To Wait	Paula Cole
Raise The Roof	Luke Featuring No Good But So Good
Second Round K.O.	Canibus
I Got The Hook Up!	Master P Featuring Sons Of Funk
A Rose Is Still A Rose	Aretha Franklin
Looking Through Your Eyes	LeAnn Rimes
Kiss The Rain	Billie Myers
Bitter Sweet Symphony	The Verve
Clock Strikes	Timbaland & Magoo
Imagination	Tamia
Do For Love	2Pac Featuring Eric Williams
You Make Me Wanna...	Usher
The Party Continues	JD Featuring Da Brat
This Kiss	Faith Hill
I Don't Ever Want To See You Again	Uncle Sam
Get At Me Dog	DMX Featuring Sheek Of The Lox
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Cheers 2 U	Playa
Who Am I	Beenie Man
I'm Alright	Jo Dee Messina
The Mummers' Dance	Loreena McKennitt
Say It	Voices Of Theory
They Don't Know	Jon B
Push It	Garbage
This Is How We Party	S.O.A.P.
Swing My Way	K.P. & Envyi
Are You Jimmy Ray?	Jimmy Ray
Gitty Up	Salt-N-Pepa
Rain	SWV
My Heart Will Go On	Deja Vu
Love You Down	INOJ/LATHUN
Recover Your Soul	Elton John
Too Much	Spice Girls
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
Strawberries	Smooth
The Unforgiven II	Metallica
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
I Just Want To Dance With You	George Strait
It's Your Love	She Moves
Then What?	Clay Walker
The City Is Mine	Jay-Z Featuring BLACKstreet
Bring It On	Keith Washington
Out Of My Bones	Randy Travis
Burn	Militia
Love Me Good	Michael W. Smith
A Promise I Make	Dakota Moon
I'm From The Country	Tracy Byrd
Do Your Thing	7 Mile
I Know Where It's At	All Saints
Blue On Black	The Kenny Wayne Shepherd Band
Moan & Groan	Mark Morrison
All My Love	Queen Pen Featuring Eric Williams
Light In Your Eyes	Blessid Union Of Souls
One Of These Days	Tim McGraw
Let's Forget About It	Lisa Loeb
It's Up To You	The Tuesdays
Pink	Aerosmith
Come Over To My Place	Davina
If I Never Stop Loving You	David Kersh
Off The Hook	Jody Watley
Reality	Elusion
In A Dream	Rockell
Sweet Surrender	Sarah McLachlan
Life In Mono	Mono
Ding-A-Ling	Hi-Town DJs
I Do [Cherish You]	Mark Wills
Father	LL Cool J
Given To Fly	Pearl Jam
That's Why I'm Here	Kenny Chesney
Sweet Honesty	M:G
Dangerous	Busta Rhymes
Out Of Sight (YO)	Rufus Blaq
