Fly, Robin, Fly	Silver Convention
Let's Do It Again	The Staple Singers
Sky High	Jigsaw
That's The Way (I Like It)	KC And The Sunshine Band
Saturday Night	Bay City Rollers
Love Rollercoaster	Ohio Players
Nights On Broadway	Bee Gees
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
My Little Town	Simon & Garfunkel
Fox On The Run	Sweet
I Write The Songs	Barry Manilow
Venus And Mars Rock Show	Wings
Our Day Will Come	Frankie Valli
I Love Music (Part 1)	The O'Jays
I Want'a Do Something Freaky To You	Leon Haywood
Island Girl	Elton John
The Way I Want To Touch You	Captain & Tennille
Low Rider	War
Eighteen With A Bullet	Pete Wingfield
Secret Love	Freddy Fender
Times Of Your Life	Paul Anka
The Last Game Of The Season (A Blind Man In The Bleachers)	David Geddes
For The Love Of You (Part 1&2)	The Isley Brothers
Country Boy (You Got Your Feet In L.A.)	Glen Campbell
Walk Away From Love	David Ruffin
I'm On Fire	5000 Volts
Part Time Love	Gladys Knight And The Pips
I Only Have Eyes For You	Art Garfunkel
Convoy	C.W. McCall
Rock And Roll All Nite (live)	KISS
Full Of Fire	Al Green
You Sexy Thing	Hot Chocolate
Sing A Song	Earth, Wind & Fire
This Will Be	Natalie Cole
Volare	Al Martino
Over My Head	Fleetwood Mac
Fly Away	John Denver
Love Machine (Part 1)	The Miracles
Winners And Losers	Hamilton, Joe Frank & Reynolds
Evil Woman	Electric Light Orchestra
School Boy Crush	AWB
Fire On The Mountain	The Marshall Tucker Band
Baby Face	The Wing And A Prayer Fife & Drum Corps.
Feelings	Morris Albert
Love To Love You Baby	Donna Summer
Who Loves You	The 4 Seasons
Heat Wave/love Is A Rose	Linda Ronstadt
Miracles	Jefferson Starship
Blue Eyes Crying In The Rain	Willie Nelson
Wake Up Everybody (Part 1)	Harold Melvin And The Blue Notes
Bad Blood	Neil Sedaka
Carry Me	David Crosby/Graham Nash
Lyin' Eyes	Eagles
Let's Live Together	The Road Apples
Caribbean Festival	Kool & The Gang
I'm Sorry	John Denver
Hurricane (Part 1)	Bob Dylan
Lonely School Year	The Hudson Brothers
Somewhere In The Night	Helen Reddy
Squeeze Box	The Who
Woman Tonight	America
Love Hurts	Nazareth
Let It Shine/He Ain't Heavy...He's My Brother	Olivia Newton-John
Paloma Blanca	George Baker Selection
Going Down Slowly	The Pointer Sisters
This Old Man	Purple Reign
Hey There Little Firefly Part I	Firefly
Never Been Any Reason	Head East
Drive My Car	Gary Toms Empire
Happy	Eddie Kendricks
The Blind Man In The Bleachers	Kenny Starr
Down To The Line	Bachman-Turner Overdrive
S.O.S.	ABBA
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Play On Love	Jefferson Starship
Free Ride	Tavares
Slow Ride	Foghat
I'm On Fire	Jim Gilstrap
Breaking Up Is Hard To Do	Neil Sedaka
Somewhere In The Night	Batdorf & Rodney
Theme From S.W.A.T.	Rhythm Heritage
Golden Years	David Bowie
How High The Moon	Gloria Gaynor
Christmas For Cowboys	John Denver
Soul Train "75"	Soul Train Gang
Inseparable	Natalie Cole
Almost Saturday Night	John Fogerty
Easy As Pie	Billy "Crash" Craddock
Deep Purple	Donny & Marie Osmond
I Want To Dance With You (Dance With Me)	The Ritchie Family
The Zip	MFSB
Art For Art's Sake	10cc
Breakfast For Two	Country Joe McDonald
Funky Weekend	The Stylistics
For A Dancer	Prelude
Hollywood Hot	The Eleventh Hour
Love Hurts	Jim Capaldi
Every Beat Of My Heart	Crown Heights Affair
Blue Guitar	Justin Hayward & John Lodge
Yesterday's Hero	John Paul Young
