Flashdance...What A Feeling	Irene Cara
Time (Clock Of The Heart)	Culture Club
Electric Avenue	Eddy Grant
Every Breath You Take	The Police
Let's Dance	David Bowie
Family Man	Daryl Hall John Oates
Don't Let It End	Styx
Never Gonna Let You Go	Sergio Mendes
Affair Of The Heart	Rick Springfield
Too Shy	Kajagoogoo
Beat It	Michael Jackson
Faithfully	Journey
Always Something There To Remind Me	Naked Eyes
She's A Beauty	The Tubes
Wanna Be Startin' Somethin'	Michael Jackson
I'm Still Standing	Elton John
Come Dancing	The Kinks
Overkill	Men At Work
Our House	Madness
My Love	Lionel Richie
All This Love	Debarge
We Two	Little River Band
Try Again	Champaign
The Woman In You	Bee Gees
Is There Something I Should Know	Duran Duran
Baby Jane	Rod Stewart
Stand Back	Stevie Nicks
That's Love	Jim Capaldi
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
She Works Hard For The Money	Donna Summer
Roll Me Away	Bob Seger & The Silver Bullet Band
Sweet Dreams (Are Made Of This)	Eurythmics
1999	Prince
She Blinded Me With Science	Thomas Dolby
Don't Pay The Ferryman	Chris de Burgh
Little Red Corvette	Prince
Straight From The Heart	Bryan Adams
White Wedding	Billy Idol
Solitaire	Laura Branigan
Cuts Like A Knife	Bryan Adams
(Keep Feeling) Fascination	The Human League
Saved By Zero	The Fixx
Take Me To Heart	Quarterflash
Stop In The Name Of Love	The Hollies
Hot Girls In Love	Loverboy
Candy Girl	New Edition
How Do You Keep The Music Playing	James Ingram And Patti Austin
Maniac	Michael Sembello
Inside Love (so Personal)	George Benson
Slipping Away	Dave Edmunds
China Girl	David Bowie
The Salt In My Tears	Martin Briley
I.o.u.	Lee Greenwood
Rock Of Ages	Def Leppard
The Closer You Get	Alabama
Photograph	Def Leppard
Rock 'n' Roll Is King	Electric Light Orchestra
Stranger In My House	Ronnie Milsap
Love Never Fails	Greg Kihn Band
No Time For Talk	Christopher Cross
China	Red Rockers
I Won't Hold You Back	Toto
Space Age Whiz Kids	Joe Walsh
The Metro	Berlin
Cool Places	Sparks & Jane Wiedlin
The Border	America
Midnight Blue	Louise Tucker
All My Life	Kenny Rogers
Save The Overtime (For Me)	Gladys Knight And The Pips
War Games	Crosby, Stills & Nash
Europa And The Pirate Twins	Thomas Dolby
Pieces Of Ice	Diana Ross
Billie Jean	Michael Jackson
Solid Rock	Goanna
Puttin' On The Ritz	Taco
It's Inevitable	Charlie
Don't Make Me Do It	Patrick Simmons
Drop The Pilot	Joan Armatrading
Stand By	Roman Holliday
Love Is The Key	Maze Featuring Frankie Beverly
Juicy Fruit	Mtume
Fade Away	Loz Netto
You Are In My System	Robert Palmer
Boogie Down	Jarreau
Hold Me 'til The Mornin' Comes	Paul Anka
Der Kommissar	After The Fire
Jeopardy	Greg Kihn Band
Never Tell An Angel (When Your Heart's On Fire)	The Stompers
The One Thing	INXS
The Safety Dance	Men Without Hats
Mornin'	Jarreau
Theme From Doctor Detroit	Devo
Dead Giveaway	Shalamar
Love On Your Side	Thompson Twins
Love's Got A Line On You	Scandal Featuring Patty Smyth
Looking For A Stranger	Pat Benatar
Come On Eileen	Dexys Midnight Runners
Rio	Duran Duran
When I'm With You	Sheriff
Easy For You To Say	Linda Ronstadt
