The Flame	Cheap Trick
Mercedes Boy	Pebbles
Pour Some Sugar On Me	Def Leppard
New Sensation	INXS
Dirty Diana	Michael Jackson
Nothin' But A Good Time	Poison
Foolish Beat	Debbie Gibson
Hold On To The Nights	Richard Marx
The Valley Road	Bruce Hornsby & The Range
Nite And Day	Al B. Sure!
Make It Real	The Jets
Roll With It	Steve Winwood
Lost In You	Rod Stewart
Hands To Heaven	Breathe
Rush Hour	Jane Wiedlin
Make Me Lose Control	Eric Carmen
Sign Your Name	Terence Trent D'Arby
I Still Believe	Brenda K. Starr
Together Forever	Rick Astley
Kiss Me Deadly	Lita Ford
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Paradise	Sade
Beds Are Burning	Midnight Oil
1-2-3	Gloria Estefan & Miami Sound Machine
Just Got Paid	Johnny Kemp
Tall Cool One	Robert Plant
I Don't Wanna Go On With You Like That	Elton John
Do You Love Me	The Contours
The Colour Of Love	Billy Ocean
Alphabet St.	Prince
I Don't Wanna Live Without Your Love	Chicago
One More Try	George Michael
I Should Be So Lucky	Kylie Minogue
Love Changes (Everything)	Climie Fisher
Trouble	Nia Peeples
The Twist	Fat Boys
Circle In The Sand	Belinda Carlisle
Rag Doll	Aerosmith
Tomorrow People	Ziggy Marley And The Melody Makers
Love Will Save The Day	Whitney Houston
Supersonic	J.J. Fad
Monkey	George Michael
Fast Car	Tracy Chapman
Naughty Girls (Need Love Too)	Samantha Fox
I Know You're Out There Somewhere	The Moody Blues
Simply Irresistible	Robert Palmer
Little Walter	Tony Toni Tone
Everything Your Heart Desires	Daryl Hall John Oates
Anything For You	Gloria Estefan & Miami Sound Machine
When It's Love	Van Halen
In Your Soul	Corey Hart
Forgive Me For Dreaming	Elisa Fiorillo
I'll Always Love You	Taylor Dayne
Feelings Of Forever	Tiffany
Shattered Dreams	Johnny Hates Jazz
Sweet Child O' Mine	Guns N' Roses
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Here With Me	REO Speedwagon
Should I Say Yes?	Nu Shooz
Heart Of Mine	Boz Scaggs
All Fired Up	Pat Benatar
Say It's Gonna Rain	Will To Power
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Wishing I Was Lucky	Wet Wet Wet
Boom! There She Was	Scritti Politti Featuring Roger
Knocked Out	Paula Abdul
Black And Blue	Van Halen
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Darlin' Danielle Don't	Henry Lee Summer
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Under The Milky Way	The Church
Promise Me	The Cover Girls
Please Don't Go Girl	New Kids On The Block
Two Occasions	The Deele
Missed Opportunity	Daryl Hall John Oates
I Don't Want To Be A Hero	Johnny Hates Jazz
Joy	Teddy Pendergrass
Tell Me	White Lion
We All Sleep Alone	Cher
Angel	Aerosmith
Hole In My Heart (All The Way To China)	Cyndi Lauper
Forever Yours	Tony Terry
If It Isn't Love	New Edition
Colors	Ice-T
Better Be Home Soon	Crowded House
You Have Placed A Chill In My Heart	Eurythmics
When Will I Be Famous?	Bros
Wait	White Lion
Spring Love (Come Back To Me)	Stevie B
Route 66/Behind The Wheel	Depeche Mode
Too Much Ain't Enough Love	Jimmy Barnes
My Obsession	Icehouse
Cecilia	Times Two
Rhythm Of Love	Scorpions
Theme From S-Express	S-Express
Coming To America	The System
I Don't Want To Live Without You	Foreigner
When We Kiss	Bardeux
Wild, Wild West	Kool Moe Dee
Most Of All	Jody Watley
