Heaven	Bryan Adams
Sussudio	Phil Collins
Everybody Wants To Rule The World	Tears For Fears
Raspberry Beret	Prince And The Revolution
A View To A Kill	Duran Duran
Angel	Madonna
In My House	Mary Jane Girls
Things Can Only Get Better	Howard Jones
Walking On Sunshine	Katrina And The Waves
The Search Is Over	Survivor
Suddenly	Billy Ocean
Smuggler's Blues	Glenn Frey
Everything She Wants	Wham!
Would I Lie To You?	Eurythmics
Axel F	Harold Faltermeyer
Voices Carry	'Til Tuesday
You Give Good Love	Whitney Houston
Fresh	Kool & The Gang
The Goonies `R' Good Enough	Cyndi Lauper
Everytime You Go Away	Paul Young
Glory Days	Bruce Springsteen
The NeverEnding Story	Limahl
Tough All Over	John Cafferty & The Beaver Brown Band
Crazy In The Night (Barking At Airplanes)	Kim Carnes
Sentimental Street	Night Ranger
If You Love Somebody Set Them Free	Sting
Don't You (Forget About Me)	Simple Minds
Getcha Back	The Beach Boys
Just As I Am	Air Supply
Cannonball	Supertramp
Possession Obsession	Daryl Hall John Oates
19	Paul Hardcastle
People Are People	Depeche Mode
Who's Holding Donna Now	Debarge
Get It On (Bang A Gong)	The Power Station
Never Surrender	Corey Hart
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
Little By Little	Robert Plant
Wake Up (Next To You)	Graham Parker & The Shot
Smooth Operator	Sade
You Spin Me Round (Like A Record)	Dead Or Alive
What About Love?	Heart
Animal Instinct	Commodores
Black Cars	Gino Vannelli
Shout	Tears For Fears
Crazy For You	Madonna
Centerfield	John Fogerty
Find A Way	Amy Grant
Everything I Need	Men At Work
Say You're Wrong	Julian Lennon
Not Enough Love In The World	Don Henley
Forever	Kenny Loggins
Let Him Go	Animotion
Freeway Of Love	Aretha Franklin
One Lonely Night	REO Speedwagon
Reaction To Action	Foreigner
State Of the Heart	Rick Springfield
One Night In Bangkok	Murray Head
Rock Me Tonight	Freddie Jackson
Some Like It Hot	The Power Station
All You Zombies	Hooters
Make It Better (Forget About Me)	Tom Petty And The Heartbreakers
Meeting In The Ladies Room	Klymaxx
Dangerous	Natalie Cole
Call Me	Go West
Hold Me	Menudo
People Get Ready	Jeff Beck & Rod Stewart
We Are The World	USA For Africa
My Toot Toot	Jean Knight
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Through the Fire	Chaka Khan
Alone Again	Dokken
Stir It Up	Patti LaBelle
Like A Surgeon	"Weird Al" Yankovic
(Closest Thing To) Perfect	Jermaine Jackson
Lucky In Love	Mick Jagger
Your Love Is King	Sade
Rhythm Of The Night	Debarge
Willie & The Hand Jive	George Thorogood & The Destroyers
Invisible	Alison Moyet
New Attitude	Patti LaBelle
Burning Flame	Vitamin Z
Frankie	Sister Sledge
'Til My Baby Comes Home	Luther Vandross
When Your Heart Is Weak	Cock Robin
Go For Soda	Kim Mitchell
The Lady Of My Heart	Jack Wagner
Obsession	Animotion
Lost In Love	New Edition
St. Elmo's Fire (Man In Motion)	John Parr
Show Some Respect	Tina Turner
Do You Wanna Get Away	Shannon
Oh Girl	Boy Meets Girl
All She Wants to Do Is Dance	Don Henley
Real Love	Dolly Parton (Duet With Kenny Rogers)
I'm On Fire	Bruce Springsteen
Nightshift	Commodores
Freak-A-Ristic	Atlantic Starr
Walking On The Chinese Wall	Philip Bailey
That Was Yesterday	Foreigner
