Wannabe	Spice Girls
Can't Nobody Hold Me Down	Puff Daddy (Featuring Mase)
Un-Break My Heart	Toni Braxton
Foolish Games/You Were Meant For Me	Jewel
In My Bed	Dru Hill
I Believe I Can Fly (From "Space Jam")	R. Kelly
Every Time I Close My Eyes	Babyface
Don't Let Go (Love)	En Vogue
For You I Will (From "Space Jam")	Monica
Don't Cry For Me Argentina (From "Evita")	Madonna
Nobody	Keith Sweat Featuring Athena Cage
Get It Together	702
Ooh Aah... Just A Little Bit	Gina G
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
I Believe In You And Me (From "The Preacher's Wife")	Whitney Houston
I Want You	Savage Garden
Cold Rock A Party	MC Lyte
Barely Breathing	Duncan Sheik
Da' Dip	Freak Nasty
Big Daddy	Hev-D
Please Don't Go	No Mercy
Step By Step (From "The Preacher's Wife")	Whitney Houston
No Diggity	BLACKstreet (Featuring Dr. Dre)
On & On	Erykah Badu
What's On Tonight	Montell Jordan
Return Of The Mack	Mark Morrison
I'm Still In Love With You	New Edition
I Like It	The Blackout Allstars
Where Do You Go	No Mercy
Change The World	Eric Clapton
When You're Gone/Free To Decide	The Cranberries
Firestarter	The Prodigy
Discotheque	U2
Let It Go (From "Set It Off")	Ray J
Head Over Heels	Allure Featuring NAS
When You Love A Woman	Journey
If It Makes You Happy	Sheryl Crow
Let Me Clear My Throat	DJ Kool
I Love You Always Forever	Donna Lewis
Mouth	Merril Bainbridge
Say... If You Feel Alright	Crystal Waters
Naked Eye	Luscious Jackson
Cupid	112
I'm Not Feeling You	Yvette Michele
Things'll Never Change/Rapper's Ball	E-40 Featuring Bo-Rock
Just Another Day	John Mellencamp
This Is Your Night	Amber
Whateva Man	Redman
You're Makin' Me High/Let It Flow	Toni Braxton
Luchini aka (This Is It)	Camp Lo
Request Line	Zhane
Watch Me Do My Thing (From "All That")	Immature Featuring Smooth And Ed From Good Burger
Falling In Love (Is Hard On The Knees)	Aerosmith
What They Do	The Roots
No Time	Lil' Kim Featuring Puff Daddy
The Theme (It's Party Time)	Tracey Lee
Do G's Get To Go To Heaven?	Richie Rich
I Finally Found Someone (From "The Mirror Has Two Faces")	Barbra Streisand & Bryan Adams
Knocks Me Off My Feet	Donell Jones
Desperately Wanting	Better Than Ezra
It's Alright, It's Ok	Leah Andreone
Talk To Me	Wild Orchid
The Freshmen	The Verve Pipe
Nothin' But The Cavi Hit (From "Rhyme & Reason")	Mack 10 & Tha Dogg Pound
It's Your Body	Johnny Gill Featuring Roger Troutman
Thirty-Three	The Smashing Pumpkins
Don't Stop Movin'	Livin' Joy
You Must Love Me (From "Evita")	Madonna
Space Jam (From "Space Jam")	Quad City DJ's
I'm Not Giving You Up	Gloria Estefan
I Always Feel Like (Somebody's Watching Me)	Tru Featuring Ice Cream Man (Master P)
Gangstas Make The World Go Round	Westside Connection
If We Fall In Love Tonight	Rod Stewart
Get Up	Lost Boyz
Fly Like An Eagle (From "Space Jam")	Seal
Too Late, Too Soon	Jon Secada
I'll Be	Foxy Brown Featuring Jay-Z
Tears	The Isley Brothers
I Belong To You (Every Time I See Your Face)	Rome
Barrel Of A Gun	Depeche Mode
Hip-Hopera	Bounty Killa featuring the Fugees
Here's Your Sign (Get The Picture)	Bill Engvall With Special Guest Travis Tritt
Call Me	Le Click
Fired Up!	Funky Green Dogs
We Danced Anyway	Deana Carter
Take Your Time	Tre
ATLiens	OutKast
It's All About U	SWV
Havana	Kenny G
It's In Your Eyes	Phil Collins
Weekend Thang	Alfonzo Hunter
Come See Me	112
Never Leave Me Alone	Nate Dogg Featuring Snoop Doggy Dogg
Without Love	Donna Lewis
Between You And Me	dc Talk
Colour Of Love	Amber
King Nothing	Metallica
Friends	John Michael Montgomery
Without Your Love	Angelina
Runnin'	2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch
