Bridge Over Troubled Water	Simon & Garfunkel
Let It Be	The Beatles
Instant Karma (We All Shine On)	John Ono Lennon
ABC	Jackson 5
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Spirit In The Sky	Norman Greenbaum
House Of The Rising Sun	Frijid Pink
The Rapper	The Jaggerz
Come And Get It	Badfinger
Easy Come, Easy Go	Bobby Sherman
He Ain't Heavy, He's My Brother	The Hollies
Give Me Just A Little More Time	Chairman Of The Board
Call Me/Son Of A Preacher Man	Aretha Franklin
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Celebrate	Three Dog Night
Up The Ladder To The Roof	The Supremes
American Woman/No Sugar Tonight	The Guess Who
Evil Ways	Santana
Ma Belle Amie	The Tee Set
Love Or Let Me Be Lonely	The Friends Of Distinction
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
Didn't I (Blow Your Mind This Time)	The Delfonics
The Bells	The Originals
Something's Burning	Kenny Rogers & The First Edition
Kentucky Rain	Elvis Presley
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Long Lonesome Highway	Michael Parks
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Shilo	Neil Diamond
Reflections Of My Life	The Marmalade
Turn Back The Hands Of Time	Tyrone Davis
You're The One-Part II	Little Sister
Do The Funky Chicken	Rufus Thomas
Woodstock	Crosby, Stills, Nash & Young
Get Ready	Rare Earth
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
It's A New Day (Part 1) & (Part 2)	James Brown
Temma Harbour	Mary Hopkin
Who's Your Baby?	The Archies
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
Everybody's Out Of Town	B.J. Thomas
For The Love Of Him	Bobbi Martin
Jennifer Tomkins	Street People
Mighty Joe	The Shocking Blue
Gotta Get Back To You	Tommy James And The Shondells
Walking Through The Country	The Grass Roots
Easy To Be Free	Rick Nelson
Take A Look Around	Smith
My Woman, My Woman, My Wife	Marty Robbins
My Elusive Dreams	Bobby Vinton
I Could Write A Book	Jerry Butler
To The Other Woman (I'm The Other Woman)	Doris Duke
California Girl	Eddie Floyd
The Cat Walk	The Village Soul Choir
Funky Drummer (Part 1)	James Brown
Come Together	Ike & Tina Turner & The Ikettes
Little Green Bag	George Baker Selection
Oh Well - Pt. I	Fleetwood Mac
Rag Mama Rag	The Band
Stir It Up And Serve It	Tommy Roe
Children	Joe South
Nothing Succeeds Like Success	Bill Deal & The Rhondels
Add Some Music To Your Day	The Beach Boys
Living Loving Maid (She's Just A Woman)	Led Zeppelin
The Funniest Thing	Dennis Yost And The Classics IV
Capture The Moment	Jay & The Americans
Dear Prudence	The 5 Stairsteps
The Girls' Song	The 5th Dimension
1984	Spirit
Deeper (In Love With You)	The O'Jays
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
Is Anybody Goin' To San Antone	Charley Pride
Everything Is Beautiful	Ray Stevens
Vehicle	The Ides Of March
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Run Sally Run	The Cuff Links
Come Running	Van Morrison
But For Love	Jerry Naylor
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
Brown Paper Bag	Syndicate Of Sound
Chicken Strut	The Meters
Hitchin' A Ride	Vanity Fare
Can You Feel It	Bobby Goldsboro
July 12, 1939	Charlie Rich
Love Minus Zero-No Limit	Turley Richards
Miss America	Mark Lindsay
Buffalo Soldier	Flamingos
Make Me Smile	Chicago
Don't Stop Now/Since I Don't Have You	Eddie Holman
If Only I Had My Mind On Something Else	Bee Gees
Mississippi Queen	Mountain
Hang On Sloopy	The Lettermen
My Wife, The Dancer	Eddie & Dutch
Cole, Cooke & Redding	Wilson Pickett
Time To Get It Together	Country Coalition
I Would Be In Love (Anyway)	Frank Sinatra
Lucifer	Bob Seger System
Lay Lady Lay	Ferrante & Teicher
My Soul's Got A Hole In It	Howard Tate
