Venus	The Shocking Blue
I Want You Back	Jackson 5
Raindrops Keep Fallin' On My Head	B.J. Thomas
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star	Sly & The Family Stone
Without Love (There Is Nothing)	Tom Jones
I'll Never Fall In Love Again	Dionne Warwick
Hey There Lonely Girl	Eddie Holman
Whole Lotta Love	Led Zeppelin
No Time	The Guess Who
Jingle Jangle	The Archies
Psychedelic Shack	The Temptations
Leaving On A Jet Plane	Peter, Paul & Mary
Arizona	Mark Lindsay
Don't Cry Daddy/Rubberneckin'	Elvis Presley
Someday We'll Be Together	Diana Ross & The Supremes
Walk A Mile In My Shoes	Joe South and The Believers
Jam Up Jelly Tight	Tommy Roe
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
Walkin' In The Rain	Jay & The Americans
Early In The Morning	Vanity Fare
Blowing Away	The 5th Dimension
Winter World Of Love	Engelbert Humperdinck
Midnight Cowboy	Ferrante & Teicher
Baby Take Me In Your Arms	Jefferson
Honey Come Back	Glen Campbell
Rainy Night In Georgia/Rubberneckin'	Brook Benton
The Thrill Is Gone	B.B. King
Didn't I (Blow Your Mind This Time)	The Delfonics
Wonderful World, Beautiful People	Jimmy Cliff
She Came In Through The Bathroom Window	Joe Cocker
Fancy	Bobbie Gentry
Let's Work Together (Part 1)	Wilbert Harrison
Ma Belle Amie	The Tee Set
Oh Me Oh My (I'm A Fool For You Baby)	Lulu
He Ain't Heavy, He's My Brother	The Hollies
One Tin Soldier	The Original Caste
Give Me Just A Little More Time	Chairman Of The Board
She Belongs To Me	Rick Nelson
Monster	Steppenwolf
Evil Ways	Santana
How Can I Forget/Gonna Give Her All The Love I've Got	Marvin Gaye
Let A Man Come In And Do The Popcorn (Part Two)	James Brown
Breaking Up Is Hard To Do	Lenny Welch
Love Bones	Johnnie Taylor
Tonight I'll Say A Prayer	Eydie Gorme
Always Something There To Remind Me	R.B. Greaves
Cupid	Johnny Nash
When Julie Comes Around	The Cuff Links
Bridge Over Troubled Water	Simon & Garfunkel
The Rapper	The Jaggerz
Hold On	The Rascals
Traces/Memories Medley	The Lettermen
Jennifer Tomkins	Street People
You Got Me Hummin	Cold Blood
If I Were A Carpenter	Johnny Cash & June Carter
Moon Walk Part 1	Joe Simon
Oh What A Day	The Dells
The Touch Of You	Brenda & The Tabulations
My Honey And Me	Luther Ingram
Won't Find Better (Than Me)	The New Hope
I'm Just A Prisoner (Of Your Good Lovin')	Candi Staton
Do The Funky Chicken	Rufus Thomas
Bold Soul Sister	Ike & Tina Turner
New World Coming	Mama Cass Elliot
I've Gotta Make You Love Me	Steam
Look-Ka Py Py	The Meters
Never Had A Dream Come True	Stevie Wonder
Hello It's Me	Nazz
Je T'Aime...Moi Non Plus	Jane Birkin Serge Gainsbourg
Got To See If I Can't Get Mommy (To Come Back Home)	Jerry Butler
If Walls Could Talk	Little Milton
How Can I Tell My Mom & Dad	The Lovelites
House Of The Rising Sun	Frijid Pink
Good Guys Only Win In The Movies	Mel And Tim
Easy Come, Easy Go	Bobby Sherman
Save The Country	Thelma Houston
Oh Well - Pt. I	Fleetwood Mac
Mornin Mornin	Bobby Goldsboro
Down In The Alley	Ronnie Hawkins
Barbara, I Love You	New Colony Six
The Court Of The Crimson King - Part 1	King Crimson
Shilo	Neil Diamond
Why Should I Cry	The Gentrys
Superstar	Murray Head With The Trinidad Singers
If I Never Knew Your Name	Vic Dana
My Elusive Dreams	Bobby Vinton
The Ghetto-Part 1	Donny Hathaway
It's Just A Matter Of Time	Sonny James
Come Saturday Morning	The Sandpipers
Welfare Cadilac	Guy Drake
Victoria	The Kinks
Come And Get It	Badfinger
Can't Help Falling In Love	Al Martino
Then She's A Lover	Roy Clark
She's Ready	Spiral Starecase Featuring: Pat Upton
1984	Spirit
Jesus Is Just Alright	The Byrds
The Bells	The Originals
Call Me/Son Of A Preacher Man	Aretha Franklin
I'll See Him Through	Tammy Wynette
