Boogie Oogie Oogie	A Taste Of Honey
Kiss You All Over	Exile
Hopelessly Devoted To You	Olivia Newton-John
Three Times A Lady	Commodores
An Everlasting Love	Andy Gibb
Summer Nights	John Travolta & Olivia Newton-John & Cast
Don't Look Back	Boston
Hot Blooded	Foreigner
Hot Child In The City	Nick Gilder
Reminiscing	Little River Band
Love Is In The Air	John Paul Young
Fool If You Think It's Over	Chris Rea
You And I	Rick James
You Needed Me	Anne Murray
Hollywood Nights	Bob Seger & The Silver Bullet Band
Whenever I Call You "Friend"	Kenny Loggins
Got To Get You Into My Life	Earth, Wind & Fire
Oh! Darling	Robin Gibb
Shame	Evelyn "Champagne" King
Right Down The Line	Gerry Rafferty
Get Off	Foxy
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Grease	Frankie Valli
Back In The U.s.a.	Linda Ronstadt
Come Together	Aerosmith
She's Always A Woman	Billy Joel
Just What I Needed	The Cars
You Never Done It Like That	Captain & Tennille
Who Are You	The Who
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
5.7.0.5.	City Boy
Miss You	The Rolling Stones
Magnet And Steel	Walter Egan
Beast Of Burden	The Rolling Stones
Josie	Steely Dan
Almost Like Being In Love	Michael Johnson
Devoted To You	Carly Simon & James Taylor
Paradise By The Dashboard Light	Meat Loaf
Heartbreaker	Dolly Parton
All I See Is Your Face	Dan Hill
Badlands	Bruce Springsteen
I Will Still Love You	Stonebolt
Dance (Disco Heat)	Sylvester
You	The McCrarys
It's A Laugh	Daryl Hall John Oates
Took The Last Train	David Gates
How Much I Feel	Ambrosia
Sweet Life	Paul Davis
MacArthur Park	Donna Summer
Holding On (When Love Is Gone)	L.T.D.
Close The Door	Teddy Pendergrass
Ready To Take A Chance Again	Barry Manilow
If My Friends Could See Me Now	Linda Clifford
London Town	Wings
Ease On Down The Road	Diana Ross & Michael Jackson
Think It Over	Cheryl Ladd
Themes From The Wizard Of Oz	Meco
Blue Collar Man (Long Nights)	Styx
Shake And Dance With Me	ConFunkShun
Peggy Sue	The Beach Boys
A Rock 'N' Roll Fantasy	The Kinks
Prisoner Of Your Love	Player
Crazy Feelin'	Jefferson Starship
I Just Wanna Stop	Gino Vannelli
Sharing The Night Together	Dr. Hook
Double Vision	Foreigner
Love Will Find A Way	Pablo Cruise
Everybody Needs Love	Stephen Bishop
Wavelength	Van Morrison
Change Of Heart	Eric Carmen
Two Tickets To Paradise	Eddie Money
My Angel Baby	Toby Beau
Let's Get Crazy Tonight	Rupert Holmes
Champagne Jam	Atlanta Rhythm Section
Don't Want To Live Without It	Pablo Cruise
One Nation Under A Groove - Part I	Funkadelic
Macho Man	Village People
Straight On	Heart
Our Night	Shaun Cassidy
Substitute	Clout
New Orleans Ladies	Louisiana's LeRoux
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	The Beatles
Hot Shot	Karen Young
Flying High	Commodores
You Should Do It	Peter Brown With Betty Wright
Got To Have Loving	Don Ray
Listen To Her Heart	Tom Petty
What Goes Up	The Alan Parsons Project
Brandy	The O'Jays
New York City	Zwol
Raise A Little Hell	Trooper
The Joker	Snail
When You Feel Love	Bob Mcgilpin
Stuff Like That	Quincy Jones
Shadow Dancing	Andy Gibb
Lights	Journey
Last Dance	Donna Summer
Copacabana (at The Copa)	Barry Manilow
Rivers Of Babylon	Boney M.
