Baby Baby	Amy Grant
Joyride	Roxette
I Like The Way (The Kissing Game)	Hi-Five
Here We Go	C+C Music Factory/F. Williams
Touch Me (All Night Long)	Cathy Dennis
I Touch Myself	Divinyls
Cry For Help	Rick Astley
Rhythm Of My Heart	Rod Stewart
You're In Love	Wilson Phillips
I Don't Wanna Cry	Mariah Carey
Voices That Care	Voices That Care
I've Been Thinking About You	Londonbeat
Silent Lucidity	Queensryche
Hold You Tight	Tara Kemp
More Than Ever	Nelson
More Than Words	Extreme
Sadeness Part 1	Enigma
Save Some Love	Keedy
You Don't Have To Go Home Tonight	The Triplets
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Losing My Religion	R.E.M.
Just The Way It Is, Baby	The Rembrandts
Written All Over Your Face	The Rude Boys
Love Is A Wonderful Thing	Michael Bolton
Iesha	Another Bad Creation
Miracle	Whitney Houston
What Comes Naturally	Sheena Easton
Don't Treat Me Bad	Firehouse
Rico Suave	Gerardo
It's A Shame (My Sister)	Monie Love Featuring True Image
My Heart Is Failing Me	Riff
She Talks To Angels	The Black Crowes
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
One More Try	Timmy T.
Signs	Tesla
Round And Round	Tevin Campbell
Strike It Up	Black Box
Coming Out Of The Dark	Gloria Estefan
How Much Is Enough	The Fixx
People Are Still Having Sex	LaTour
Couple Days Off	Huey Lewis & The News
Power Of Love/Love Power	Luther Vandross
Unbelievable	EMF
Here I Am (Come And Take Me)	UB40
Do You Want Me	Salt-N-Pepa
Mama Said Knock You Out	LL Cool J
Bitter Tears	INXS
Love At First Sight	Styx
Someday	Mariah Carey
(If There Was) Any Other Way	Celine Dion
This House	Tracie Spencer
Walking In Memphis	Marc Cohn
Heartbreak Station	Cinderella
Playground	Another Bad Creation
Seal Our Fate	Gloria Estefan
Let's Chill	Guy
Step On	Happy Mondays
How To Dance	Bingo Boys Featuring Princessa
Together Forever	Lisette Melendez
Right Here, Right Now	Jesus Jones
Something In My Heart	Michel'le
I'll Never Let You Go	Steelheart
How Can I Ease The Pain	Lisa Fischer
Whatever You Want	Tony Toni Tone
Come Again	Damn Yankees
Another Like My Lover	Jasmine Guy
Never Gonna Let You Down	Surface
Where Does My Heart Beat Now	Celine Dion
Dream Lover	The Rebel Pebbles
Going Through The Motions	Aftershock
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T
We Want The Funk	Gerardo
Wicked Game	Chris Isaak
Backyard	Pebbles (With Salt-N-Pepa)
Get Here	Oleta Adams
Feel The Groove	Cartouche
Crazy	Daisy Dee
I'll Be By Your Side	Stevie B
I Don't Want To Lose Your Love	B Angie B
That's Why	The Party
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Show Me The Way	Styx
The Star Spangled Banner	Whitney Houston
Place In This World	Michael W. Smith
All The Man That I Need	Whitney Houston
Uncle Tom's Cabin	Warrant
Good Heart	Starship
Word Of Mouth	Mike + The Mechanics
Stone Cold Gentleman	Ralph Tresvant
Waiting For Love	Alias
Love Me Forever Or Love Me Not	Trilogy
Around The Way Girl	LL Cool J
I'll Do 4 U	Father M.C.
Gypsy Woman (She's Homeless)	Crystal Waters
Life Goes On	Poison
Can I Call You My Girl	PC Quest
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
One In A Million	Trixter
Nightgown	Candyman
All True Man	Alexander O'Neal
