Summer In The City	The Lovin' Spoonful
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
Wild Thing	The Troggs
The Pied Piper	Crispian St. Peters
I Saw Her Again	The Mamas & The Papas
Sunny	Bobby Hebb
Mothers Little Helper	The Rolling Stones
Somewhere, My Love	Ray Conniff And The Singers
Sweet Pea	Tommy Roe
I Couldn't Live Without Your Love	Petula Clark
This Door Swings Both Ways	Herman's Hermits
Over Under Sideways Down	The Yardbirds
See You In September	The Happenings
Hanky Panky	Tommy James And The Shondells
Sweet Dreams	Tommy McLain
Hungry	Paul Revere & The Raiders Featuring Mark Lindsay
Blowin In The Wind	Stevie Wonder
My Heart's Symphony	Gary Lewis And The Playboys
Sunshine Superman	Donovan
Summertime	Billy Stewart
Working In The Coal Mine	Lee Dorsey
Warm And Tender Love	Percy Sledge
Lady Jane	The Rolling Stones
Land Of 1000 Dances	Wilson Pickett
The Joker Went Wild	Brian Hyland
Searching For My Love	Bobby Moore & The Rhythm Aces
Born A Woman	Sandy Posey
Pretty Flamingo	Manfred Mann
The Work Song	Herb Alpert & The Tijuana Brass
Distant Shores	Chad & Jeremy
Trains And Boats And Planes	Dionne Warwick
Guantanamera	The Sandpipers
Ain't Too Proud To Beg	The Temptations
Make Me Belong To You	Barbara Lewis
Red Rubber Ball	The Cyrkle
Paperback Writer	The Beatles
Along Comes Mary	The Association
Tar And Cement	Verdelle Smith
Billy And Sue	B.J. Thomas And The Triumphs
Alfie	Cher
You Don't Have To Say You Love Me	Dusty Springfield
Wade In The Water	Ramsey Lewis
Strangers In The Night	Frank Sinatra
A Million And One	Dean Martin
Misty	"Groove" Holmes
Bus Stop	The Hollies
The Tip Of My Fingers	Eddy Arnold
Almost Persuaded	David Houston
You You You	Mel Carter
Wouldn't It Be Nice	The Beach Boys
I Want You	Bob Dylan
(You Make Me Feel) So Good	The McCoys
Money Won't Change You (Part 1)	James Brown And The Famous Flames
Love Letters	Elvis Presley
Where Were You When I Needed You	The Grass Roots
Respectable	The Outsiders
Say I Am (What I Am)	Tommy James And The Shondells
Go Ahead And Cry	The Righteous Brothers
With A Girl Like You	The Troggs
Wipe Out	The Surfaris
I Guess I'll Always Love You	The Isley Brothers
Open The Door To Your Heart	Darrell Banks
Sugar And Spice	The Cryan' Shames
Look At Me Girl	Bobby Vee And The Strangers
You Can't Hurry Love	The Supremes
I Believe I'm Gonna Make It	Joe Tex
Sunny Afternoon	The Kinks
5 D (Fifth Dimension)	The Byrds
The Dangling Conversation	Simon & Garfunkel
7 And 7 Is	Love
Too Soon To Know	Roy Orbison
Lonely Summer	The Shades Of Blue
Out Of This World	The Chiffons
Turn-Down Day	The Cyrkle
A Million And One	Vic Dana
Livin' Above Your Head	Jay & The Americans
Bring Back The Time	B.J. Thomas
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
I Put A Spell On You	Alan Price Set
God Only Knows	The Beach Boys
(We'll Be) United	The Intruders
Let's Call It A Day Girl	The Razor's Edge
Suspicions	The Sidekicks
Petticoat White (Summer Sky Blue)	Bobby Vinton
Mr. Dieingly Sad	The Critters
Just Yesterday	Al Martino
Satisfied With You	The Dave Clark Five
The Philly Freeze	Alvin Cash & The Registers
There Will Never Be Another You	Chris Montez
Let Me Tell You, Babe	Nat King Cole
World Of Fantasy	The Five Stairsteps
Georgia Rose	Tony Bennett
Cast Your Fate To The Wind	Shelby Flint
Your Good Thing (Is About To End)	Mable John
Sometimes Good Guys Don't Wear White	The Standells
That's Enough	Rosco Robinson
In The Basement - Part 1	Etta James & Sugar Pie DeSanto
Ashes To Ashes	The Mindbenders
Black Is Black	Los Bravos
