When Doves Cry	Prince
Ghostbusters	Ray Parker Jr.
Dancing In The Dark	Bruce Springsteen
State of Shock	The Jacksons
Eyes Without A Face	Billy Idol
Infatuation	Rod Stewart
Sad Songs (say So Much)	Elton John
Legs	ZZ Top
What's Love Got To Do With It	Tina Turner
Jump (for My Love)	The Pointer Sisters
Breakin'...there's No Stopping Us	Ollie And Jerry
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
I Can Dream About You	Dan Hartman
Doctor! Doctor!	Thompson Twins
Stuck On You	Lionel Richie
Magic	The Cars
Self Control	Laura Branigan
If Ever You're In My Arms Again	Peabo Bryson
Sunglasses At Night	Corey Hart
Panama	Van Halen
The Reflex	Duran Duran
I'm Free (Heaven Helps The Man)	Kenny Loggins
Round And Round	Ratt
Dance Hall Days	Wang Chung
She's Mine	Steve Perry
Romancing The Stone	Eddy Grant
The Heart Of Rock & Roll	Huey Lewis & The News
No Way Out	Jefferson Starship
Missing You	John Waite
Sexy Girl	Glenn Frey
Alibis	Sergio Mendes
Rock Me Tonite	Billy Squier
Turn To You	Go-Go's
Lights Out	Peter Wolf
If This Is It	Huey Lewis & The News
The Glamorous Life	Sheila E.
The Warrior	Scandal Featuring Patty Smyth
10-9-8	Face To Face
She Bop	Cyndi Lauper
Boys Do Fall In Love	Robin Gibb
Leave A Tender Moment Alone	Billy Joel
All Of You	Julio Iglesias & Diana Ross
The First Day Of Summer	Tony Carey
Dynamite	Jermaine Jackson
When You Close Your Eyes	Night Ranger
Hold Me	Teddy Pendergrass And Whitney Houston
My, Oh My	Slade
Two Sides Of Love	Sammy Hagar
Right By Your Side	Eurythmics
Taking It All Too Hard	Genesis
17	Rick James
Borderline	Madonna
Time After Time	Cyndi Lauper
Don't Walk Away	Rick Springfield
Cruel Summer	Bananarama
Jam On It	Newcleus
Let's Hear It For The Boy	Deniece Williams
High On Emotion	Chris de Burgh
Stay The Night	Chicago
Oh, Sherrie	Steve Perry
Sister Christian	Night Ranger
Modern Day Delilah	Van Stephenson
Mama, Weer All Crazee Now	Quiet Riot
Still Loving You	Scorpions
Farewell My Summer Love	Michael Jackson
Happy Ending	Joe Jackson
Black Stations/White Stations	M + M
Only When You Leave	Spandau Ballet
It Can Happen	Yes
Go Insane	Lindsey Buckingham
It's A Miracle	Culture Club
A Little Love	Juice Newton
Obscene Phone Caller	Rockwell
You Can't Get What You Want	Joe Jackson
Hello	Lionel Richie
You're The Best Thing	The Style Council
It's A Hard Life	Queen
Feels So Real (Won't Let Go)	Patrice Rushen
99 1/2	Carol Lynn Townes
We're Not Gonna Take It	Twisted Sister
I Didn't Mean To Turn You On	Cherelle
Reach Out	Giorgio Moroder (Featuring Paul Engeman)
The Only Flame In Town	Elvis Costello & The Atrractions
Against All Odds (Take A Look At Me Now)	Phil Collins
You Were Made For Me	Irene Cara
I Send A Message	INXS
Simple	Johnny Mathis
Loverboy	Karen Kamon
She Don't Know Me	Bon Jovi
Straight From The Heart (Into Your Life)	Coyote Sisters
Somebody Else's Guy	Jocelyn Brown
Bringin' On The Heartbreak	Def Leppard
Prime Time	The Alan Parsons Project
Who's That Girl	Eurythmics
Thin Line Between Love And Hate	Pretenders
Love Of The Common People	Paul Young
The Moment Of Truth	Survivor
Run, Runaway	Slade
South Central Rain (I'm Sorry)	R.E.M.
Breakdance	Irene Cara
