The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
Memories	Maroon 5
Lose You To Love Me	Selena Gomez
Someone You Loved	Lewis Capaldi
10,000 Hours	Dan + Shay & Justin Bieber
Dance Monkey	Tones And I
Roxanne	Arizona Zervas
Yummy	Justin Bieber
Good As Hell	Lizzo
BOP	DaBaby
Ballin'	Mustard & Roddy Ricch
Don't Start Now	Dua Lipa
HIGHEST IN THE ROOM	Travis Scott
Sum 2 Prove	Lil Baby
Good News	Mac Miller
Heartless	The Weeknd
No Guidance	Chris Brown Featuring Drake
Trampoline	SHAED
Woah	Lil Baby
Everything I Wanted	Billie Eilish
The Bones	Maren Morris
Senorita	Shawn Mendes & Camila Cabello
Hot Girl Bummer	blackbear
Adore You	Harry Styles
High Fashion	Roddy Ricch Featuring Mustard
Panini	Lil Nas X
You Should Be Sad	Halsey
Rare	Selena Gomez
Hot	Young Thug Featuring Gunna
Blinding Lights	The Weeknd
Truth Hurts	Lizzo
Only Human	Jonas Brothers
Bandit	Juice WRLD & YoungBoy Never Broke Again
One Man Band	Old Dominion
Even Though I'm Leaving	Luke Combs
I Don't Care	Ed Sheeran & Justin Bieber
Suicidal	YNW Melly & Juice WRLD
Bad Guy	Billie Eilish
Falling	Trevor Daniel
Sucker	Jonas Brothers
Futsal Shuffle 2020	Lil Uzi Vert
My Oh My	Camila Cabello Featuring DaBaby
Juicy	Doja Cat & Tyga
On Chill	Wale Featuring Jeremih
Heartache Medication	Jon Pardi
Talk	Khalid
What If I Never Get Over You	Lady Antebellum
Lover	Taylor Swift
Kinfolks	Sam Hunt
Ridin' Roads	Dustin Lynch
U Played	MoneyBagg Yo Featuring Lil Baby
Playing Games	Summer Walker
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
VIBEZ	DaBaby
Graveyard	Halsey
Heat	Chris Brown Featuring Gunna
Homesick	Kane Brown
Heart On Ice	Rod Wave
Start Wit Me	Roddy Ricch & Gunna
No Idea	Don Toliver
I Hope	Gabby Barrett Featuring Charlie Puth
Out West	JACKBOYS Featuring Young Thug
SUGAR	BrockHampton
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
BEST ON EARTH	Russ & BIA
Tusa	Karol G & Nicki Minaj
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Slide	H.E.R. Featuring YG
We Back	Jason Aldean
What She Wants Tonight	Luke Bryan
Make Me Want To	Jimmie Allen
I Wish Grandpas Never Died	Riley Green
More Hearts Than Mine	Ingrid Andress
Say So	Doja Cat Featuring Nicki Minaj
Camelot	NLE Choppa
Make No Sense	YoungBoy Never Broke Again
Remember You Young	Thomas Rhett
Easy	DaniLeigh Featuring Chris Brown
Tip Toe	Roddy Ricch Featuring A Boogie Wit da Hoodie
Eleven	Khalid
All Dat	Moneybagg Yo X Megan Thee Stallion
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Conversations In The Dark	John Legend
I Hope You're Happy Now	Carly Pearce & Lee Brice
Jerry Sprunger	Tory Lanez & T-Pain
Protect da Brand	Moneybagg Yo Featuring DaBaby
Into The Unknown	Idina Menzel & AURORA
Vete	Bad Bunny
Look At Her Now.	Selena Gomez
homecoming queen?	Kelsea Ballerini
Watermelon Sugar	Harry Styles
Nice To Meet Ya	Niall Horan
July	Noah Cyrus & Leon Bridges
Peta	Roddy Ricch Featuring Meek Mill
223's	YNW Melly & 9lokknine
Slow Dance In A Parking Lot	Jordan Davis
All I Want	Olivia Rodrigo
