Lady	Kenny Rogers
Woman In Love	Barbra Streisand
The Wanderer	Donna Summer
Another One Bites The Dust	Queen
I'm Coming Out	Diana Ross
Never Knew Love Like This Before	Stephanie Mills
Master Blaster (Jammin')	Stevie Wonder
More Than I Can Say	Leo Sayer
(Just Like) Starting Over	John Lennon
Dreaming	Cliff Richard
Love On The Rocks	Neil Diamond
Lovely One	The Jacksons
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Whip It	Devo
Hit Me With Your Best Shot	Pat Benatar
Never Be The Same	Christopher Cross
He's So Shy	The Pointer Sisters
Hungry Heart	Bruce Springsteen
Out Here On My Own	Irene Cara
Guilty	Barbra Streisand & Barry Gibb
Let Me Be Your Angel	Stacy Lattisaw
Without Your Love	Roger Daltrey
Dreamer	Supertramp
Every Woman In The World	Air Supply
Upside Down	Diana Ross
Everybody's Got To Learn Sometime	The Korgis
I'm Happy That Love Has Found You	Jimmy Hall
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
Deep Inside My Heart	Randy Meisner
De Do Do Do, De Da Da Da	The Police
It's My Turn	Diana Ross
This Time	John Cougar
I Believe In You	Don Williams
On The Road Again	Willie Nelson
Celebration	Kool & The Gang
Sequel	Harry Chapin
Turning Japanese	The Vapors
If You Should Sail	Nielsen/Pearson
Suddenly	Olivia Newton-John & Cliff Richard
One-Trick Pony	Paul Simon
Tell It Like It Is	Heart
She's So Cold	The Rolling Stones
You Shook Me All Night Long	AC/DC
Real Love	The Doobie Brothers
Jesse	Carly Simon
Look What You've Done To Me	Boz Scaggs
Girls Can Get It	Dr. Hook
That Girl Could Sing	Jackson Browne
All Out Of Love	Air Supply
Passion	Rod Stewart
Texas In My Rear View Mirror	Mac Davis
Sometimes A Fantasy	Billy Joel
I'm Alright	Kenny Loggins
One Step Closer	The Doobie Brothers
Could I Have This Dance	Anne Murray
Switchin' To Glide/This Beat Goes On	The Kings
Drivin' My Life Away	Eddie Rabbitt
The Tide Is High	Blondie
Together	Tierra
Stop This Game	Cheap Trick
I Made It Through The Rain	Barry Manilow
Could I Be Dreaming	The Pointer Sisters
I Love A Rainy Night	Eddie Rabbitt
Help Me!	Marcy Levy & Robin Gibb
Time Is Time	Andy Gibb
Brite Eyes	Robbin Thompson Band
The Horizontal Bop	Bob Seger
Don't Say No	Billy Burnette
Turn And Walk Away	The Babys
Hold On	Kansas
Morning Man	Rupert Holmes
Late In The Evening	Paul Simon
Xanadu	Olivia Newton-John And The Electric Light Orchestra
Give Me The Night	George Benson
Gotta Have More Love	Climax Blues Band
Blues Power	Eric Clapton And His Band
Love X Love	George Benson
Lookin' For Love	Johnny Lee
Real People/Chip Off The Old Block	Chic
Shine On	L.T.D.
You	Earth, Wind & Fire
The Winner Takes It All	ABBA
Sherry	Robert John
Teacher Teacher	Rockpile
My Mother's Eyes	Bette Midler
He Can't Love You	Michael Stanley Band
Killin' Time	Fred Knoblock & Susan Anton
Easy Love	Dionne Warwick
Rough Boys	Pete Townshend
I Need Your Lovin'	Teena Marie
Who Were You Thinkin' Of	The Doolittle Band
Remote Control	The Reddings
Cry Like A Baby	Kim Carnes
Midnight Rocks	Al Stewart
Live Every Minute	Ali Thomson
Let's Be Lovers Again	Eddie Money (with Valerie Carter)
Walk Away	Donna Summer
How Do I Survive	Amy Holland
I Could Be Good For You	707
Fame	Irene Cara
