My Ding-A-Ling	Chuck Berry
Burning Love	Elvis Presley
Nights In White Satin	The Moody Blues
Use Me	Bill Withers
I Can See Clearly Now	Johnny Nash
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
Garden Party	Rick Nelson And The Stone Canyon Band
Ben	Michael Jackson
Everybody Plays The Fool	The Main Ingredient
Good Time Charlie's Got The Blues	Danny O'Keefe
Tight Rope	Leon Russell
Listen To The Music	The Doobie Brothers
Why/Lonely Boy	Donny Osmond
I'll Be Around	The Spinners
I'd Love You To Want Me	Lobo
Witchy Woman	Eagles
I Am Woman	Helen Reddy
The City Of New Orleans	Arlo Guthrie
If I Could Reach You	The 5th Dimension
Starting All Over Again	Mel And Tim
Baby Don't Get Hooked On Me	Mac Davis
Thunder And Lightning	Chi Coltrane
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Popcorn	Hot Butter
Spaceman	Nilsson
I Believe In Music	Gallery
Midnight Rider	Joe Cocker and The Chris Stainton Band
Summer Breeze	Seals & Crofts
You Wear It Well	Rod Stewart
Loving You Just Crossed My Mind	Sam Neely
Get On The Good Foot-Part 1	James Brown
Elected	Alice Cooper
Go All The Way	Raspberries
American City Suite	Cashman & West
Don't Do It	The Band
If You Don't Know Me By Now	Harold Melvin And The Blue Notes
Speak To The Sky	Rick Springfield
Papa Was A Rollin' Stone	The Temptations
From The Beginning	Emerson, Lake & Palmer
Back Stabbers	The O'Jays
All The Young Dudes	Mott The Hoople
Ventura Highway	America
Rock Me Baby	David Cassidy
Rock 'N Roll Soul	Grand Funk Railroad
A Piece Of Paper	Gladstone
Operator (That's Not the Way it Feels)	Jim Croce
That's How Love Goes	Jermaine Jackson
Can't You Hear The Song?	Wayne Newton
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
It Never Rains In Southern California	Albert Hammond
Funny Face	Donna Fargo
Geronimo's Cadillac	Michael Murphey
Poor Boy	Casey Kelly
Don't Hide Your Love	Cher
Something's Wrong With Me	Austin Roberts
Slaughter	Billy Preston
Convention '72	The Delegates
Let It Rain	Eric Clapton
You Ought To Be With Me	Al Green
I'm Stone In Love With You	The Stylistics
Woman Don't Go Astray	King Floyd
Baby Sitter	Betty Wright
I'll Make You Music	Beverly Bremers
(It's The Way) Nature Planned It	Four Tops
Sunny Days	Lighthouse
So Long Dixie	Blood, Sweat & Tears
Man Sized Job	Denise LaSalle
Theme From The Men	Isaac Hayes
We Can Make It Together	Steve & Eydie Featuring The Osmonds
Crazy Horses	The Osmonds
I Love You More Than You'll Ever Know	Donny Hathaway
Dialogue (Part I & II)	Chicago
If You Can Beat Me Rockin' (You Can Have My Chair)	Laura Lee
If You Let Me	Eddie Kendricks
Why Can't We Be Lovers	Holland-Dozier
Guilty	Al Green
Colorado	Danny Holien
Wedding Song (There Is Love)	Petula Clark
Guess Who/Them Changes	B.B. King
No	Bulldog
A Lonely Man/The Man & The Woman (The Boy & The Girl)	The Chi-lites
Down To The Nightclub	Tower Of Power
Work To Do	The Isley Brothers
What Am I Crying For?	Dennis Yost And The Classics IV
Sunday Morning Sunshine	Harry Chapin
Clair	Gilbert O'Sullivan
Together Alone	Melanie
Corner Of The Sky	Jackson 5
Hey, You Love	Mouth & MacNeal
Dancing In The Moonlight	King Harvest
Special Someone	The Heywoods
Misty Blue	Joe Simon
Deteriorata	National Lampoon
I Guess I'll Miss The Man	The Supremes
The People Tree	Sammy Davis, Jr. with The Mike Curb Congregation
Runnin' Back To Saskatoon	The Guess Who
Song Seller	The Raiders
Do Ya	The Move
Redwood Tree	Van Morrison
Suite: Man And Woman	Tony Cole
