Mood	24kGoldn Featuring iann dior
Positions	Ariana Grande
Laugh Now Cry Later	Drake Featuring Lil Durk
Blinding Lights	The Weeknd
I Hope	Gabby Barrett Featuring Charlie Puth
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Dakiti	Bad Bunny & Jhay Cortez
WAP	Cardi B Featuring Megan Thee Stallion
Holy	Justin Bieber Featuring Chance The Rapper
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Rockstar	DaBaby Featuring Roddy Ricch
Before You Go	Lewis Capaldi
Go Crazy	Chris Brown & Young Thug
Dynamite	BTS
Watermelon Sugar	Harry Styles
Forever After All	Luke Combs
Kings & Queens	Ava Max
Said Sum	Moneybagg Yo
Lonely	Justin Bieber & benny blanco
Be Like That	Kane Brown With Swae Lee & Khalid
More Than My Hometown	Morgan Wallen
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
ily	Surf Mesa Featuring Emilee
Bang!	AJR
One Of Them Girls	Lee Brice
Got What I Got	Jason Aldean
Levitating	Dua Lipa Featuring DaBaby
What You Know Bout Love	Pop Smoke
Come & Go	Juice WRLD x Marshmello
Motive	Ariana Grande Featuring Doja Cat
Wonder	Shawn Mendes
Love You Like I Used To	Russell Dickerson
Off The Table	Ariana Grande Featuring The Weeknd
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Adore You	Harry Styles
Pretty Heart	Parker McCollum
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
pov	Ariana Grande
Better Together	Luke Combs
Rags2Riches	Rod Wave Featuring ATR Son Son
Just Like Magic	Ariana Grande
Roses	SAINt JHN
Diamonds	Sam Smith
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Shut Up	Ariana Grande
Thriller	Michael Jackson
Nasty	Ariana Grande
Break My Heart	Dua Lipa
Everywhere But On	Matt Stell
Safety Net	Ariana Grande Featuring Ty Dolla $ign
Mood Swings	Pop Smoke Featuring Lil Tjay
Tyler Herro	Jack Harlow
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Lovin' On You	Luke Combs
Some Girls	Jameson Rodgers
I Should Probably Go To Bed	Dan + Shay
Franchise	Travis Scott Featuring Young Thug & M.I.A.
Hawai	Maluma & The Weeknd
You Broke Me First.	Tate McRae
Popstar	DJ Khaled Featuring Drake
Six Thirty	Ariana Grande
Big, Big Plans	Chris Lane
My Hair	Ariana Grande
24	Money Man Featuring Lil Baby
My Ex's Best Friend	Machine Gun Kelly X blackbear
Ain't Always The Cowboy	Jon Pardi
Starting Over	Chris Stapleton
Obvious	Ariana Grande
West Side	Ariana Grande
7 Summers	Morgan Wallen
Wishing Well	Juice WRLD
U 2 Luv	Ne-Yo & Jeremih
Love Language	Ariana Grande
Tap In	Saweetie
B.S.	Jhene Aiko Featuring H.E.R.
Don't Stop	Megan Thee Stallion Featuring Young Thug
Hit Different	SZA Featuring Ty Dolla $ign
Weeeeee	Trippie Redd
Martin & Gina	Polo G
Midnight Sky	Miley Cyrus
Runnin	21 Savage & Metro Boomin
Heather	Conan Gray
Good Time	Niko Moon
Golden	Harry Styles
Throat Baby (Go Baby)	BRS Kash
Practice	DaBaby
Put Your Records On	Ritt Momney
Blind	DaBaby Featuring Young Thug
Relacion	Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
Stay Down	Lil Durk, 6LACK & Young Thug
Kacey Talk	YoungBoy Never Broke Again
Champagne Night	Lady A
Hole In The Bottle	Kelsea Ballerini
Happy Does	Kenny Chesney
So Done	The Kid LAROI
Thick	DJ Chose Featuring BeatKing
La Toxica	Farruko
Take You Dancing	Jason Derulo
