All For Love	Bryan Adams/Rod Stewart/Sting
Hero	Mariah Carey
Breathe Again	Toni Braxton
The Power Of Love	Celine Dion
Again	Janet Jackson
Said I Loved You...But I Lied	Michael Bolton
All That She Wants	Ace Of Base
Please Forgive Me	Bryan Adams
Shoop	Salt-N-Pepa
Can We Talk	Tevin Campbell
Getto Jam	Domino
Linger	The Cranberries
Understanding	Xscape
Because The Night	10,000 Maniacs
Never Keeping Secrets	Babyface
The Sign	Ace Of Base
Mr. Vain	Culture Beat
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Gangsta Lean	DRS
Cry For You	Jodeci
Whoomp! (There It Is)	Tag Team
Whatta Man	Salt-N-Pepa Featuring En Vogue
U.N.I.T.Y.	Queen Latifah
Keep Ya Head Up	2Pac
What's My Name?	Snoop Dogg
Jessie	Joshua Kadison
Dreams	Gabrielle
Amazing	Aerosmith
Because Of Love	Janet Jackson
Found Out About You	Gin Blossoms
So Much In Love	All-4-One
Choose	Color Me Badd
Cantaloop (Flip Fantasia)	US3
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
What Is Love	Haddaway
Groove Thang	Zhane
Dreamlover	Mariah Carey
Now And Forever	Richard Marx
Miss You In A Heartbeat	Def Leppard
Hey Mr. D.J.	Zhane
Just Kickin' It	Xscape
Life (Everybody Needs Somebody To Love)	Haddaway
(Lay Your Head On My) Pillow	Tony Toni Tone
Will You Be There (In The Morning)	Heart
Stay	Eternal
All About Soul	Billy Joel
Having A Party	Rod Stewart
Rock And Roll Dreams Come Through	Meat Loaf
Everyday	Phil Collins
The River Of Dreams	Billy Joel
Never Should've Let You Go (From "Sister Act 2")	Hi-Five
Slow And Easy	Zapp & Roger
Without You/Never Forget You	Mariah Carey
I'm In The Mood	CeCe Peniston
Sex Me (Parts I & II)	R. Kelly
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Goody Goody	Lisette Melendez
Award Tour	A Tribe Called Quest
Time And Chance	Color Me Badd
Higher Ground	UB40
Stay (Faraway, So Close!)	U2
Always On My Mind	SWV
Cannonball	The Breeders
(I Know I Got) Skillz	Shaquille O'Neal
Funk Dat/Why Is It?	Sagat
Dirty Dawg	NKOTB
I'll Be Loving You	Collage
U Send Me Swingin'	Mint Condition
You Don't Have To Worry	Mary J. Blige
Dunkie Butt (Please Please Please)	12 Gauge
Wild World	Mr. Big
Real Muthaphuckkin G's	Eazy-E
Betcha'll Never Find	Chantay Savage
Anniversary	Tony Toni Tone
Loser	Beck
I Love Music (From "Carlito's Way")	Rozalla
Gin And Juice	Snoop Doggy Dogg
Yours	Shai
We Ain't Goin' Out Like That	Cypress Hill
Both Sides Of The Story	Phil Collins
Give It Up	The Goodmen
Sentimental	Kenny G
John Deere Green	Joe Diffie
One On One	To Be Continued...
I'm In Love	Lisa Keith
Zunga Zeng	K7
True Love	Elton John & Kiki Dee
Boom Shak A-Tack	Born Jamericans
Come Clean	Jeru The Damaja
Runaway Love	Johnny O
Mmm Mmm Mmm Mmm	Crash Test Dummies
Looking For Mr. Do Right	Jade
Into Your Arms	The Lemonheads
I Never Knew Love	Doug Stone
Fast As You	Dwight Yoakam
Really Doe	Ice Cube
Indo Smoke (From "Poetic Justice")	Mista Grimm
Freakit	Das EFX
Rubberband Girl	Kate Bush
God Blessed Texas	Little Texas
