Informer	Snow
Freak Me	Silk
Nuthin' But A "G" Thang	Dr. Dre
I Have Nothing	Whitney Houston
Don't Walk Away	Jade
Cat's In The Cradle	Ugly Kid Joe
Two Princes	Spin Doctors
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
Mr. Wendal	Arrested Development
Bed Of Roses	Bon Jovi
Comforter	Shai
Ordinary World	Duran Duran
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Hip Hop Hooray	Naughty By Nature
I Got A Man	Positive K
I'm So Into You	SWV
Ditty	Paperboy
Looking Through Patient Eyes	P.M. Dawn
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
That's What Love Can Do	Boy Krazy
Forever In Love	Kenny G
Angel	Jon Secada
If I Ever Lose My Faith In You	Sting
It Was A Good Day	Ice Cube
I Will Always Love You	Whitney Houston
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Sweet Thing	Mary J. Blige
Down With The King	Run-D.M.C.
The Crying Game (From "The Crying Game")	Boy George
Man On The Moon	R.E.M.
Nothin' My Love Can't Fix	Joey Lawrence
7	Prince And The New Power Generation
Here We Go Again!	Portrait
Heal The World	Michael Jackson
Simple Life	Elton John
So Alone	Men At Large
Rhythm Is A Dancer	Snap!
Love U More	Sunscreem
Dazzey Duks	Duice
If I Ever Fall In Love	Shai
Get Away	Bobby Brown
Do You Believe In Us	Jon Secada
Who Is It	Michael Jackson
Supermodel (You Better Work)	RuPaul
Beautiful Girl	INXS
I'm Gonna Get You	Bizarre Inc
Rump Shaker	Wreckx-N-Effect
Dedicated	R. Kelly & Public Announcement
Romeo	Dolly Parton & Friends
I Feel You	Depeche Mode
Connected	Stereo MC's
Hat 2 Da Back	TLC
Three Little Pigs	Green Jelly
I See Your Smile	Gloria Estefan
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
How I'm Comin'	LL Cool J
Bad Girl	Madonna
Love Don't Love You	En Vogue
Come In Out Of The Rain	Wendy Moten
What You Won't Do For Love	Go West
In The Still Of The Nite (From "The Jacksons")	Boyz II Men
The Morning Papers	Prince And The New Power Generation
Give It Up, Turn It Loose	En Vogue
Buddy X	Neneh Cherry
Easy	Faith No More
Livin' On The Edge	Aerosmith
Tap The Bottle	Young Black Teenagers
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Somebody Love Me	Michael W. Smith
Closer	Remedy
Candy Everybody Wants	10,000 Maniacs
Passionate Kisses	Mary Chapin Carpenter
Everything's Gonna Be Alright	Father M.C.
She's Not Cryin' Anymore	Billy Ray Cyrus
I'll Never Get Over You (Getting Over Me)	Expose
Good Ol' Days	Levert
Tonight	Def Leppard
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Show Me Love	Robin S.
If I Could	Regina Belle
Funky Child	Lords Of The Underground
Touch My Light	Big Mountain
Understand This Groove	Sound Factory
Kiss Of Life	Sade
Murder She Wrote	Chaka Demus & Pliers
Reminisce	Mary J. Blige
Save Your Love	Bad Boys Blue
Knock-N-Boots	Wreckx-N-Effect
Knockin' Da Boots	H-Town
Love Me Or Leave Me Alone	Brand Nubian
Throw Ya Gunz	Onyx
Tell The Truth	Jude Cole
Homies	Lighter Shade Of Brown
Born 2 B.R.E.E.D.	Monie Love
Roll Wit Tha Flava	The Flavor Unit MC's
No Mistakes	Patty Smyth
Little Bird	Annie Lennox
Love Me The Right Way	Rapination & Kym Mazelle
