Livin' La Vida Loca	Ricky Martin
No Scrubs	TLC
Kiss Me	Sixpence None The Richer
Every Morning	Sugar Ray
Believe	Cher
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Slide	Goo Goo Dolls
Angel Of Mine	Monica
Who Dat	JT Money Featuring Sole
Please Remember Me	Tim McGraw
Fly Away	Lenny Kravitz
Give It To You	Jordan Knight
What It's Like	Everlast
Anywhere	112 Featuring Lil'z
Sweet Lady	Tyrese
If You (Lovin' Me)	Silk
...Baby One More Time	Britney Spears
Angel	Sarah McLachlan
The Hardest Thing	98 Degrees
I Still Believe	Mariah Carey
All I Have To Give	Backstreet Boys
I Want It That Way	Backstreet Boys
C'est La Vie	B*Witched
That Don't Impress Me Much	Shania Twain
Back 2 Good	matchbox 20
We Like To Party!	Vengaboys
All Night Long	Faith Evans Featuring Puff Daddy
Save Tonight	Eagle-Eye Cherry
Ex-Factor	Lauryn Hill
You	Jesse Powell
How Forever Feels	Kenny Chesney
Stay The Same	Joey McIntyre
Wish You Were Here	Mark Wills
808	Blaque
Almost Doesn't Count	Brandy
You Won't Ever Be Lonely	Andy Griggs
Fortunate	Maxwell
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
When I Close My Eyes	Shanice
Praise You	Fatboy Slim
Sitting Home	Total
Gone Crazy	Alan Jackson
Drive Me Wild	Sawyer Brown
I'll Think Of A Reason Later	Lee Ann Womack
My First Night With You	Mya
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
Ordinary Life	Chad Brock
These Are The Times	Dru Hill
Two Teardrops	Steve Wariner
Hands Of A Working Man	Ty Herndon
One More Try	Divine
Anyone Else	Collin Raye
Man! I Feel Like A Woman!	Shania Twain
Write This Down	George Strait
What's So Different	Ginuwine
Anything But Down	Sheryl Crow
My Favorite Girl	Dave Hollister
Down So Long	Jewel
Life	K-Ci & JoJo
Special	Garbage
Hate Me Now	Nas Featuring Puff Daddy
Blue Monday	Orgy
Hillbilly Shoes	Montgomery Gentry
Girlfriend/Boyfriend	BLACKstreet With Janet
Georgy Porgy	Eric Benet Featuring Faith Evans
I Drive Myself Crazy	'N Sync
With You	Lila McCann
Where My Girls At?	702
Everytime I Cry	Terri Clark
Get Involved	Raphael Saadiq & Q-Tip
When A Woman's Fed Up	R. Kelly
You Were Mine	Dixie Chicks
What'd You Come Here For?	Trina & Tamara
One	Creed
Why Don't You Get A Job?	The Offspring
Heavy	Collective Soul
My Own Worst Enemy	Lit
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
Nann	Trick Daddy Featuring Trina
The Animal Song	Savage Garden
Faded Pictures	Case & Joe
Whatever You Say	Martina McBride
Jigga What...	Jay-Z Featuring Big Jaz
You Got Me	The Roots Featuring Erykah Badu
Holla Holla	Ja Rule
It's Not Right But It's Okay	Whitney Houston
I'm Not Ready	Keith Sweat
I'm Leaving	Aaron Tippin
Written In The Stars	Elton John & LeAnn Rimes
Busy Man	Billy Ray Cyrus
Crush	Dave Matthews Band
Nothing Really Matters	Madonna
Maria	Blondie
Run	Collective Soul
Ruff Ryders' Anthem	DMX
Can't Get Enough	Patty Loveless
Little Good-Byes	SHeDAISY
Harmless	Mulberry Lane
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
