Vogue	Madonna
Nothing Compares 2 U	Sinead O'Connor
All I Wanna Do Is Make Love To You	Heart
Hold On	Wilson Phillips
Sending All My Love	Linear
Alright	Janet Jackson
I Wanna Be Rich	Calloway
Poison	Bell Biv DeVoe
It Must Have Been Love (From "Pretty Woman")	Roxette
What It Takes	Aerosmith
This Old Heart Of Mine	Rod Stewart With Ronald Isley
How Can We Be Lovers	Michael Bolton
Love Child	Sweet Sensation
The Humpty Dance	Digital Underground
U Can't Touch This	M.C. Hammer
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Room At The Top	Adam Ant
Your Baby Never Looked Good In Blue	Expose
Don't Wanna Fall In Love	Jane Child
Ready Or Not	After 7
Whip Appeal	Babyface
Turtle Power	Partners In Kryme
All Around The World	Lisa Stansfield
Hold On	En Vogue
Do You Remember?	Phil Collins
Expression	Salt-N-Pepa
Baby, It's Tonight	Jude Cole
House Of Pain	Faster Pussycat
Children Of The Night	Richard Marx
I'll See You In My Dreams	Giant
I'll Be Your Everything	Tommy Page
Without You	Motley Crue
Save Me	Fleetwood Mac
I'll Be Your Shelter	Taylor Dayne
Cruising For Bruising	Basia
Here And Now	Luther Vandross
Heartbeat	Seduction
Getting Away With It	Electronic
Always And Forever	Whistle
Deadbeat Club	The B-52s
Black Velvet	Alannah Myles
Enjoy The Silence	Depeche Mode
Nicety	Michel'le
Rub You The Right Way	Johnny Gill
Sittin' In The Lap Of Luxury	Louie Louie
The Heart Of The Matter	Don Henley
Love Will Lead You Back	Taylor Dayne
Just A Friend	Biz Markie
Up All Night	Slaughter
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Notice Me	Nikki
Dare To Fall In Love	Brent Bourgeois
Time After Time	Timmy T.
If U Were Mine	The U-Krew
Get Up! (Before The Night Is Over)	Technotronic
Whole Wide World (From "True Love")	A'me Lorain
All That Glitters Isn't Gold	The Cover Girls
Girls Nite Out	Tyler Collins
That's The Way Of The World	D-Mob With Cathy Dennis
Coming Of Age	Damn Yankees
Love Is	Alannah Myles
Cradle Of Love (From "Ford Fairlane")	Billy Idol
This & That	Michael Penn
Get A Life	Soul II Soul
Club At The End Of The Street	Elton John
The Downeaster "Alexa"	Billy Joel
The Ballad Of Jayne	L.A. Guns
"B" Girls	Young And Restless
When I Dream Of You	Tommy Page
No More Lies	Michel'le
Pictures Of You	The Cure
Mentirosa	Mellow Man Ace
Bad Of The Heart	George LaMond
Forever	KISS
The Power	Snap!
I Wish It Would Rain Down	Phil Collins
The Secret Garden	Quincy Jones
Shake	Andrew Ridgeley
Kiss This Thing Goodbye	Del Amitri
Heaven Is A 4 Letter Word	Bad English
Try To Find Me	Gorky Park
Moonlight On Water	Laura Branigan
Jealous Again	The Black Crowes
Oye Mi Canto (Hear My Voice)	Gloria Estefan
Cuts You Up	Peter Murphy
Doubleback (From "Back To The Future Part III")	ZZ Top
Pure	Lightning Seeds
When Something Is Wrong With My Baby	Linda Ronstadt (Featuring Aaron Neville)
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
A Little Love	Corey Hart
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Counting The Days	Joey Kid
Got To Tell Me Something	Ana
Nick Of Time	Bonnie Raitt
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
King Of Wishful Thinking (From "Pretty Woman")	Go West
The Way It Is	Tesla
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Lambada	Kaoma
Drag My Bad Name Down	The 4 Of Us
