Maggie May/Reason To Believe	Rod Stewart
Superstar/Bless The Beasts And Children	Carpenters
Yo-Yo	The Osmonds
Gypsys, Tramps & Thieves	Cher
The Night They Drove Old Dixie Down	Joan Baez
Do You Know What I Mean	Lee Michaels
Go Away Little Girl	Donny Osmond
Sweet City Woman	Stampeders
Theme From Shaft	Isaac Hayes
If You Really Love Me	Stevie Wonder
I've Found Someone Of My Own	The Free Movement
Tired Of Being Alone	Al Green
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Trapped By A Thing Called Love	Denise LaSalle
Peace Train	Cat Stevens
So Far Away/Smackwater Jack	Carole King
Thin Line Between Love & Hate	The Persuaders
Ain't No Sunshine	Bill Withers
Never My Love	The 5th Dimension
Imagine	John Lennon/Plastic Ono Band
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
Stick-Up	The Honey Cone
Birds Of A Feather	The Raiders
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Stagger Lee	Tommy Roe
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Only You Know And I Know	Delaney & Bonnie
One Fine Morning	Lighthouse
Easy Loving	Freddie Hart
Smiling Faces Sometimes	The Undisputed Truth
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Wedding Song (There Is Love)	Paul Stookey
Rain Dance	The Guess Who
You've Got To Crawl (Before You Walk)	The 8th Day
Desiderata	Les Crane
Long Ago And Far Away	James Taylor
Women's Love Rights	Laura Lee
A Natural Man	Lou Rawls
The Love We Had (Stays On My Mind)	The Dells
I'm Comin' Home	Tommy James
One Tin Soldier, The Legend of Billy Jack	Coven
The Year That Clayton Delaney Died	Tom T. Hall
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Charity Ball	Fanny
Questions 67 And 68/I'm A Man	Chicago
Make It Funky (Part 1)	James Brown
Everybody's Everything	Santana
Two Divided By Love	The Grass Roots
I'd Love To Change The World	Ten Years After
She's All I Got	Freddie North
Spill The Wine	The Isley Brothers
MacArthur Park (Part II)	Four Tops
It's A Cryin' Shame	Gayle McCormick
Absolutely Right	Five Man Electrical Band
K-Jee	The Nite-Liters
It's Only Love	Elvis Presley
You Brought The Joy	Freda Payne
Love	The Lettermen
You Think You're Hot Stuff	Jean Knight
Have You Seen Her	The Chi-lites
It's For You	Springwell
That's The Way A Woman Is	Messengers
Wild Night	Van Morrison
Some Of Shelly's Blues	Nitty Gritty Dirt Band
Bless You	Martha Reeves & The Vandellas
It's Impossible	The New Birth
Do I Love You	Paul Anka
Jennifer	Bobby Sherman
Talk It Over In The Morning	Anne Murray
Your Move (I've Seen All Good People)	Yes
Touch	The Supremes
Freedom Comes, Freedom Goes	The Fortunes
I Don't Need No Doctor	Humble Pie
Rub It In	Layng Martine
Life Is A Carnival	The Band
All I Ever Need Is You	Sonny & Cher
Baby I'm - A Want You	Bread
I Like What You Give	Nolan
Respect Yourself	The Staple Singers
Midnight Man	James Gang
Theme From "Summer Of '42"	Peter Nero
You Send Me	Ponderosa Twins + One
Don't Wanna Live Inside Myself	Bee Gees
Mammy Blue	Pop-Tops
Where Did Our Love Go	Donnie Elbert
Mother	Barbra Streisand
Are You Old Enough	Mark Lindsay
I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
Dolly Dagger	Jimi Hendrix
Gimme Some Lovin'-Pt. 1	Traffic, Etc.
Baby, I'm Yours	Jody Miller
Everything's Alright	Yvonne Elliman
My Part/Make It Funky (Part 3)	James Brown
Olena	Don Nix
Banks Of The Ohio	Olivia Newton-John
You've Lost That Lovin' Feelin'	Roberta Flack & Donny Hathaway
If It's Alright With You	Rose Colored Glass
Tell Me Why	Matthews' Southern Comfort
Valerie	Cymarron
I'm So Glad	The Fuzz
