Runaway	Del Shannon
Blue Moon	The Marcels
Mother-In-Law	Ernie K-Doe
But I Do	Clarence Henry
On The Rebound	Floyd Cramer
A Hundred Pounds Of Clay	Gene McDaniels
I've Told Every Little Star	Linda Scott
You Can Depend On Me	Brenda Lee
Take Good Care Of Her	Adam Wade
One Mint Julep	Ray Charles
Apache	Jorgen Ingmann & His Guitar
Please Love Me Forever	Cathy Jean and The Roommates
Dedicated To The One I Love	The Shirelles
Baby Blue	The Echoes
Asia Minor	Kokomo
Tonight My Love, Tonight	Paul Anka
Portrait Of My Love	Steve Lawrence
Don't Worry	Marty Robbins
Surrender	Elvis Presley With The Jordanaires
Daddy's Home	Shep And The Limelites
Breakin' In A Brand New Broken Heart	Connie Francis
Please Tell Me Why	Jackie Wilson
Pony Time	Chubby Checker
Walk Right Back	The Everly Brothers
Gee Whiz (Look At His Eyes)	Carla Thomas
Just For Old Time's Sake	The McGuire Sisters
Find Another Girl	Jerry Butler
Tonight I Fell In Love	The Tokens
Think Twice	Brook Benton
Funny	Maxine Brown
Tenderly	Bert Kaempfert And His Orchestra
Shu Rah	Fats Domino
Bumble Boogie	B. Bumble & The Stingers
Flaming Star	Elvis Presley With The Jordanaires
Frogg	The Brothers Four
Brass Buttons	The String-A-Longs
Hide Away	Freddy King
Running Scared	Roy Orbison
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Trust In Me	Etta James
Once Upon A Time	Rochell And The Candles With Johnny Wyatt
Mama Said	The Shirelles
Where The Boys Are	Connie Francis
Some Kind Of Wonderful	The Drifters
Wheels	The String-A-Longs
Fell In Love On Monday	Fats Domino
The Continental Walk	Hank Ballard And The Midnighters
Like, Long Hair	Paul Revere & The Raiders
Ain't It, Baby	The Miracles
(Love Theme From) One Eyed Jacks	Ferrante & Teicher
I'm In The Mood For Love	The Chimes
Theme From Dixie	Duane Eddy
Good, Good Lovin'	Chubby Checker
Saved	LaVern Baker
Girl Of My Best Friend	Ral Donner
Sleepy-Eyed John	Johnny Horton
(Theme from) My Three Sons	Lawrence Welk And His Orchestra
Bonanza	Al Caiola And His Orchestra
Foolin' Around	Kay Starr
Happy Birthday Blues	Kathy Young With The Innocents
Exodus	Eddie Harris
Hello Walls	Faron Young
(It Never Happens) In Real Life	Chuck Jackson
African Waltz	Cannonball Adderley Orchestra
Triangle	Janie Grant
Lullaby Of Love	Frank Gari
Glory Of Love	The Roommates
Underwater	The Frogmen
The Charanga	Merv Griffin
Trees	The Platters
Travelin' Man	Ricky Nelson
To Be Loved (Forever)	The Pentagons
A Dollar Down	The Limeliters
Tragedy	The Fleetwoods
That's It - I Quit - I'm Movin' On	Sam Cooke
Model Girl	Johnny Maestro
The Next Kiss (Is The Last Goodbye)	Conway Twitty
The Touchables In Brooklyn	Dickie Goodman
(Dance The) Mess Around	Chubby Checker
Be My Boy	Paris Sisters
Peanut Butter	The Marathons
The Wayward Wind	Gogi Grant
That's The Way With Love	Piero Soffici
What A Surprise	Johnny Maestro The Voice Of The Crests
Lullaby Of The Leaves	The Ventures
The Bilbao Song	Andy Williams
The Continental Walk	The Rollers
Three Hearts In A Tangle	Roy Drusky
The Mess Around	Bobby Freeman
Hop Scotch	Santo & Johnny
Tossin' And Turnin'	Bobby Lewis
Better Tell Him No	The Starlets
Shy Away	Jerry Fuller
I'm A Fool To Care	Oscar Black
Jura (I Swear I Love You)	Les Paul And Mary Ford
Little Egypt (Ying-Yang)	The Coasters
(A Ship Will Come) Ein Schiff Wird Kommen	Lale Anderson
Won'cha Come Home, Bill Bailey	Della Reese
I'm A Fool To Care	Joe Barry
Nobody Cares (about me)	Jeanette (Baby) Washington
