Romantic	Karyn White
Emotions	Mariah Carey
Cream	Prince And The N.P.G.
Do Anything	Natural Selection
Can't Stop This Thing We Started	Bryan Adams
Hole Hearted	Extreme
Real Real Real	Jesus Jones
O.P.P.	Naughty By Nature
Don't Want To Be A Fool	Luther Vandross
The One And Only	Chesney Hawkes
Set The Night To Music	Roberta Flack With Maxi Priest
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Hey Donna	Rhythm Syndicate
Don't Cry	Guns N' Roses
When A Man Loves A Woman	Michael Bolton
With You	Tony Terry
I Wonder Why	Curtis Stigers
Running Back To You	Vanessa Williams
Something To Talk About	Bonnie Raitt
That's What Love Is For	Amy Grant
Let's Talk About Sex	Salt-N-Pepa
Enter Sandman	Metallica
Good Vibrations	Marky Mark & The Funky Bunch Featuring Loleatta Holloway
Everybody Plays The Fool	Aaron Neville
Set Adrift On Memory Bliss	P.M. Dawn
I Adore Mi Amor	Color Me Badd
Blowing Kisses In The Wind	Paula Abdul
Love Of A Lifetime	Firehouse
Get A Leg Up	John Mellencamp
Street Of Dreams	Nia Peeples
Lies	EMF
My Heart Belongs To You	Russ Irwin
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Just Want To Hold You	Jasmine Guy
Something Got Me Started	Simply Red
Motownphilly	Boyz II Men
Love. . .Thy Will Be Done	Martika
Mind Playing Tricks On Me	Geto Boys
Rush	Big Audio
Top Of The World	Van Halen
Walk Through Fire	Bad Company
Now That We Found Love	Heavy D & The Boyz
Finally	CeCe Peniston
Groovy Train	The Farm
Broken Arrow	Rod Stewart
(Everything I Do) I Do It For You	Bryan Adams
Keep Coming Back	Richard Marx
Live For Loving You	Gloria Estefan
Gett Off	Prince And The N.P.G.
A Day In My Life (Without You)	Lisette Melendez
Whispers	Corina
Straight To Your Heart	Bad English
No Son Of Mine	Genesis
Kiss Them For Me	Siouxsie & The Banshees
Can't Truss It	Public Enemy
Superman's Song	Crash Test Dummies
Forever My Lady	Jodeci
Angel Baby	Angelica
Power Windows	Billy Falcon
The Devil Came Up To Michigan	K.M.C. KRU
All I Need Is You	Blue Train
Housecall	Shabba Ranks (Featuring Maxi Priest)
Wind Of Change	Scorpions
Tender Kisses	Tracie Spencer
Too Many Walls	Cathy Dennis
Spending My Time	Roxette
Try A Little Tenderness	The Commitments
Save Up All Your Tears	Cher
For You	Michael W. Smith
Pop That Coochie	The 2 Live Crew
I'll Be There	The Escape Club
Time, Love And Tenderness	Michael Bolton
Ballad Of Youth	Richie Sambora
You're The Story Of My Life	Desmond Child
I Can't Wait Another Minute	Hi-Five
Fall At Your Feet	Crowded House
Shiny Happy People	R.E.M.
Shot Of Poison	Lita Ford
Conviction Of The Heart	Kenny Loggins
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Do You Feel Like I Feel?	Belinda Carlisle
I've Got A Lot To Learn About Love	The Storm
Heaven In The Back Seat	Eddie Money
The Real Love	Bob Seger & The Silver Bullet Band
Stand By My Woman	Lenny Kravitz
Thinking Of You	Grandmaster Slice
What Time Is Love?	The KLF
Unforgettable	Natalie Cole
I Wanna Be Your Girl	Icy Blu
For Your Mind	Robbie Nevil
I'm Not Your Puppet	Hi-C
Change	Lisa Stansfield
Cool As Ice (Everybody Get Loose)	Vanilla Ice
True Companion	Marc Cohn
Too Much	Tara Kemp
The Promise Of A New Day	Paula Abdul
Forever More	Stevie B
Skat Strut	MC Skat Kat & The Stray Mob
Monsters And Angels	Voice Of The Beehive
Things That Make You Go Hmmmm. . .	C+C Music Factory
