Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Centerfold	The J. Geils Band
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Harden My Heart	Quarterflash
Leather And Lace	Stevie Nicks With Don Henley
Turn Your Love Around	George Benson
Let's Groove	Earth, Wind & Fire
Trouble	Lindsey Buckingham
The Sweetest Thing (I've Ever Known)	Juice Newton
Hooked On Classics	Royal Philharmonic Orchestra
Comin' In And Out Of Your Life	Barbra Streisand
Cool Night	Paul Davis
Shake It Up	The Cars
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Waiting On A Friend	The Rolling Stones
Leader Of The Band	Dan Fogelberg
Take It Easy On Me	Little River Band
Come Go With Me	The Beach Boys
I Wouldn't Have Missed It For The World	Ronnie Milsap
You Could Have Been With Me	Sheena Easton
Sweet Dreams	Air Supply
She's Got A Way	Billy Joel
Yesterday's Songs	Neil Diamond
Young Turks	Rod Stewart
Love Is Alright Tonite	Rick Springfield
Why Do Fools Fall In Love	Diana Ross
Don't Stop Believin'	Journey
Open Arms	Journey
Through The Years	Kenny Rogers
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Under Pressure	Queen & David Bowie
Love In The First Degree	Alabama
More Than Just The Two Of Us	Sneaker
Key Largo	Bertie Higgins
Working For The Weekend	Loverboy
All Our Tomorrows	Eddie Schwartz
Sea Of Love	Del Shannon
Somewhere Down The Road	Barry Manilow
Abacab	Genesis
Our Lips Are Sealed	Go-Go's
Steal The Night	Stevie Woods
Mirror, Mirror	Diana Ross
Breakin' Away	Al Jarreau
Pac-Man Fever	Buckner & Garcia
Oh No	Commodores
Could It Be Love	Jennifer Warnes
Feel Like A Number	Bob Seger & The Silver Bullet Band
Little Darlin'	Sheila
Love Is Like A Rock	Donnie Iris
Keeping Our Love Alive	Henry Paul Band
That Girl	Stevie Wonder
Every Little Thing She Does Is Magic	The Police
Spirits In The Material World	The Police
Castles In The Air	Don McLean
A World Without Heroes	KISS
Crazy (Keep On Falling)	The John Hall Band
If I Were You	Lulu
When All Is Said And Done	ABBA
One Hundred Ways	Quincy Jones Featuring James Ingram
Tonight Tonight	Bill Champlin
Every Home Should Have One	Patti Austin
You're My Latest, My Greatest Inspiration	Teddy Pendergrass
Let The Feeling Flow	Peabo Bryson
My Kinda Lover	Billy Squier
My Girl (Gone, Gone, Gone)	Chilliwack
Private Eyes	Daryl Hall John Oates
Here I Am (Just When I Thought I Was Over You)	Air Supply
Perhaps Love	Placido Domingo & John Denver
Daddy's Home	Cliff Richard
Let's Get It Up	AC/DC
Bobbie Sue	The Oak Ridge Boys
I Believe	Chilliwack
Tonight I'm Yours (Don't Hurt Me)	Rod Stewart
Chariots Of Fire - Titles	Vangelis
Tell Me Tomorrow - Part I	Smokey Robinson
Call Me	Skyy
Wanna Be With You	Earth, Wind & Fire
It's My Party	Dave Stewart and Barbara Gaskin
Tainted Love	Soft Cell
If Looks Could Kill	Player
Should I Do It	The Pointer Sisters
Start Me Up	The Rolling Stones
Seasons Of Gold	Gidea Park featuring Adrian Baker
Circle Of Love	The Steve Miller Band
Just Can't Win 'em All	Stevie Woods
Genius Of Love	Tom Tom Club
867-5309/jenny	Tommy Tutone
Falling In Love	Balance
Anyone Can See	Irene Cara
Heart Like A Wheel	The Steve Miller Band
Let Me Love You Once	Greg Lake
Those Good Old Dreams	Carpenters
Wkrp In Cincinnati	Steve Carlisle
Southern Pacific	Neil Young / Crazy Horse
The Old Songs	Barry Manilow
Arthur's Theme (Best That You Can Do)	Christopher Cross
No Reply At All	Genesis
Closer To The Heart	Rush
Can't Hold Back (Your Loving)	Kano
