Bennie And The Jets	Elton John
Hooked On A Feeling	Blue Swede
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
The Lord's Prayer	Sister Janet Mead
Come And Get Your Love	Redbone
Sunshine On My Shoulders	John Denver
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Seasons In The Sun	Terry Jacks
Oh My My	Ringo Starr
Mockingbird	Carly Simon & James Taylor
A Very Special Love Song	Charlie Rich
Lookin' For A Love	Bobby Womack
I'll Have To Say I Love You In A Song	Jim Croce
Jet	Paul McCartney And Wings
Dark Lady	Cher
Just Don't Want To Be Lonely	The Main Ingredient
The Loco-Motion	Grand Funk
Eres Tu (Touch The Wind)	Mocedades
Dancing Machine	Jackson 5
Tubular Bells	Mike Oldfield
Keep On Singing	Helen Reddy
Tell Me A Lie	Sami Jo
Touch A Hand, Make A Friend	The Staple Singers
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Jungle Boogie	Kool & The Gang
Let It Ride	Bachman-Turner Overdrive
Piano Man	Billy Joel
Boogie Down	Eddie Kendricks
The Show Must Go On	Three Dog Night
Rock On	David Essex
(i've Been) Searchin' So Long	Chicago
Mighty Love - Pt. 1	The Spinners
There Won't Be Anymore	Charlie Rich
Trying To Hold On To My Woman	Lamont Dozier
Midnight At The Oasis	Maria Muldaur
You Make Me Feel Brand New	The Stylistics
Outside Woman	Bloodstone
The Way We Were	Barbra Streisand
The Payback - Part I	James Brown
I'm A Train	Albert Hammond
Help Me	Joni Mitchell
Thanks For Saving My Life	Billy Paul
Star Baby	The Guess Who
The Entertainer	Marvin Hamlisch/"The Sting"
Oh Very Young	Cat Stevens
Love's Theme	Love Unlimited Orchestra
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Rock And Roll, Hoochie Koo	Rick Derringer
Heavenly	The Temptations
Mighty Mighty	Earth, Wind & Fire
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
My Sweet Lady	Cliff DeYoung
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
I'll Be The Other Woman	The Soul Children
Spiders & Snakes	Jim Stafford
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Once You Understand	Think
Don't You Worry 'Bout A Thing	Stevie Wonder
Touch And Go	Al Wilson
Dance With The Devil	Cozy Powell
Let's Get Married	Al Green
Happiness Is Me And You	Gilbert O'Sullivan
Must Be Love	The James Gang
Keep It In The Family	Leon Haywood
Virginia (Touch Me Like You Do)	Bill Amesbury
Unborn Child	Seals & Crofts
All In Love Is Fair	Barbra Streisand
I'm In Love	Aretha Franklin
Summer Breeze (Part 1)	The Isley Brothers
I Won't Last A Day Without You	Carpenters
I Am What I Am	Lois Fletcher
Rock Around The Clock	Bill Haley And His Comets
Put A Little Love Away	The Emotions
Standing At The End Of The Line	Lobo
Chameleon	Herbie Hancock
Pepper Box	The Peppers
Werewolf	Five Man Electrical Band
A Dream Goes On Forever	Todd Rundgren
Power Of Love	Martha Reeves
One Hell Of A Woman	Mac Davis
Beyond The Blue Horizon	Lou Christie
Daybreak	Nilsson
Sundown	Gordon Lightfoot
The Streak	Ray Stevens
Under The Influence Of Love	Love Unlimited
Loving Arms	Kris Kristofferson & Rita Coolidge
If You Love Me (let Me Know)	Olivia Newton-John
It Only Hurts When I Try To Smile	Dawn Featuring Tony Orlando
If It Feels Good, Do It	Ian Lloyd & Stories
For The Love Of Money	The O'Jays
Loving You	Johnny Nash
La Grange	ZZ Top
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
Who Is He And What Is He To You	Creative Source
Silver Threads And Golden Needles	Linda Ronstadt
No Charge	Melba Montgomery
The Same Love That Made Me Laugh	Bill Withers
Bad, Bad Leroy Brown	Frank Sinatra
So Good	The Eleventh Hour
Might Just Take Your Life	Deep Purple
