Faith	George Michael
So Emotional	Whitney Houston
Is This Love	Whitesnake
Got My Mind Set On You	George Harrison
Shake Your Love	Debbie Gibson
Don't You Want Me	Jody Watley
The Way You Make Me Feel	Michael Jackson
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Cherry Bomb	John Mellencamp
Need You Tonight	INXS
Valerie	Steve Winwood
Tell It To My Heart(Dub)	Taylor Dayne
Candle In The Wind	Elton John
Dude (Looks Like A Lady)	Aerosmith
Hazy Shade Of Winter	The Bangles
Could've Been	Tiffany
Heaven Is A Place On Earth	Belinda Carlisle
There's The Girl	Heart
Animal	Def Leppard
Seasons Change	Expose
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Crazy	Icehouse
I Could Never Take The Place Of Your Man	Prince
That's What Love Is All About	Michael Bolton
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
I Want To Be Your Man	Roger
Power Of Love	Laura Branigan
We'll Be Together	Sting
Should've Known Better	Richard Marx
Tunnel Of Love	Bruce Springsteen
I Live For Your Love	Natalie Cole
True Faith	New Order
Say You Will	Foreigner
Don't Shed A Tear	Paul Carrack
Pop Goes The World	Men Without Hats
Honestly	Stryper
Motortown	The Kane Gang
Everywhere	Fleetwood Mac
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Push It	Salt-N-Pepa
Just Like Heaven	The Cure
The One I Love	R.E.M.
I Think We're Alone Now	Tiffany
I Found Someone	Cher
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Pump Up The Volume	M/A/R/R/S
I Don't Mind At All	Bourgeois Tagg
I Can't Help It	Bananarama
Skeletons	Stevie Wonder
I Do You	The Jets
Because Of You	The Cover Girls
Mony Mony	Billy Idol
In God's Country	U2
You And Me Tonight	Deja
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
853-5937	Squeeze
I've Been In Love Before	Cutting Crew
(Baby Tell Me) Can You Dance	Shanice Wilson
Lover's Lane	Georgio
Hot In The City	Billy Idol
Never Gonna Give You Up	Rick Astley
Hourglass	Squeeze
Dear Mr. Jesus	Powersource (Solo...Sharon)
Rhythm Of Love	Yes
Never Thought (That I Could Love)	Dan Hill
System Of Survival	Earth, Wind & Fire
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Reason To Live	KISS
I Won't Forget You	Poison
I Need A Man	Eurythmics
Little Lies	Fleetwood Mac
Breakout	Swing Out Sister
Love Will Find A Way	Yes
Criticize	Alexander O'Neal
U Got The Look	Prince
Twilight World	Swing Out Sister
Throwaway	Mick Jagger
Brilliant Disguise	Bruce Springsteen
In My Dreams	REO Speedwagon
Live My Life (From The Film "Hiding Out")	Boy George
Rain In The Summertime	The Alarm
Burning Like A Flame	Dokken
She's Fly	Tony Terry
Silent Morning	Noel
Cherokee	Europe
Someone To Love Me For Me	Lisa Lisa And Cult Jam Featuring Full Force
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
Lonely Won't Leave Me Alone	Glenn Medeiros
Let Me Be The One	Expose
What's Too Much	Smokey Robinson
You're All I Need	Motley Crue
Special Way	Kool & The Gang
Eagles Fly	Sammy Hagar
It's A Sin	Pet Shop Boys
Who Will You Run To	Heart
Never Let Me Down Again	Depeche Mode
Causing A Commotion	Madonna
Here I Go Again	Whitesnake
Don't Tell Me The Time	Martha Davis
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
