Big Bad John	Jimmy Dean
Please Mr. Postman	The Marvelettes
Goodbye Cruel World	James Darren
Runaround Sue	Dion
Fool #1	Brenda Lee
The Twist	Chubby Checker
Walk On By	Leroy Van Dyke
Tower Of Strength	Gene McDaniels
I Understand (Just How You Feel)	The G-Clefs
Crazy	Patsy Cline
Run To Him	Bobby Vee
Tonight	Ferrante & Teicher
Heartaches	The Marcels
Moon River	Jerry Butler
The Fly	Chubby Checker
Let There Be Drums	Sandy Nelson
The Lion Sleeps Tonight	The Tokens
Bristol Stomp	The Dovells
This Time	Troy Shondell
Gypsy Woman	The Impressions
Happy Birthday, Sweet Sixteen	Neil Sedaka
I Love How You Love Me	The Paris Sisters
September In The Rain	Dinah Washington
Moon River	Henry Mancini And His Orchestra
A Wonder Like You	Rick Nelson
I Don't Know Why	Linda Scott
In The Middle Of A Heartache	Wanda Jackson
You're The Reason	Bobby Edwards
Peppermint Twist - Part I	Joey Dee & the Starliters
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
I Wanna Thank You	Bobby Rydell
Let's Twist Again	Chubby Checker
'Til	The Angels
Foot Stomping - Part 1	The Flares
When I Fall In Love	The Lettermen
Language Of Love	John D. Loudermilk
When The Boy In Your Arms (Is The Boy In Your Heart)	Connie Francis
Unchain My Heart	Ray Charles and his Orchestra
Your Ma Said You Cried In Your Sleep Last Night	Kenny Dino
Sad Movies (Make Me Cry)	Sue Thompson
Well, I Told You	The Chantels
God, Country And My Baby	Johnny Burnette
There's No Other (Like My Baby)	The Crystals
Town Without Pity	Gene Pitney
Smile	Timi Yuro
Tonight	Eddie Fisher
Hit The Road Jack	Ray Charles and his Orchestra
Everlovin'	Rick Nelson
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
Up A Lazy River	Si Zentner And His Orchestra
Let's Get Together	Hayley Mills and Hayley Mills
Ya Ya	Lee Dorsey
The Gypsy Rover	The Highwaymen
It's Too Soon To Know	Etta James
Johnny Will	Pat Boone
Revenge	Brook Benton
Can't Help Falling In Love	Elvis Presley With The Jordanaires
Three Steps From The Altar	Shep And The Limelites
The Peppermint Twist	Danny Peppermint and the Jumping Jacks
Soothe Me	Sims Twins
It's All Because	Linda Scott
Rock-A-Hula Baby	Elvis Presley With The Jordanaires
Funny How Time Slips Away	Jimmy Elledge
The Majestic	Dion
I Know (You Don't Love Me No More)	Barbara George
Lonesome Number One	Don Gibson
I Hear You Knocking	Fats Domino
Hey! Little Girl	Del Shannon
I Cried My Last Tear	Ernie K-Doe
Everybody's Gotta Pay Some Dues	The Miracles
A Certain Girl	Ernie K-Doe
Danny Boy	Andy Williams
Poor Fool	Ike & Tina Turner
If You Gotta Make A Fool Of Somebody	James Ray
The Comancheros	Claude King
It Will Stand	The Showmen
What A Walk	Bobby Lewis
Little Altar Boy	Vic Dana
The Wanderer	Dion
Never, Never	The Jive Five With Joe Rene And Orchestra
Turn On Your Love Light	Bobby Bland
Happy Times (Are Here To Stay)	Tony Orlando
Searching	Jack Eubanks
Cotton Fields	The Highwaymen
Walkin' With My Angel	Bobby Vee
Small Sad Sam	Phil McLean
Unsquare Dance	The Dave Brubeck Quartet
Tennessee Flat-Top Box	Johnny Cash
Sometime	Gene Thomas
Losing Your Love	Jim Reeves
Let's Go Trippin'	Dick Dale and The Del-Tones
You're Following Me	Perry Como
Turn Around, Look At Me	Glen Campbell
Norman	Sue Thompson
(How Can I Write On Paper) What I Feel In My Heart	Jim Reeves
Pop Goes The Weasel	Anthony Newley
It Do Me So Good	Ann-Margret
She Really Loves You	Timi Yuro
Dreamy Eyes	Johnny Tillotson
Walkin' Back To Happiness	Helen Shapiro
