Need You Tonight	INXS
Could've Been	Tiffany
Hazy Shade Of Winter	The Bangles
The Way You Make Me Feel	Michael Jackson
Seasons Change	Expose
I Want To Be Your Man	Roger
Got My Mind Set On You	George Harrison
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
Candle In The Wind	Elton John
Tell It To My Heart(Dub)	Taylor Dayne
I Could Never Take The Place Of Your Man	Prince
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Say You Will	Foreigner
Tunnel Of Love	Bruce Springsteen
Don't Shed A Tear	Paul Carrack
Crazy	Icehouse
I Live For Your Love	Natalie Cole
Everywhere	Fleetwood Mac
There's The Girl	Heart
So Emotional	Whitney Houston
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Pop Goes The World	Men Without Hats
Honestly	Stryper
Never Gonna Give You Up	Rick Astley
Pump Up The Volume	M/A/R/R/S
Push It	Salt-N-Pepa
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Faith	George Michael
I Found Someone	Cher
Father Figure	George Michael
Is This Love	Whitesnake
Shake Your Love	Debbie Gibson
I Get Weak	Belinda Carlisle
Cherry Bomb	John Mellencamp
853-5937	Squeeze
Because Of You	The Cover Girls
Just Like Paradise	David Lee Roth
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Love Overboard	Gladys Knight And The Pips
Endless Summer Nights	Richard Marx
Don't You Want Me	Jody Watley
Be Still My Beating Heart	Sting
True Faith	New Order
Rhythm Of Love	Yes
Power Of Love	Laura Branigan
I Need A Man	Eurythmics
In God's Country	U2
I Want Her	Keith Sweat
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Twilight World	Swing Out Sister
Live My Life (From The Film "Hiding Out")	Boy George
Heaven Is A Place On Earth	Belinda Carlisle
Valerie	Steve Winwood
Never Thought (That I Could Love)	Dan Hill
Hysteria	Def Leppard
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Out Of The Blue	Debbie Gibson
Hot In The City	Billy Idol
(Sittin' On) The Dock Of The Bay	Michael Bolton
Rocket 2 U	The Jets
Just Like Heaven	The Cure
Dude (Looks Like A Lady)	Aerosmith
Wishing Well	Terence Trent D'Arby
Reason To Live	KISS
Never Let Me Down Again	Depeche Mode
That's What Love Is All About	Michael Bolton
Lonely Won't Leave Me Alone	Glenn Medeiros
Never Can Say Goodbye	The Communards
You Don't Know	Scarlett & Black
Never Knew Love Like This	Alexander O'Neal Featuring Cherrelle
How Can I Forget You	Elisa Fiorillo
All I Want Is You	Carly Simon
Should've Known Better	Richard Marx
Girlfriend	Pebbles
Lover's Lane	Georgio
Some Kind Of Lover	Jody Watley
Save Your Love	Great White
Rain In The Summertime	The Alarm
Animal	Def Leppard
I Can't Help It	Bananarama
Angel	Aerosmith
Burning Like A Flame	Dokken
It's The End Of The World As We Know It (And I Feel Fine)	R.E.M.
Coming Up You	The Cars
I Heard It Through The Grapevine	The California Raisins
Stimulation	Wa Wa Nee
You And Me Tonight	Deja
We'll Be Together	Sting
Love Will Find A Way	Yes
Motortown	The Kane Gang
The One I Love	R.E.M.
Mony Mony	Billy Idol
I Don't Mind At All	Bourgeois Tagg
Dear Mr. Jesus	Powersource (Solo...Sharon)
In My Dreams	REO Speedwagon
I Think We're Alone Now	Tiffany
(Baby Tell Me) Can You Dance	Shanice Wilson
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
Cherokee	Europe
Skeletons	Stevie Wonder
