Jump	Van Halen
Karma Chameleon	Culture Club
99 Luftballons	Nena
Girls Just Want To Have Fun	Cyndi Lauper
Thriller	Michael Jackson
Joanna	Kool & The Gang
Nobody Told Me	John Lennon
Let The Music Play	Shannon
Wrapped Around Your Finger	The Police
An Innocent Man	Billy Joel
That's All	Genesis
Somebody's Watching Me	Rockwell
I Want A New Drug	Huey Lewis & The News
Talking In Your Sleep	The Romantics
Here Comes The Rain Again	Eurythmics
New Moon On Monday	Duran Duran
Running With The Night	Lionel Richie
Think Of Laura	Christopher Cross
Owner Of A Lonely Heart	Yes
Yah Mo B There	James Ingram With Michael McDonald
Got A Hold On Me	Christine McVie
Footloose	Kenny Loggins
The Language Of Love	Dan Fogelberg
Middle Of The Road	Pretenders
This Woman	Kenny Rogers
Pink Houses	John Mellencamp
Automatic	The Pointer Sisters
Give It Up	KC
Break My Stride	Matthew Wilder
Almost Over You	Sheena Easton
Adult Education	Daryl Hall John Oates
I Guess That's Why They Call It The Blues	Elton John
The Politics Of Dancing	Re-flex
Let's Stay Together	Tina Turner
Back Where You Belong	Thirty Eight Special
Runner	Manfred Mann's Earth Band
So Bad	Paul McCartney
New Song	Howard Jones
Hold Me Now	Thompson Twins
Livin' In Desperate Times	Olivia Newton-John
Come Back And Stay	Paul Young
I Still Can't Get Over Loving You	Ray Parker Jr.
Radio Ga Ga	Queen
Bang Your Head (Metal Health)	Quiet Riot
For A Rocker	Jackson Browne
If Only You Knew	Patti LaBelle
Girls	Dwight Twilley
Red Red Wine	UB40
She Was Hot	The Rolling Stones
Don't Let Go	Wang Chung
Send Me An Angel	Real Life
Fields Of Fire	Big Country
Holiday	Madonna
You Make My Heart Beat Faster	Kim Carnes
The Dream	Irene Cara
Say Say Say	Paul McCartney And Michael Jackson
Rebel Yell	Billy Idol
Strip	Adam Ant
Twist Of Fate	Olivia Newton-John
The Kid's American	Matthew Wilder
This Could Be The Right One	April Wine
Time Will Reveal	Debarge
They Don't Know	Tracey Ullman
Baby I Lied	Deborah Allen
Nightbird	Stevie Nicks
Looks That Kill	Motley Crue
Against All Odds (Take A Look At Me Now)	Phil Collins
Tonight	Kool & The Gang
Vitamin L	B.E. Taylor Group
Breaking Up Is Hard On You	The American Comedy Network
Encore	Cheryl Lynn
Joystick	Dazz Band
Make My Day	T.G. Sheppard With Clint Eastwood
Beast Of Burden	Bette Midler
Hello	Lionel Richie
Stay With Me Tonight	Jeffrey Osborne
Body Talk	The Deele
The Curly Shuffle	Jump 'n The Saddle
Say It Isn't So	Daryl Hall John Oates
Walking In My Sleep	Roger Daltrey
Remember What You Like	Jenny Burton
It's Gonna Be Special	Patti Austin
Shooting Shark	Blue Oyster Cult
Holding Out For A Hero	Bonnie Tyler
White Horse	Laid Back
One In A Million	The Romantics
We're Going All The Way	Jeffrey Osborne
Hyperactive	Thomas Dolby
Each Word's A Beat Of My Heart	Mink De Ville
Flashes	Tiggi Clay
All Night Long (All Night)	Lionel Richie
Runaway	Bon Jovi
Club Michelle	Eddie Money
Save The Last Dance For Me	Dolly Parton
Look At That Cadillac	Stray Cats
Union Of The Snake	Duran Duran
She's Trouble	Musical Youth
If I'd Been The One	Thirty Eight Special
Tender Years	John Cafferty & The Beaver Brown Band
Over My Head	Toni Basil
