Maggie May/Reason To Believe	Rod Stewart
Go Away Little Girl	Donny Osmond
Superstar/Bless The Beasts And Children	Carpenters
The Night They Drove Old Dixie Down	Joan Baez
Yo-Yo	The Osmonds
Do You Know What I Mean	Lee Michaels
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Ain't No Sunshine	Bill Withers
If You Really Love Me	Stevie Wonder
Sweet City Woman	Stampeders
Smiling Faces Sometimes	The Undisputed Truth
Spanish Harlem	Aretha Franklin
Tired Of Being Alone	Al Green
So Far Away/Smackwater Jack	Carole King
Stick-Up	The Honey Cone
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
I've Found Someone Of My Own	The Free Movement
Trapped By A Thing Called Love	Denise LaSalle
Rain Dance	The Guess Who
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Thin Line Between Love & Hate	The Persuaders
Make It Funky (Part 1)	James Brown
The Story In Your Eyes	The Moody Blues
Whatcha See Is Whatcha Get	The Dramatics
Wedding Song (There Is Love)	Paul Stookey
I Just Want To Celebrate	Rare Earth
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Gypsys, Tramps & Thieves	Cher
Birds Of A Feather	The Raiders
Never My Love	The 5th Dimension
Stagger Lee	Tommy Roe
The Love We Had (Stays On My Mind)	The Dells
Won't Get Fooled Again	The Who
Peace Train	Cat Stevens
Easy Loving	Freddie Hart
One Fine Morning	Lighthouse
Saturday Morning Confusion	Bobby Russell
MacArthur Park (Part II)	Four Tops
The Breakdown (Part I)	Rufus Thomas
Only You Know And I Know	Delaney & Bonnie
Women's Love Rights	Laura Lee
All Day Music	War
I Ain't Got Time Anymore	The Glass Bottle
I'm Comin' Home	Tommy James
A Natural Man	Lou Rawls
K-Jee	The Nite-Liters
Marianne	Stephen Stills
Annabella	Hamilton, Joe Frank & Reynolds
Another Time, Another Place	Engelbert Humperdinck
The Year That Clayton Delaney Died	Tom T. Hall
What Are You Doing Sunday	Dawn Featuring Tony Orlando
One Tin Soldier, The Legend of Billy Jack	Coven
Charity Ball	Fanny
You've Got To Crawl (Before You Walk)	The 8th Day
Where Evil Grows	The Poppy Family
Roll On	The New Colony Six
Talk It Over In The Morning	Anne Murray
Long Ago And Far Away	James Taylor
Stop, Look, Listen (To Your Heart)	The Stylistics
Call My Name, I'll Be There	Wilson Pickett
Ko-Ko Joe	Jerry Reed
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
I'd Love To Change The World	Ten Years After
It's A Cryin' Shame	Gayle McCormick
It's For You	Springwell
Questions 67 And 68/I'm A Man	Chicago
She's All I Got	Freddie North
Feel So Bad	Ray Charles
Ghetto Woman	B.B. King
Some Of Shelly's Blues	Nitty Gritty Dirt Band
Spill The Wine	The Isley Brothers
That's The Way A Woman Is	Messengers
Love	The Lettermen
I Don't Need No Doctor	Humble Pie
You Brought The Joy	Freda Payne
Freedom Comes, Freedom Goes	The Fortunes
Pin The Tail On The Donkey	The Newcomers
Military Madness	Graham Nash
Two Divided By Love	The Grass Roots
Rub It In	Layng Martine
It's Impossible	The New Birth
Do I Love You	Paul Anka
Wild Night	Van Morrison
Handbags And Gladrags	Chase
I Know I'm In Love	Chee-Chee & Peppy
You Send Me	Ponderosa Twins + One
Desiderata	Les Crane
Hot Pants - I'm Coming, Coming, I'm Coming	Bobby Byrd
Midnight Man	James Gang
It's Only Love	Elvis Presley
Your Move (I've Seen All Good People)	Yes
Mammy Blue	Pop-Tops
Everything's Alright	Yvonne Elliman
Walk Easy My Son	Jerry Butler
I'm So Glad	The Fuzz
Valerie	Cymarron
Touch	The Supremes
Olena	Don Nix
Co-Co	The Sweet
Baby, I'm Yours	Jody Miller
