Say You, Say Me	Lionel Richie
Party All The Time	Eddie Murphy
Alive & Kicking	Simple Minds
That's What Friends Are For	Dionne & Friends
I Miss You	Klymaxx
Small Town	John Mellencamp
Broken Wings	Mr. Mister
Separate Lives	Phil Collins and Marilyn Martin
Tonight She Comes	The Cars
Election Day	Arcadia
Talk To Me	Stevie Nicks
Sleeping Bag	ZZ Top
Walk Of Life	Dire Straits
Perfect Way	Scritti Politti
Burning Heart	Survivor
My Hometown	Bruce Springsteen
Love Is The Seventh Wave	Sting
Emergency	Kool & The Gang
It's Only Love	Bryan Adams/Tina Turner
I'm Your Man	Wham!
Conga	Miami Sound Machine
Go Home	Stevie Wonder
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Spies Like Us	Paul McCartney
Never	Heart
We Built This City	Starship
Goodbye	Night Ranger
Everybody Dance	Ta Mara & The Seen
Object Of My Desire	Starpoint
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Sex As A Weapon	Pat Benatar
Face The Face	Pete Townshend
Who's Zoomin' Who	Aretha Franklin
Wrap Her Up	Elton John
How Will I Know	Whitney Houston
A Love Bizarre	Sheila E.
The Sweetest Taboo	Sade
Everything In My Heart	Corey Hart
Lay Your Hands On Me	Thompson Twins
Sun City	Artists United Against Apartheid
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
The Sun Always Shines on T.V.	a-ha
Living In America	James Brown
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Life In A Northern Town	The Dream Academy
You Belong To The City	Glenn Frey
The Big Money	Rush
Do It For Love	Sheena Easton
Kyrie	Mr. Mister
To Live And Die In L.A.	Wang Chung
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Go	Asia
Digital Display	Ready For The World
Count Me Out	New Edition
Leader Of The Pack	Twisted Sister
Everything Must Change	Paul Young
Part-Time Lover	Stevie Wonder
Too Young	Jack Wagner
You Are My Lady	Freddie Jackson
Miami Vice Theme	Jan Hammer
He'll Never Love You (Like I Do)	Freddie Jackson
Somewhere	Barbra Streisand
One Vision	Queen
Sara	Starship
Day By Day	Hooters
Caravan Of Love	Isley, Jasper, Isley
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Head Over Heels	Tears For Fears
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Everyday	James Taylor
Morning Desire	Kenny Rogers
One Of The Living	Tina Turner
Beat's So Lonely	Charlie Sexton
Running Up That Hill	Kate Bush
The Heart Is Not So Smart	El DeBarge With DeBarge
Secret	Orchestral Manoeuvres In The Dark
Own The Night	Chaka Khan
Be Near Me	ABC
Secret Lovers	Atlantic Starr
I Knew The Bride (When She Use To Rock And Roll)	Nick Lowe And His Cowboy Outfit
Don't Say No Tonight	Eugene Wilde
Small Town Girl	John Cafferty & The Beaver Brown Band
Dangerous	Loverboy
Let's Go All The Way	Sly Fox
Stacy	Fortune
Baby Talk	Alisha
Good Friends	Joni Mitchell
Let Me Down Easy	Roger Daltrey
Tears Are Falling	KISS
Strength	The Alarm
Saving All My Love For You	Whitney Houston
Lovin' Every Minute Of It	Loverboy
And She Was	Talking Heads
Freedom	The Pointer Sisters
Soul Kiss	Olivia Newton-John
Take On Me	a-ha
Fortress Around Your Heart	Sting
Girls Are More Fun	Ray Parker Jr.
Lonely Ol' Night	John Mellencamp
