Rock Me Amadeus	Falco
Kiss	Prince And The Revolution
Manic Monday	The Bangles
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
What You Need	INXS
Addicted To Love	Robert Palmer
Let's Go All The Way	Sly Fox
West End Girls	Pet Shop Boys
Harlem Shuffle	The Rolling Stones
Tender Love	Force M.D.'s
Secret Lovers	Atlantic Starr
Why Can't This Be Love	Van Halen
These Dreams	Heart
What Have You Done For Me Lately	Janet Jackson
Your Love	The Outfield
I Can't Wait	Stevie Nicks
Nikita	Elton John
I Think It's Love	Jermaine Jackson
Take Me Home	Phil Collins
American Storm	Bob Seger
This Could Be The Night	Loverboy
So Far Away	Dire Straits
Bad Boy	Miami Sound Machine
Overjoyed	Stevie Wonder
Calling America	Electric Light Orchestra
If You Leave	Orchestral Manoeuvres In The Dark
Sara	Starship
Saturday Love	Cherrelle With Alexander O'Neal
Greatest Love Of All	Whitney Houston
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
For America	Jackson Browne
Something About You	Level 42
Live Is Life	Opus
No Easy Way Out	Robert Tepper
How Will I Know	Whitney Houston
I Can't Wait	Nu Shooz
All I Need Is A Miracle	Mike + The Mechanics
A Little Bit Of Love (Is All It Takes)	New Edition
Beat's So Lonely	Charlie Sexton
Is It Love	Mr. Mister
King For A Day	Thompson Twins
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
Kyrie	Mr. Mister
Rough Boy	ZZ Top
Never As Good As The First Time	Sade
On My Own	Patti LaBelle & Michael McDonald
Feel It Again	Honeymoon Suite
Stick Around	Julian Lennon
Live To Tell	Madonna
Sanctify Yourself	Simple Minds
Be Good To Yourself	Journey
Move Away	Culture Club
Tomorrow Doesn't Matter Tonight	Starship
Restless	Starpoint
(How To Be A) Millionaire	ABC
Right Between The Eyes	Wax
Night Moves	Marilyn Martin
Silent Running (On Dangerous Ground)	Mike + The Mechanics
The Power Of Love	Jennifer Rush
Another Night	Aretha Franklin
Call Me	Dennis DeYoung
Your Smile	Rene & Angela
Bop	Dan Seals
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Do Me Baby	Meli'sa Morgan
Where Do The Children Go	Hooters
Mothers Talk	Tears For Fears
Absolute Beginners	David Bowie
All The Things She Said	Simple Minds
I'm Not The One	The Cars
The Sweetest Taboo	Sade
No One Is To Blame	Howard Jones
Crush On You	The Jets
A Good Heart	Feargal Sharkey
Life In A Northern Town	The Dream Academy
Living In America	James Brown
Holding Back The Years	Simply Red
Whisper In The Dark	Dionne Warwick
I Like You	Phyllis Nelson
Shot in the Dark	Ozzy Osbourne
Johnny Come Home	Fine Young Cannibals
Is That It?	Katrina And The Waves
Working Class Man	Jimmy Barnes
I Wanna Be A Cowboy	Boys Don't Cry
Where Are You Now?	Jimmy Harnen With Synch
I Engineer	Animotion
A Love Bizarre	Sheila E.
Hands Across America	Voices Of America
Somebody Somewhere	Platinum Blonde
Pretty In Pink	Psychedelic Furs
Living In The Background	Baltimora
Mutual Surrender (What A Wonderful World)	Bourgeois Tagg
Love And Rock And Roll	Greg Kihn
Day By Day	Hooters
That's What Friends Are For	Dionne & Friends
If You Were A Woman (And I Was A Man)	Bonnie Tyler
Baby Talk	Alisha
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Conga	Miami Sound Machine
Russians	Sting
