Cheerleader	OMI
See You Again	Wiz Khalifa Featuring Charlie Puth
Can't Feel My Face	The Weeknd
Bad Blood	Taylor Swift Featuring Kendrick Lamar
Watch Me	Silento
Trap Queen	Fetty Wap
Shut Up And Dance	WALK THE MOON
Fight Song	Rachel Platten
Where Are U Now	Skrillex & Diplo With Justin Bieber
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Honey, I'm Good.	Andy Grammer
The Hills	The Weeknd
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Worth It	Fifth Harmony Featuring Kid Ink
Good For You	Selena Gomez Featuring A$AP Rocky
Want To Want Me	Jason Derulo
Lean On	Major Lazer & DJ Snake Featuring MO
Earned It (Fifty Shades Of Grey)	The Weeknd
679	Fetty Wap Featuring Remy Boyz
Sugar	Maroon 5
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
B**** Better Have My Money	Rihanna
Talking Body	Tove Lo
Photograph	Ed Sheeran
You Know You Like It	DJ Snake & AlunaGeorge
Thinking Out Loud	Ed Sheeran
Girl Crush	Little Big Town
Cool For The Summer	Demi Lovato
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Classic Man	Jidenna Featuring Roman GianArthur
Flex (Ooh Ooh Ooh)	Rich Homie Quan
This Summer's Gonna Hurt...	Maroon 5
Love Me Like You Do	Ellie Goulding
Kick The Dust Up	Luke Bryan
Elastic Heart	Sia
Nasty Freestyle	T-Wayne
Take Your Time	Sam Hunt
Slow Motion	Trey Songz
Uma Thurman	Fall Out Boy
Sangria	Blake Shelton
House Party	Sam Hunt
Fun	Pitbull Featuring Chris Brown
R.I.C.O.	Meek Mill Featuring Drake
The Night Is Still Young	Nicki Minaj
Be Real	Kid Ink Featuring DeJ Loaf
Love You Like That	Canaan Smith
G.D.F.R.	Flo Rida Featuring Sage The Gemini & Lookas
Style	Taylor Swift
Somebody	Natalie La Rose Featuring Jeremih
Shake It Off	Taylor Swift
Crash And Burn	Thomas Rhett
Like A Wrecking Ball	Eric Church
Tonight Looks Good On You	Jason Aldean
Buy Me A Boat	Chris Janson
Stitches	Shawn Mendes
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
One Hell Of An Amen	Brantley Gilbert
Loving You Easy	Zac Brown Band
Renegades	X Ambassadors
Bright	Echosmith
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Love Me Like You Mean It	Kelsea Ballerini
Baby Be My Love Song	Easton Corbin
Planez	Jeremih Featuring J. Cole
John Cougar, John Deere, John 3:16	Keith Urban
Kiss You In The Morning	Michael Ray
Commas	Future
Crushin' It	Brad Paisley
Wet Dreamz	J. Cole
This Could Be Us	Rae Sremmurd
The Matrimony	Wale Featuring Usher
Hell Of A Night	Dustin Lynch
Little Toy Guns	Carrie Underwood
Lose My Mind	Brett Eldredge
Love Is Your Name	Steven Tyler
Young & Crazy	Frankie Ballard
Do It Again	Pia Mia Featuring Chris Brown & Tyga
Bad For You	Meek Mill Featuring Nicki Minaj
Real Life	Jake Owen
Ghost Town	Adam Lambert
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Yoga	Janelle Monae & Jidenna
Diamond Rings And Old Barstools	Tim McGraw With Catherine Dunn
Good Thing	Sage The Gemini Featuring Nick Jonas
Sippin' On Fire	Florida Georgia Line
Alright	Kendrick Lamar
Don't It	Billy Currington
Lord Knows	Meek Mill
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Beautiful Now	Zedd Featuring Jon Bellion
Jump Out The Face	Meek Mill Featuring Future
I Really Like You	Carly Rae Jepsen
Hood Go Crazy	Tech N9Ne Featuring 2 Chainz & B.o.B
Smoke	A Thousand Horses
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Ex's & Oh's	Elle King
Tear In My Heart	twenty one pilots
Brother	NEEDTOBREATHE Featuring Gavin DeGraw
Break Up With Him	Old Dominion
I'm Comin' Over	Chris Young
