Ghostbusters	Ray Parker Jr.
What's Love Got To Do With It	Tina Turner
Stuck On You	Lionel Richie
When Doves Cry	Prince
Missing You	John Waite
I Can Dream About You	Dan Hartman
State of Shock	The Jacksons
Sunglasses At Night	Corey Hart
She Bop	Cyndi Lauper
If Ever You're In My Arms Again	Peabo Bryson
If This Is It	Huey Lewis & The News
Round And Round	Ratt
The Warrior	Scandal Featuring Patty Smyth
Sad Songs (say So Much)	Elton John
Lights Out	Peter Wolf
Let's Go Crazy	Prince And The Revolution
Rock Me Tonite	Billy Squier
Drive	The Cars
Dancing In The Dark	Bruce Springsteen
Sexy Girl	Glenn Frey
The Glamorous Life	Sheila E.
All Of You	Julio Iglesias & Diana Ross
Panama	Van Halen
Dynamite	Jermaine Jackson
Infatuation	Rod Stewart
Cruel Summer	Bananarama
Leave A Tender Moment Alone	Billy Joel
When You Close Your Eyes	Night Ranger
Cover Me	Bruce Springsteen
She's Mine	Steve Perry
We're Not Gonna Take It	Twisted Sister
Hard Habit To Break	Chicago
Right By Your Side	Eurythmics
Breakin'...there's No Stopping Us	Ollie And Jerry
Torture	The Jacksons
17	Rick James
My, Oh My	Slade
Two Sides Of Love	Sammy Hagar
The Lucky One	Laura Branigan
Go Insane	Lindsey Buckingham
Only When You Leave	Spandau Ballet
There Goes My Baby	Donna Summer
Legs	ZZ Top
High On Emotion	Chris de Burgh
Jump (for My Love)	The Pointer Sisters
I Just Called To Say I Love You	Stevie Wonder
I'm So Excited	The Pointer Sisters
Alibis	Sergio Mendes
Lucky Star	Madonna
Are We Ourselves?	The Fixx
Mama, Weer All Crazee Now	Quiet Riot
What The Big Girls Do	Van Stephenson
Bop 'til You Drop	Rick Springfield
(what) In The Name Of Love	Naked Eyes
Eyes Without A Face	Billy Idol
The Only Flame In Town	Elvis Costello & The Atrractions
Some Guys Have All The Luck	Rod Stewart
I'm Free (Heaven Helps The Man)	Kenny Loggins
Self Control	Laura Branigan
Caribbean Queen (No More Love On The Run)	Billy Ocean
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
The Last Time I Made Love	Joyce Kennedy & Jeffrey Osborne
Turn To You	Go-Go's
Flesh For Fantasy	Billy Idol
Hold Me	Teddy Pendergrass And Whitney Houston
The More You Live, The More You Love	A Flock Of Seagulls
Just The Way You Like It	The S.O.S. Band
Doctor! Doctor!	Thompson Twins
Can't Wait All Night	Juice Newton
On The Dark Side	John Cafferty & The Beaver Brown Band
Dance Hall Days	Wang Chung
Satisfy Me	Billy Satellite
Straight From The Heart (Into Your Life)	Coyote Sisters
Stranger	Stephen Stills
Strut	Sheena Easton
Romancing The Stone	Eddy Grant
Turn Around	Neil Diamond
Here She Comes	Bonnie Tyler
10-9-8	Face To Face
You Take Me Up	Thompson Twins
Jam On It	Newcleus
I Send A Message	INXS
Borderline	Madonna
She Loves My Car	Ronnie Milsap
Video	Jeff Lynne
Next Love	Deniece Williams
The Reflex	Duran Duran
Rain	Dragon
Magic	The Cars
Anywhere With You	Rubber Rodeo
The Heart Of Rock & Roll	Huey Lewis & The News
Happy Ending	Joe Jackson
99 1/2	Carol Lynn Townes
I Didn't Mean To Turn You On	Cherelle
Cleanin' Up The Town	Bus Boys
No Way Out	Jefferson Starship
Taking It All Too Hard	Genesis
Time After Time	Cyndi Lauper
Stay The Night	Chicago
You Were Made For Me	Irene Cara
