Celebration	Kool & The Gang
9 To 5	Dolly Parton
I Love A Rainy Night	Eddie Rabbitt
The Tide Is High	Blondie
Passion	Rod Stewart
Woman	John Lennon
(Just Like) Starting Over	John Lennon
Keep On Loving You	REO Speedwagon
Giving It Up For Your Love	Delbert McClinton
Hey Nineteen	Steely Dan
Same Old Lang Syne	Dan Fogelberg
The Best Of Times	Styx
Every Woman In The World	Air Supply
Miss Sun	Boz Scaggs
The Winner Takes It All	ABBA
I Ain't Gonna Stand For It	Stevie Wonder
Crying	Don McLean
It's My Turn	Diana Ross
Together	Tierra
Hello Again	Neil Diamond
Seven Bridges Road	Eagles
Heartbreak Hotel	The Jacksons
A Little In Love	Cliff Richard
Treat Me Right	Pat Benatar
Smoky Mountain Rain	Ronnie Milsap
Games People Play	The Alan Parsons Project
Love On The Rocks	Neil Diamond
Guilty	Barbra Streisand & Barry Gibb
I Made It Through The Rain	Barry Manilow
Hearts On Fire	Randy Meisner
Time Is Time	Andy Gibb
Rapture	Blondie
Kiss On My List	Daryl Hall John Oates
Killin' Time	Fred Knoblock & Susan Anton
Ah! Leah!	Donnie Iris
What Kind Of Fool	Barbra Streisand & Barry Gibb
De Do Do Do, De Da Da Da	The Police
Living In A Fantasy	Leo Sayer
Back In Black	AC/DC
(Ghost) Riders In The Sky	Outlaws
Hungry Heart	Bruce Springsteen
Flash's Theme Aka Flash	Queen
Hit Me With Your Best Shot	Pat Benatar
Tell It Like It Is	Heart
Too Tight	ConFunkShun
Precious To Me	Phil Seymour
Lady	Kenny Rogers
Guitar Man	Elvis Presley
Fade Away	Bruce Springsteen
Staying With It	Firefall
He Can't Love You	Michael Stanley Band
Who's Making Love	Blues Brothers
Somebody's Knockin'	Terri Gibbs
Shine On	L.T.D.
Fly Away	Peter Allen
Suddenly	Olivia Newton-John & Cliff Richard
Don't Stand So Close To Me	The Police
Fool That I Am	Rita Coolidge
Lipstick	Suzi Quatro
Full Of Fire	Shalamar
Ain't Even Done With The Night	John Cougar
More Than I Can Say	Leo Sayer
While You See A Chance	Steve Winwood
Love T.K.O.	Teddy Pendergrass
I Don't Want To Know Your Name	Glen Campbell
Dreamer	The Association
Fantastic Voyage	Lakeside
Turn Me Loose	Loverboy
I Need Your Lovin'	Teena Marie
Another One Bites The Dust	Queen
Master Blaster (Jammin')	Stevie Wonder
Fireflies	Fleetwood Mac
Just Between You And Me	April Wine
Morning Train (Nine To Five)	Sheena Easton
Don't Stop The Music	Yarbrough & Peoples
Cold Love	Donna Summer
And Love Goes On	Earth, Wind & Fire
Watching You	Slave
Cafe Amore	Spyro Gyra
One Step Closer	The Doobie Brothers
Don't You Know What Love Is	Touch
Keep This Train A-Rollin'	The Doobie Brothers
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
How 'bout Us	Champaign
Yesterday Once More/Nothing Remains The Same	The Spinners
Skateaway	Dire Straits
It's A Love Thing	The Whispers
Long Time Lovin' You	McGuffey Lane
Being With You	Smokey Robinson
Proud	The Joe Chemay Band
My Mother's Eyes	Bette Midler
United Together	Aretha Franklin
Woman In Love	Barbra Streisand
Whip It	Devo
Wynken, Blynken And Nod	The Doobie Brothers
8th Wonder	Sugarhill Gang
Seasons	Charles Fox
Everybody's Got To Learn Sometime	The Korgis
Never Be The Same	Christopher Cross
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
