Smooth	Santana Featuring Rob Thomas
Back At One	Brian McKnight
Mambo No. 5 (A Little Bit Of...)	Lou Bega
I Need To Know	Marc Anthony
Heartbreaker	Mariah Carey Featuring Jay-Z
Satisfy You	Puff Daddy Featuring R. Kelly
Unpretty	TLC
My Love Is Your Love	Whitney Houston
I Wanna Love You Forever	Jessica Simpson
Steal My Sunshine	Len
Waiting For Tonight	Jennifer Lopez
U Know What's Up	Donell Jones
Get Gone	Ideal
(You Drive Me) Crazy	Britney Spears
Someday	Sugar Ray
Where My Girls At?	702
Scar Tissue	Red Hot Chili Peppers
Genie In A Bottle	Christina Aguilera
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
I Knew I Loved You	Savage Garden
I Do (Cherish You)	98 Degrees
We Can't Be Friends	Deborah Cox With R.L.
I Want It All	Warren G Featuring Mack 10
Bring It All To Me	Blaque
Larger Than Life	Backstreet Boys
I Love You	Martina McBride
All Star	Smash Mouth
If I Could Turn Back The Hands Of Time	R. Kelly
Gotta Man	Eve
If You Love Me	Mint Condition
Man! I Feel Like A Woman!	Shania Twain
Will 2K	Will Smith Featuring K-Ci
Black Balloon	Goo Goo Dolls
She's So High	Tal Bachman
Spend My Life With You	Eric Benet Featuring Tamia
Stay The Night	IMx
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Bug A Boo	Destiny's Child
I Want It That Way	Backstreet Boys
Meet Virginia	Train
15 Minutes	Marc Nelson
When I Said I Do	Clint Black
Something Like That	Tim McGraw
Vivrant Thing	Q-Tip
There She Goes	Sixpence None The Richer
Then The Morning Comes	Smash Mouth
She's All I Ever Had	Ricky Martin
Big Deal	LeAnn Rimes
American Woman	Lenny Kravitz
Music Of My Heart	'N Sync & Gloria Estefan
What Do You Say To That	George Strait
Learn To Fly	Foo Fighters
He Didn't Have To Be	Brad Paisley
Home To You	John Michael Montgomery
Lonely And Gone	Montgomery Gentry
4, 5, 6	Sole Featuring JT Money & Kandi
Higher	Creed
Come On Over	Shania Twain
I'm Already Taken	Steve Wariner
Girl On TV	LFO
Got Your Money	Ol' Dirty Bastard Featuring Kelis
Breathe	Faith Hill
The Greatest Romance Ever Sold	Prince
All Things Considered	Yankee Grey
Bailamos	Enrique Iglesias
Hanginaround	Counting Crows
Get It On Tonite	Montell Jordan
That's The Way It Is	Celine Dion
Candy	Mandy Moore
I'll Go Crazy	Andy Griggs
What Do You Say	Reba
Don't Say You Love Me	M2M
Pop A Top	Alan Jackson
Shake Your Bon-Bon	Ricky Martin
The Chemicals Between Us	Bush
24/7	Kevon Edmonds
So Anxious	Ginuwine
Give You What You Want (Fa Sure)	Chico DeBarge
The Dolphin's Cry	Live
Deep Inside	Mary J. Blige
What's My Age Again?	Blink-182
Angels Would Fall	Melissa Etheridge
A Man Ain't Made Of Stone	Randy Travis
Guerrilla Radio	Rage Against The Machine
Angels	Robbie Williams
Steam	Ty Herndon
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
Step To This	Master P Featuring D.I.G.
Cowboy	Kid Rock
She Thinks My Tractor's Sexy	Kenny Chesney
U Don't Know Me (Like U Used To)	Brandy
Got To Get It	Sisqo Featuring Make It Hot
You Had Me From Hello	Kenny Chesney
The Rockafeller Skank	Fatboy Slim
Sexual (Li Da Di)	Amber
Beauty	Dru Hill
Ready To Run	Dixie Chicks
Girls' Best Friend	JAY-Z
Simon Says	Pharoahe Monch
Never Gonna Let You Go	Faith Evans
