Bills, Bills, Bills	Destiny's Child
If You Had My Love	Jennifer Lopez
Last Kiss	Pearl Jam
Genie In A Bottle	Christina Aguilera
Livin' La Vida Loca	Ricky Martin
I Want It That Way	Backstreet Boys
It's Not Right But It's Okay	Whitney Houston
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
Where My Girls At?	702
All Star	Smash Mouth
Fortunate	Maxwell
The Hardest Thing	98 Degrees
No Scrubs	TLC
No Pigeons	Sporty Thievz Featuring Mr. Woods
Kiss Me	Sixpence None The Richer
808	Blaque
That Don't Impress Me Much	Shania Twain
I Will Remember You (Live)	Sarah McLachlan
Chante's Got A Man	Chante Moore
Happily Ever After	Case
You'll Be In My Heart	Phil Collins
Sometimes	Britney Spears
Beautiful Stranger	Madonna
Almost Doesn't Count	Brandy
Anywhere	112 Featuring Lil'z
Tell Me It's Real	K-Ci & JoJo
Every Morning	Sugar Ray
Slide	Goo Goo Dolls
Amazed	Lonestar
Please Remember Me	Tim McGraw
Lesson In Leavin'	Jo Dee Messina
Write This Down	George Strait
Jamboree	Naughty By Nature Featuring Zhane
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Holla Holla	Ja Rule
Better Days (And The Bottom Drops Out)	Citizen King
What It's Like	Everlast
Someday	Sugar Ray
Whatever You Say	Martina McBride
Did You Ever Think	R. Kelly
Believe	Cher
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
A Night To Remember	Joe Diffie
She's So High	Tal Bachman
Scar Tissue	Red Hot Chili Peppers
I Could Not Ask For More	Edwin McCain
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Who Dat	JT Money Featuring Sole
Everything Is Everything	Lauryn Hill
Give It To You	Jordan Knight
Bailamos	Enrique Iglesias
Summer Girls	LFO
Single White Female	Chely Wright
Out Of My Head	Fastball
Black Balloon	Goo Goo Dolls
Lately	Tyrese
Little Good-Byes	SHeDAISY
Spend My Life With You	Eric Benet Featuring Tamia
One Honest Heart	Reba
Tonight The Heartache's On Me	Dixie Chicks
What Ya Want	EVE & Nokio
With You	Lila McCann
The Secret Of Life	Faith Hill
Crazy Little Thing Called Love	Dwight Yoakam
Unpretty	TLC
My Own Worst Enemy	Lit
Who Needs Pictures	Brad Paisley
So Anxious	Ginuwine
You Had Me From Hello	Kenny Chesney
If You (Lovin' Me)	Silk
Little Man	Alan Jackson
Jigga My N****	JAY-Z
Two Teardrops	Steve Wariner
You Won't Ever Be Lonely	Andy Griggs
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Strong Enough	Cher
American Woman	Lenny Kravitz
What's My Age Again?	Blink-182
Never Gonna Let You Go	Faith Evans
You've Got A Way	Shania Twain
Wish You Were Here	Mark Wills
Slave To The Habit	Shane Minor
Praise You	Fatboy Slim
Watch Out Now	The Beatnuts Featuring Yellaklaw
She's Always Right	Clay Walker
Man! I Feel Like A Woman!	Shania Twain
Nann	Trick Daddy Featuring Trina
Anyone Else	Collin Raye
What's It Gonna Be?!	Busta Rhymes Featuring Janet
You Are Everything	Dru Hill
Rollercoaster	B*Witched
Everyone Falls In Love	Tanto Metro & Devonte
My Favorite Girl	Dave Hollister
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
Smile	Vitamin C Featuring Lady Saw
Heavy	Collective Soul
Almost Home	Mary Chapin Carpenter
Vivrant Thing	Q-Tip
Sexual (Li Da Di)	Amber
Why Don't You Get A Job?	The Offspring
